Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.85,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.9473684210526315
all_clusters_nonmetabolic,0.8260869565217391,0.7142857142857142,1,0.8333333333333333,0.9846153846153847
all_clusters_random,0.9230769230769231,0.8666666666666667,1,0.9285714285714286,0.9881656804733728
lcam_hi_metabolic,0.8,0.7000000000000001,0.875,0.7777777777777777,0.8333333333333334
lcam_hi_nonmetabolic,0.9090909090909091,0.8333333333333334,1,0.9090909090909091,0.8916666666666666
lcam_hi_random,0.8,0.7999999999999999,0.7272727272727273,0.761904761904762,0.8928571428571428
lcam_lo_metabolic,0.96,0.9230769230769232,1,0.9600000000000001,0.9871794871794872
lcam_lo_nonmetabolic,0.8918918918918919,1,0.7647058823529411,0.8666666666666666,0.9735294117647059
lcam_lo_random,0.7878787878787878,0.7999999999999999,0.75,0.7741935483870969,0.8860294117647058
lcam_both_metabolic,0.9047619047619048,0.8,1,0.888888888888889,0.951923076923077
lcam_both_nonmetabolic,1,1,1,1,1
lcam_both_random,1,1,1,1,1
