Feature,Value
ABHD16A@IgG_46,0.13268123058127795
FUT6@IgG_46,0.12922839307297046
ATP6V0C@IgG_46,0.07386520875198146
CHST13@IgG_46,0.06512895809978372
FADS2@IgG_46,0.049185048528270825
BST1@IgG_46,0.04223385558524668
MAOB@IgG_46,0.039846171730775454
FUT2@IgG_46,0.03971385947283172
CYP1A2@IgG_46,0.038398343756159005
ACER1@IgG_46,0.03839599335454721
PAPSS2@IgG_46,0.03797271158356879
CTPS1@IgG_46,0.037314159029231776
BST1@T_activated_44,0.03670941874365139
BCKDHA@IgG_46,0.034110717756828175
MIOX@IgG_46,0.033311426075743236
NDST1@IgG_46,0.03263484987025999
P4HA3@IgG_28,0.03093155662938635
ABHD16A@T_activated_44,0.030558911982497914
ELOVL7@IgG_46,0.030474224380622403
CYP51A1@IgG_46,0.029851241275459923
ACSM5@IgG_9,0.029392752144117015
MTAP@IgG_46,0.028634992868785854
ACOT2@IgG_9,0.02828348794615448
UGT8@IgG_46,0.028212458143371772
FUT6@IgG_9,0.02813400714471729
SETMAR@IgG_9,0.02801529711784257
NANP@IgG_9,0.027845580894487142
MBOAT2@IgG_9,0.02758717371229765
DHODH@IgG_9,0.026883485641647727
OLAH@IgG_9,0.026809018516413045
ACSM2A@IgG_9,0.02637883395311944
CA5A@IgG_46,0.02540863019906146
PDE3B@IgG_9,0.025026115299862168
CDA@IgG_46,0.024809966731481187
PHOSPHO2@IgG_46,0.02471828985822205
MGAT3@IgG_46,0.0244624947050752
CA5A@IgG_9,0.024202353125242035
EARS2@MoMac-II_42,0.023917917414169185
CAD@IgG_28,0.02373131779321496
SEPSECS@IgG_28,0.02347926140997595
ACOT2@T_activated_44,0.02307291585814338
PISD@IgG_9,0.023019380991779134
HYKK@IgG_46,0.022970129030624332
ENGASE@IgG_46,0.0227081301644394
CHST6@IgG_28,0.02242433731521553
GGT1@IgG_28,0.02220375403205629
MLYCD@IgG_9,0.022119818287753053
GBA2@IgG_9,0.021692142202073987
CYB5R2@MoMac-II_11,0.020704823183926392
DLD@IgG_9,0.020574747436677986
AGMAT@MoMac-II_42,0.02048650096255
SGPP2@IgG_9,0.02026383446172864
SARDH@IgG_9,0.020213778146463315
AMY2B@IgG_28,0.020129006240407348
AMDHD1@MoMac-II_42,0.019942554047245223
NPL@T_activated_44,0.019941859204517774
DOT1L@IgG_9,0.019551346494155415
HK3@IgG_46,0.019525639119864633
PCYT2@IgG_9,0.019462965695649904
UPB1@MoMac-II_11,0.01927909210011281
PIGO@IgG_9,0.019201303985549416
SIRT3@MoMac-II_42,0.0190862244382539
CA3@MoMac-II_42,0.01905413958718326
PLCD1@IgG_9,0.018979456290712533
MAOA@IgG_9,0.018839671833916955
PGM2@IgG_46,0.018721228664824792
G6PD@IgG_46,0.018450915284182808
AGK@MoMac-II_42,0.017880619497617618
SETD1B@IgG_9,0.017802418574902803
ACSL6@MoMac-II_11,0.017661965333754852
NMNAT1@IgG_9,0.017603692713683772
PI4K2B@IgG_9,0.0173541901754348
BPNT1@IgG_46,0.01734954423231145
MCAT@IgG_46,0.017244309227910697
PTGR2@IgG_9,0.01701498899909523
PLA2G15@IgG_28,0.017002474454883024
GCNT4@IgG_9,-0.016989145335727728
AMT@IgG_46,0.016899346817501316
NUDT16@IgG_46,0.016794137365942402
ATP6V1C2@IgG_28,0.016793526977870864
SUCLA2@IgG_46,0.016771161058122094
MAOB@IgG_28,0.016664049606046887
LIAS@IgG_46,0.016658875841346597
CERS5@IgG_9,0.016586650384973846
CHST14@IgG_46,0.016492575995776977
PIGV@IgG_17,0.01623044771142419
ENPP1@IgG_46,-0.01620856323996205
THEM4@IgG_46,0.016168759611213866
PDE4C@IgG_9,0.01603647823007521
EOGT@IgG_9,0.01595444955663159
UMPS@IgG_28,0.015909142103471295
DGAT1@IgG_46,0.015890607871525537
FMO4@MoMac-II_42,0.015747926249738746
INPP5D@IgG_9,0.015705386924082344
DGKQ@MoMac-II_42,0.015693317395290132
ST8SIA5@MoMac-II_42,0.015603524373821757
PFKFB1@MoMac-II_42,0.01559208657910623
SARDH@IgG_46,0.015586208928156433
VKORC1L1@IgG_28,0.015552130860562056
RBKS@IgG_9,0.015462876659977316
TKTL1@MoMac-II_42,0.015454154857531625
PI4KA@IgG_46,0.015424150763478818
MTMR1@MoMac-II_42,0.01530848854026523
DCTPP1@IgG_46,0.015211046863944502
PIGU@IgG_9,0.015144697323827602
B4GAT1@IgG_46,0.015036812757218559
EARS2@IgG_28,0.014951570026725976
PLCB3@IgG_9,0.014903448699503982
ACSL6@IgG_46,0.014856337233230618
B4GALT2@IgG_28,0.014832082239928683
NAT1@IgG_46,0.014827257764531487
PDSS1@IgG_46,0.014786044006601839
MOCOS@IgG_9,0.014666974968206702
INPP5D@IgG_46,0.014638468636773119
ALDH6A1@MoMac-II_42,0.01461562491754547
ITPKB@MoMac-II_11,0.014481644149209789
SHMT1@IgG_46,0.014412288454961078
GOT1@IgG_46,0.014251595013743217
PLCE1@IgG_46,0.014248343816953703
NFS1@IgG_9,0.014211944102680408
DNMT1@IgG_46,0.014174998270484901
HSD17B6@IgG_46,-0.014106953595941973
PPT2@IgG_46,0.014073611963121426
CES2@IgG_17,0.013979893913703413
FNTB@T_activated_44,0.013961128674400245
MTHFS@IgG_46,0.013893396017204742
ADSL@IgG_9,0.013841107395171918
CHAC2@MoMac-II_11,0.013809093449620505
PLCG1@IgG_9,0.013754033299619786
GALK2@IgG_9,0.013737969627557007
PTGS2@IgG_9,0.013727981381407402
MTMR6@IgG_28,0.013721732399398735
VNN2@IgG_9,0.013644972118433771
EARS2@IgG_9,0.01359345045002533
CYP27C1@IgG_9,0.013589658137266486
CA13@MoMac-II_42,0.013497496532018153
MTHFD2L@IgG_9,0.013469629055155578
ADCY3@T_activated_44,0.013453659780402635
ALG2@IgG_46,0.013421369375823526
ALG10B@MoMac-II_42,0.013360232993873636
PPAT@IgG_9,0.01331897750251212
COQ6@MoMac-II_42,0.013315856155532229
SETMAR@IgG_46,0.013281377152544712
DGAT1@IgG_9,0.013203269760721595
DCTPP1@T_activated_44,0.013118830287727408
UMPS@IgG_46,0.013104657735024339
CMPK2@IgG_9,0.013085157299110995
HSD17B8@MoMac-II_42,0.012923921433438328
FHIT@IgG_9,0.01287262604358549
MBOAT1@MoMac-II_42,0.012837368249781739
GLYCTK@IgG_9,0.012821922027863747
LPCAT2@IgG_28,-0.012792372147060154
GANC@T_activated_44,0.012647077720564325
ACOX3@IgG_9,0.012611786710016625
PCCB@MoMac-II_11,0.012592262567905431
ASMT@IgG_46,-0.012568315787367711
PNPLA7@IgG_9,0.012506704455926507
INPP5B@IgG_9,0.012489233466400325
DHCR7@IgG_9,0.01248406407112728
HSD17B7@IgG_28,0.012423316296631194
GALNT11@IgG_46,0.012344692685564347
ATP6V1E2@MoMac-II_11,0.012330351773791916
B4GALT4@MoMac-II_42,0.01232417530084694
MVK@MoMac-II_42,0.012294473046860812
TK1@IgG_17,0.012274529806517161
ACSM5@MoMac-II_42,0.012206317972325778
CA4@IgG_9,-0.01219816698214378
ARSA@T_activated_44,0.012179068893499309
HDC@IgG_46,0.012160066337988839
B3GNT6@IgG_46,-0.012119220567437384
PLA2G4F@IgG_46,-0.012118105990959856
VNN2@MoMac-II_11,0.012116823474202582
SIRT3@IgG_46,0.012066421262048724
