Feature,Value
IDO2@AM_25,-0.3220315057208673
CYP27B1@AM_57,-0.18845907651741947
GSTA3@AM_57,-0.18588452469701766
ACSBG1@AM_57,-0.14526539165116145
NT5DC4@AM_57,-0.14524633922264688
PCYT1B@AM_57,-0.12531560244108209
HS6ST2@AM_57,-0.12531120722886635
TYR@AM_57,-0.12526529707951503
AMY2A@AM_57,-0.12520591324683347
CHIA@AM_57,-0.12519163026505403
CA6@AM_57,-0.12518829687589686
ACSM2A@AM_57,-0.12518589017076961
CNDP1@AM_57,-0.12513597585112915
FUT1@AM_57,-0.12505241627611363
CYP17A1@AM_10,-0.11877782785501462
GXYLT2@AM_25,-0.11234084732665527
LIPG@AM_57,-0.10701752786114468
PDE1C@AM_25,-0.10513211058081509
COLGALT2@AM_57,-0.10077680314933958
ALDH1L2@AM_25,-0.09476895542393365
CA14@AM_25,-0.09138059535847384
CEL@AM_25,0.08842693275636443
LDHAL6B@AM_10,-0.07981543257236055
ATP6V1C2@AM_25,-0.07661488367577207
GALNT15@AM_25,-0.07282939692640823
SRD5A2@AM_57,-0.07077911634291312
PLCD3@AM_10,-0.06769150779970948
CHSY3@AM_10,0.06697020164032619
RIMKLA@MoMac-III_33,0.0665426619256046
TPH2@AM_25,-0.06628242631719111
DMGDH@AM_25,-0.0659067563254959
B3GNT4@AM_10,0.06262749183321308
AZIN2@AM_57,-0.06168768951862294
MGAT4C@AM_25,-0.0609629463351583
HDC@AM_25,-0.05909013169411961
SULT2A1@AM_57,-0.05899200854264681
NDST3@AM_25,-0.05796028902890146
PTGIS@AM_57,-0.05683409873900991
NAT2@AM_10,-0.05444239354694652
ST20-MTHFS@AM_10,-0.05442013602262312
PLCB4@MoMac-III_32,0.05137589803503699
CYP19A1@AM_10,0.050821076484721076
FMO2@AM_25,-0.04988745547015738
LRAT@AM_10,-0.04958696462103224
TPI1@IM_8,0.04864519733631123
ADCY2@IM_8,-0.048532782723945414
AADAT@AM_10,-0.04746630633274324
AKR1B10@IM_8,-0.046619313057243934
DGKB@AM_25,-0.04650700044160342
GPAM@AM_25,-0.04604141160649128
NT5M@AM_57,-0.04453427941525387
ENPP1@AM_25,-0.04451355813828051
ACADL@AM_57,-0.04387542125589088
TYRP1@IM_8,-0.04350199266464211
GCNT4@AM_57,-0.04275094293974587
COX6B2@AM_10,0.04177595355597639
ALDH8A1@MoMac-I_35,-0.04078699343136231
LCAT@AM_10,-0.04044291143445636
MGAM@AM_10,0.03957741107068381
LTC4S@AM_55,-0.038121641777738496
CHST3@MoMac-III_33,-0.037418102842574304
ACSM1@MoMac-III_38,0.037301102818893254
SAT1@IM_8,0.03685538107634301
NT5M@AM_55,-0.03356562135334017
GADL1@MoMac-III_38,0.03336994215425004
CPT1B@AM_10,-0.03289988817543488
FUT1@IM_8,-0.03282095676192337
CPS1@AM_57,-0.032551712239577896
ATP6V1G1@IM_8,0.03237947271460444
PLCD4@MoMac-I_35,-0.03150898978837554
PTGES@MoMac-I_35,-0.03148176212098665
CYP19A1@MoMac-III_32,0.030968217303868742
ENPP6@MoMac-I_35,-0.029837640242019937
PHOSPHO2@MoMac-I_35,0.029746217474958044
PTGIS@AM_25,-0.0296514963876404
LIPG@AM_54,-0.029632180890428062
XYLT1@MoMac-IV_47,-0.029423576337742573
NDUFB11@IM_8,0.029280941617810828
GALNTL6@AM_10,0.02879988599336051
PDE8B@AM_55,-0.028539668510257504
AMACR@AM_10,0.028445877469398646
CHIA@MoMac-III_33,-0.028010354554630898
FTMT@MoMac-III_33,-0.027999710387295335
CYP39A1@MoMac-III_33,-0.02798867376220295
ALDH8A1@MoMac-III_33,-0.02797692762403887
PLCG1@MoMac-III_33,0.027857246412936954
SULT2B1@AM_55,-0.02771261305753253
BCKDHA@AM_25,-0.027632644523949382
GGT1@AM_55,-0.02762878682819735
FUT1@AM_25,0.027415417969793895
CYP39A1@AM_25,-0.02690331086759757
COX6B2@AM_57,-0.02659368715628535
ARG2@AM_25,-0.025958372296888847
MGAM@IM_8,-0.025208460734463353
ELOVL6@AM_10,-0.02520621747420959
PLA2G10@MoMac-III_33,0.024754935879102238
NOS3@AM_55,-0.024705561571809486
PLCB1@MoMac-II_11,0.024426828746983636
PLCE1@MoMac-III_38,0.02439231975233408
ADH1C@AM_55,-0.024217477500920927
ALDH6A1@MoMac-II_42,0.02419884013577865
ELOVL4@AM_55,-0.02416116005829507
NT5E@AM_55,-0.024149595751870156
MPO@AM_55,-0.024113426535538125
DGKK@AM_55,-0.024099577857529118
PFKFB1@AM_55,-0.024085227464130467
CYP1A2@AM_55,-0.02407622848935059
CYP19A1@AM_55,-0.0240748677581781
SLC27A5@AM_55,-0.02402553699727593
PLPP1@MoMac-II_42,0.023969701389163756
PNPLA7@MoMac-II_11,0.023609792483349094
SHPK@AM_55,-0.0235269401520223
PRDM16@MoMac-III_33,0.02296312410611672
INPP5E@AM_55,-0.0228779668619819
ENO3@AM_55,-0.02281650275220196
PDE7B@AM_57,-0.022552584132099245
ALG10@AM_57,-0.02235539434673948
EXTL3@MoMac-III_32,0.02234585079907219
B4GALT2@AM_57,-0.022324974918538944
HMGCR@MoMac-II_42,0.022262903537506283
GPX8@AM_25,-0.022197731889299264
ASS1@MoMac-III_33,0.021920850178860873
FUT3@AM_10,0.02175814004470742
ADCY1@MoMac-II_11,-0.021513044043522476
ACSS3@AM_25,-0.02142260471363224
AOC2@MoMac-I_35,-0.02134867260058091
PDE1B@MoMac-II_42,0.02120149627117119
MTMR8@AM_57,-0.02094168319099676
ATP6V0C@AM_55,-0.020927888011119545
PLCD3@MoMac-III_38,-0.020696627441145567
AKR7A3@AM_55,-0.020589996982892177
NT5E@MoMac-III_33,0.02050568620868618
NAGS@AM_55,-0.020497239936187326
ADCY2@MoMac-III_38,0.020472572867087133
ALG9@AM_55,-0.02031793859632737
B3GNT4@AM_55,-0.020279015319560795
DAO@AM_55,-0.02026626602107048
B4GAT1@MoMac-III_33,0.020251546876041422
RIMKLA@AM_55,-0.020077313990444788
DGKQ@AM_55,-0.019958880211598973
NDST2@AM_25,-0.01995189902901855
SARM1@AM_55,-0.019936613249622915
GGT1@MoMac-III_33,0.01990205910729117
TDO2@MoMac-III_33,0.01972587260091265
ALDH1L1@AM_57,-0.01962923435660694
ELOVL7@AM_10,-0.019616503403128056
PLCH1@AM_10,0.01958068115927868
ETNK2@MoMac-I_35,-0.019566514559607354
NPR1@MoMac-III_38,0.019489389149989024
PPAT@AM_55,-0.019127677168547335
PYCR1@MoMac-IV_47,-0.018703934731383667
AKR1D1@MoMac-III_33,0.018660458452798286
ACER1@MoMac-I_35,-0.018660043821205927
ST20-MTHFS@MoMac-I_35,-0.018654251133292492
CA14@MoMac-I_35,-0.01865407815974328
RPEL1@MoMac-I_35,-0.018649582196615336
ADH1C@MoMac-I_35,-0.018646926833359553
GLUD1@IM_8,-0.018629471515247933
CYP26B1@MoMac-III_33,0.018539955766319918
SGSH@AM_55,-0.01848279083744826
NDUFB7@IM_8,0.018439115339580762
PIGA@MoMac-II_42,0.018040263596419297
HSD11B1L@AM_57,-0.017846971925393907
SQLE@IM_8,-0.01782524959336704
COX5A@IM_8,0.01782066176012382
COQ6@MoMac-II_42,0.017785926627165334
MAN1C1@MoMac-II_11,0.01772585699806302
ACSBG1@MoMac-III_33,0.01771922401623802
FUT9@MoMac-III_33,0.017707311253253217
ASNS@AM_55,-0.017694572649620193
PIGW@AM_57,-0.01761221787867884
HS3ST3B1@MoMac-II_42,0.017599354277175412
ELOVL6@MoMac-III_33,0.017598237665511086
ENO3@MoMac-II_42,0.017336258147991963
PLA2G12B@AM_57,-0.01732971670752292
NOS1@AM_57,-0.017326100205032245
ACSM4@AM_57,-0.0173258096643818
B3GALT5@AM_57,-0.017320507530344767
PRDM16@AM_54,-0.017130716978738452
PLA2G4C@MoMac-II_42,0.017078169119698124
ALG9@AM_25,-0.016826745819646764
NDUFS4@IM_8,-0.01672327418713744
DGKD@AM_55,-0.016717456546679742
NDST2@AM_55,-0.016699028215356817
CYP2D6@AM_55,-0.01666699307599711
SULT2B1@AM_57,-0.016625316516143462
PHGDH@AM_25,-0.016549513464280994
LCLAT1@MoMac-IV_47,-0.01639014629395763
CTPS1@AM_55,-0.016387932561370704
INMT@MoMac-III_33,-0.01638154502541701
UQCRHL@AM_55,-0.016374676905361346
MBOAT1@MoMac-IV_47,-0.016351401458841328
UQCR10@IM_8,0.01620279492705781
SULT2A1@MoMac-III_33,0.016175365999110618
GGT7@MoMac-II_11,0.016165296309745964
HYAL3@MoMac-II_42,0.016145569019566115
GMDS@MoMac-II_42,0.016135116593545225
PAFAH2@MoMac-II_42,0.01611716981294153
LTA4H@IM_8,-0.01610474201341266
CA14@MoMac-III_32,0.016082883188330212
IDH3G@IM_8,-0.01607891764724301
MGAT3@MoMac-IV_47,-0.01599123393316669
PDE6B@AM_25,-0.01594999482672885
ELOVL2@IM_8,-0.015857552595483868
ST6GAL2@IM_8,-0.015850097583071935
CYP3A4@IM_8,-0.015845713681802712
FUT7@MoMac-III_32,0.015840535285822858
NT5M@IM_8,-0.01582549601527506
B3GNT6@MoMac-I_35,0.015737057898446923
PSAT1@AM_55,-0.015669849254578035
HADHA@IM_8,-0.01564822624833189
STS@AM_55,-0.015638215159494408
PIGO@MoMac-II_42,0.015620844142679557
PIGM@MoMac-IV_5,-0.015573494121034426
AOC2@AM_55,-0.015515317167321336
XYLT2@MoMac-III_33,0.015512669988829319
AGPAT5@AM_57,-0.015507002857166365
FKRP@MoMac-II_42,0.015505087079812867
FKTN@MoMac-III_38,0.015465741459590693
SMPD3@AM_25,-0.015427458229994234
PFAS@MoMac-III_33,0.015418285002742439
GSTM3@AM_55,-0.015399301406055941
ACACA@AM_57,-0.015371107540698746
TMLHE@MoMac-IV_47,-0.015345170318896248
MAN1A2@IM_8,-0.015295017082484314
PHOSPHO2@AM_25,-0.015240684538723657
ENO3@MoMac-IV_47,-0.015136234599743477
TST@MoMac-II_42,0.015127252118365587
PLA2G1B@MoMac-III_38,-0.015126952594587087
IDH3B@IM_8,-0.015021410028582082
PLA2G6@AM_55,-0.01499723739295591
ACY1@IM_8,-0.014993754953725732
ADCY9@AM_25,-0.01495242717894737
HGSNAT@IM_8,-0.0149008295080508
PIGL@MoMac-III_33,0.014824682846548386
MTHFD1L@MoMac-II_42,0.014803796371889595
ACADSB@MoMac-II_42,0.014787325296346104
SDHD@IM_8,-0.01469598308124974
ADCY4@AM_25,-0.014687899795624803
EARS2@MoMac-II_11,-0.01465549150773756
PIP4K2B@MoMac-II_42,0.014651510251399253
NDUFV2@IM_8,0.014547669949462536
SARM1@AM_25,-0.014489649012377166
HKDC1@MoMac-I_35,0.01442377510642858
NEU3@MoMac-II_42,0.014326161288621334
NPR1@MoMac-IV_47,-0.014314472012423323
ADCY9@AM_57,-0.014195154187854912
ADPRM@MoMac-II_42,0.014191351148368529
SULT2A1@MoMac-IV_47,-0.014173588128726572
DSEL@AM_10,-0.014170936749784866
NDST1@MoMac-II_42,0.01413534500253769
KMT2D@MoMac-II_42,0.014132798740217343
ENO3@AM_54,-0.014125020619045808
KMT2C@IM_8,-0.014072956584474017
NT5DC4@MoMac-IV_47,-0.01403224801316547
IDUA@MoMac-III_33,0.013990321215975255
MTHFD2L@IM_8,-0.013946691433616504
NAT8L@MoMac-I_35,-0.01392174308537285
HOGA1@MoMac-I_35,-0.013920509845140146
EPHX2@AM_10,0.013865411849359847
AZIN2@AM_25,-0.013813232585517443
MBOAT2@MoMac-IV_47,-0.013812178599532977
CDS1@MoMac-III_32,0.01379690443676642
KMT5A@MoMac-IV_47,-0.013757770491878877
DPM1@IM_8,-0.013742226892296148
ETNK2@AM_10,0.013740756973384513
GLUD2@AM_10,-0.01373897028811947
ALOX15@AM_57,-0.013723517787055103
OSTC@IM_8,0.013685231061172313
SPTLC3@AM_10,0.013684871594263414
L2HGDH@AM_55,-0.013658367321522672
NDUFA1@IM_8,-0.013631778433327408
B4GALT4@MoMac-II_42,0.013587010304406844
SUV39H2@AM_57,-0.01357820911099041
SMPD3@AM_57,-0.013556467563106817
PFKFB4@MoMac-II_42,0.013489666203237199
ALDH1L1@MoMac-II_42,0.013435143947092726
PLA2G10@MoMac-III_32,0.013431197142555858
HLCS@AM_55,-0.013413189979743874
ALDH5A1@AM_57,-0.01340871224695724
GPHN@MoMac-II_42,0.013386434643581649
PFKL@IM_8,-0.013373163580406001
FMO4@MoMac-III_32,0.013371399871388934
IL4I1@MoMac-I_35,0.013371335221859603
FECH@MoMac-II_42,0.01336851989117156
PNPO@AM_55,-0.013342409290469988
AMT@AM_54,-0.013295349601094752
ST6GALNAC1@MoMac-II_42,0.013275976558895486
DDO@MoMac-II_42,0.013272180600060345
POFUT1@AM_55,-0.013256261561739755
CHKB@AM_55,-0.013176861058840207
SMOX@MoMac-II_42,0.013144641471304086
CHSY1@AM_55,-0.01313990781337059
ST8SIA1@MoMac-III_32,0.01313439994728845
GPX7@MoMac-II_42,0.013112709522644428
SMPD2@IM_8,-0.013060804467609561
GSTT2B@MoMac-IV_5,-0.013021932929142775
ENPP2@IM_8,0.012988032488246131
CYB5R2@MoMac-III_33,0.012976740684152804
POFUT1@MoMac-III_33,0.012974874003672844
HMBS@MoMac-II_42,0.012966000471511537
GAMT@AM_55,-0.012903241577924048
SMPD2@MoMac-II_42,0.012898853246107244
ADCY1@AM_57,-0.012776122132081623
HPD@AM_57,-0.012749862761303491
RCE1@MoMac-IV_47,-0.012743296578821181
GSTM3@MoMac-II_42,0.012733270147392057
ACOX2@MoMac-II_42,0.01268939834446647
SETD1A@MoMac-II_42,0.012642093923189105
DGKQ@MoMac-IV_47,-0.01263465317365415
TK2@MoMac-IV_5,-0.012626388976528652
ACSM1@AM_54,-0.012571903093697587
PIGB@AM_55,-0.012537702728315872
PTDSS2@MoMac-II_42,0.01253368583347869
GMPR2@MoMac-II_42,0.012529258646582086
BCKDHA@AM_57,-0.012510160490765214
AOC1@MoMac-III_32,0.012484858800396707
PHOSPHO2@MoMac-III_33,0.012473780264464654
PLPP2@AM_10,0.012472827793393426
GLCE@IM_8,-0.012439280440366506
XYLT1@AM_55,-0.012407944030800476
PYCR1@MoMac-I_35,0.012372761073434432
FUT8@AM_55,-0.012310574608151614
LPIN3@MoMac-III_33,0.012305344678699304
KMT2E@IM_8,-0.012297289320881534
DGUOK@IM_8,-0.012244112752048425
GPT@MoMac-II_42,0.01221298826671976
PIK3CG@AM_55,-0.012151081653664964
PFKM@MoMac-II_42,0.012105413165355836
BTD@MoMac-II_42,0.012028451166687867
HAAO@AM_55,-0.012024815556789052
PDE6D@MoMac-II_42,0.012013790902957698
MLYCD@MoMac-II_42,0.012001615265198889
SIRT4@MoMac-IV_47,-0.01196491388800513
SIRT3@MoMac-II_42,0.011934940990186224
PLCD1@AM_54,-0.011925440019869206
PAFAH1B3@AM_55,-0.011884999702354952
LYPLA1@IM_8,-0.011861398665276275
KHK@IM_8,-0.011836051177369666
MTHFR@AM_55,-0.011830509549011227
SETD1A@MoMac-IV_5,-0.011792203063135418
ACAD8@MoMac-II_42,0.011754365325838376
POMT2@AM_55,-0.01173312021933949
GPAT2@MoMac-IV_47,-0.011726552802169212
ENPP6@MoMac-II_11,0.01171359588290983
TMLHE@MoMac-II_42,0.011705620830285847
CYB5R2@AM_25,-0.011665846708271133
SARDH@MoMac-II_11,0.011627525973726538
CTH@AM_10,0.01161275701340357
PIGV@AM_55,-0.011599108626947859
TPK1@MoMac-II_42,0.011567257223396094
DGKE@MoMac-IV_47,-0.011560103904483332
CYP39A1@AM_10,-0.011483830552580006
PIGS@MoMac-II_42,0.011468043917193204
SARDH@MoMac-IV_5,-0.011459070808286266
ASNS@AM_57,-0.01144705355518373
ALG11@AM_10,0.01143614180349684
MVK@MoMac-IV_5,-0.011427202117397514
BDH1@MoMac-III_32,0.01142718859638223
HS3ST1@MoMac-IV_5,-0.01141331302847225
MARS2@MoMac-IV_5,-0.011397518270948854
GBE1@AM_55,-0.011393734543302055
ISYNA1@IM_8,-0.011374260288814126
DCK@IM_8,-0.011364468754284152
RGN@AM_57,0.011357574957641742
ENPP4@MoMac-II_42,0.011344492784257951
HMGCR@MoMac-II_11,0.01130346325851243
NDUFS5@IM_8,-0.011284781475272676
INPP5E@MoMac-II_42,0.011282923427995467
SETDB1@AM_55,-0.01124813720302581
GSTO1@IM_8,-0.011237028482102715
GCNT3@AM_57,-0.011189937288849714
GCAT@MoMac-III_32,0.011187941039358253
PLB1@MoMac-III_32,0.01116014423670625
NMNAT1@MoMac-II_42,0.011159032271977976
GALK2@MoMac-II_42,0.011138803823222708
GSTA4@AM_55,-0.01113014668972393
PSTK@MoMac-I_35,0.011117127177631376
ABAT@IM_8,-0.011067754627385924
FNTA@MoMac-II_42,0.011067040594546846
GCAT@IM_8,0.011064887117118657
GPHN@AM_55,-0.011049266289570847
PTDSS2@AM_57,-0.011007421911228945
PIP5K1C@MoMac-III_32,0.01099858433542541
CYP27C1@MoMac-III_33,0.0109664755929985
AADAT@IM_8,-0.010938546248104654
AGPAT3@MoMac-II_42,0.010917683554099627
UPB1@IM_8,0.010908653450828375
HDDC3@MoMac-II_42,0.01088954821207262
HMGCS1@MoMac-II_42,0.010870116548486741
HSD17B1@MoMac-III_38,0.010809944335090015
GSR@AM_55,-0.010807174005551421
GNPNAT1@AM_55,-0.010802468845851959
PAFAH1B3@MoMac-III_32,0.0107906335805421
PGAM1@IM_8,-0.010783360309312933
PIGG@MoMac-II_11,0.010741481290554453
ACSL6@AM_55,-0.010733400365758707
PEMT@MoMac-IV_5,-0.010725042216803224
PIK3C2B@AM_55,-0.010720093154805913
MGST2@IM_8,0.010717714719744562
BDH1@MoMac-II_42,0.01070518067738253
PLA2G2C@MoMac-III_38,0.010693214410732437
GLCE@MoMac-IV_5,-0.010671295356016528
B4GALT3@MoMac-II_42,0.010667353789224215
ACADSB@AM_55,-0.010649026451347732
DNMT1@MoMac-I_35,0.01063752654589706
B3GNT6@IM_8,0.010629498664859446
MCCC2@AM_55,-0.010603783552670918
SYNJ1@AM_55,-0.010592004693434466
GALNT3@AM_57,-0.010591190536595877
HSD11B2@IM_8,-0.010565023177124032
PTGR2@IM_8,-0.010541634188426503
NAT1@AM_54,-0.010540589843004681
INPP5D@IM_8,-0.01053880886323481
COLGALT2@MoMac-II_11,0.010523656487217028
AMPD2@MoMac-II_42,0.010509461519444423
GLCE@MoMac-II_11,0.010508856359009711
CA8@IM_8,-0.010500123297141128
PDE7A@AM_55,-0.01049682341755915
PIPOX@MoMac-IV_47,-0.010468908457522075
LCAT@MoMac-III_33,0.010455259268399814
NUDT13@AM_54,-0.010452524622048385
GPX2@MoMac-III_33,0.010436354586968512
MECOM@MoMac-III_33,0.01041464054714822
ALG5@IM_8,-0.010409431071802614
IDH2@MoMac-III_32,0.010393915239465793
GPX8@MoMac-II_42,0.010390555463868334
CA13@MoMac-IV_5,-0.010387061562839668
INPP1@AM_55,-0.010375692744752226
GLA@IM_8,0.010342076985718984
PFAS@AM_55,-0.010336090935950235
CPOX@MoMac-II_42,0.01032897258871395
NUDT9@MoMac-II_42,0.01029743949952591
PYGL@MoMac-II_42,0.010276025743759994
GXYLT1@MoMac-II_42,0.01026510278683428
ACOX3@MoMac-IV_47,-0.010225865627837828
HSD17B11@IM_8,-0.010217361793036683
MAN1C1@MoMac-II_42,0.010214904352545347
GCNT1@MoMac-II_42,0.010201602113269533
MGAT2@MoMac-II_42,0.010195397003934497
FMO2@MoMac-III_32,-0.010185123622597611
MAN2C1@IM_8,-0.010123617020414184
PIP4K2A@MoMac-IV_5,-0.010102634036301602
POFUT2@MoMac-II_42,0.010091019868481405
CYP2U1@AM_55,-0.010085332580228737
CA1@MoMac-II_42,-0.010046946123000462
TKTL1@AM_25,-0.010030029653597753
AASDHPPT@MoMac-III_38,0.01002914563746017
PLCD1@MoMac-III_33,0.010028797853782663
XXYLT1@IM_8,-0.009993141488887948
ME2@IM_8,-0.009986585661309189
NDUFB4@IM_8,-0.009975283895265958
MAOB@MoMac-II_11,0.009950982860361193
BCAT1@AM_55,-0.009936057061121419
BST1@MoMac-III_32,0.009934175178776603
CES2@MoMac-II_42,0.009933931092054947
GPAT2@MoMac-II_42,0.009921622101368117
PGAP2@MoMac-II_42,0.009892035715526921
MAN1C1@AM_25,-0.009866090223057037
ALG10B@MoMac-II_42,0.009845631991807997
MTMR2@IM_8,-0.009826969979383484
KHK@AM_55,-0.009797960329037403
HAL@MoMac-III_38,0.009795098152582027
PDE11A@MoMac-III_38,0.009790160767158294
PDE11A@MoMac-I_35,-0.009769697737098865
GCH1@MoMac-II_42,0.00974857507953449
ITPK1@IM_8,-0.00973450177318364
PDE8A@AM_55,-0.0097275586446303
PIP4K2C@AM_54,-0.009716492234738798
KMT2B@MoMac-IV_47,-0.0096575499000244
PIPOX@AM_55,-0.009650800022858372
CERS2@AM_55,-0.009642843310857675
NPR2@IM_8,-0.00964159609755432
INPP5D@MoMac-II_42,0.00964058743577479
CYP27C1@MoMac-IV_47,-0.00964038331943838
GPI@IM_8,0.009627960558378536
PLCD1@MoMac-II_42,0.009597827306968364
ACSS2@AM_57,-0.009530165293115284
XYLB@MoMac-II_42,0.009472040445158232
ABO@MoMac-II_42,0.009461310539826457
AGPAT1@MoMac-IV_5,-0.00944368240052411
MIF@MoMac-III_32,0.009429904187784142
KMT2B@MoMac-II_42,0.009427332469509827
NUDT16@MoMac-II_42,0.0093874906661658
HPRT1@IM_8,-0.00938124241361228
FKTN@MoMac-II_42,0.009379924193797375
RFNG@MoMac-III_38,0.00937237222308193
CHST7@MoMac-II_11,0.009358620811071791
UGDH@MoMac-II_42,0.009345553654362336
CYP51A1@AM_10,0.009333478798052514
PDE11A@AM_57,-0.009321585260837817
NT5C3B@MoMac-II_42,0.009303174095864227
LDHD@MoMac-IV_5,-0.009288149835500583
ST6GALNAC6@MoMac-II_11,0.009286741542086384
DBT@MoMac-II_42,0.009280457367653873
HEXB@IM_8,-0.009275091860271768
DNMT3A@MoMac-II_42,0.00923703196684996
HIBADH@IM_8,-0.009236361736365632
ENGASE@MoMac-II_42,0.009234743697463249
AUH@MoMac-II_42,0.00922072227635343
ABHD16A@AM_57,-0.009186952162433119
SLC27A5@MoMac-IV_47,-0.009186412786640938
GPAT3@AM_57,-0.009180610583198311
PTGES3@IM_8,-0.009176691700767467
MRI1@IM_8,-0.009171174761086427
GUCY2F@AM_57,-0.009168091055984049
HS6ST1@MoMac-II_11,0.009164409816837143
QPRT@MoMac-III_32,0.009162882943325273
INPP5A@MoMac-IV_47,-0.009153838509007282
KMT5A@MoMac-II_42,0.009152278683241123
GSTM4@MoMac-IV_47,-0.009144332474771278
FHIT@MoMac-II_42,0.009120210806971915
ENPP2@MoMac-II_42,0.009110213016239035
ALG13@MoMac-II_42,0.00910952293632714
EHMT2@MoMac-II_11,0.009078855756404616
MAN2C1@MoMac-II_42,0.009069672210247277
CHST2@MoMac-IV_47,-0.009052296275543886
AOC3@IM_8,-0.009029737074260219
NOS1@MoMac-III_38,-0.009016735870443568
FAHD1@MoMac-II_42,0.009002213398416212
DAO@AM_25,0.00899212327385174
GALK2@AM_55,-0.00899115957698773
PAFAH1B2@IM_8,-0.008978970600484493
PCCA@AM_55,-0.00891076639957272
SETDB2@AM_55,-0.008903499966858932
RDH10@MoMac-II_42,0.008891525083216585
FUT7@MoMac-II_42,0.008870895949643453
KMT5A@MoMac-I_35,0.008848631121644898
PPCDC@MoMac-II_42,0.008846372575719104
P4HA2@AM_55,-0.008843321063671937
KMT2C@MoMac-II_42,0.008835695446694642
CSGALNACT2@IM_8,-0.008794281493674203
AK9@MoMac-II_42,0.008779698467607192
PLA2G10@AM_57,0.008779682225475023
SRR@IM_8,-0.008768810321969349
AGPAT3@IM_8,-0.008744508576133372
NDUFV2@MoMac-III_32,0.008728427488938888
APIP@IM_8,-0.008719722405450357
LPIN3@MoMac-IV_47,-0.00871832216522552
GYG1@MoMac-II_42,0.008683555481034364
PPOX@MoMac-III_38,-0.008680258029473338
B3GNT7@MoMac-II_42,0.008678178597566479
ME3@MoMac-III_32,-0.008678071398203462
AGPAT3@MoMac-II_11,0.008672578746159783
SULT2B1@AM_25,-0.008671267219482396
COX15@AM_10,-0.008667820857250682
AGPAT5@AM_55,-0.008649990942417102
CMPK2@MoMac-III_33,0.008637757750950254
HS3ST3B1@IM_8,-0.008635675388192897
GNMT@AM_55,-0.008619917755954875
POMT1@MoMac-II_42,0.008616835313900945
MTMR4@MoMac-II_11,0.008607821319576735
CYP4F3@MoMac-III_32,0.008593308721541836
DHDDS@AM_55,-0.00858321205790883
MOCS1@MoMac-III_33,-0.008574474600886959
DGKZ@MoMac-IV_5,-0.008571243306757107
CHDH@MoMac-III_38,0.008545480011233909
ALDH5A1@MoMac-IV_47,-0.008544004207068821
GALM@AM_55,-0.008538543743251734
MCEE@AM_55,-0.008522059944928264
ST3GAL6@MoMac-II_42,0.008516083440206665
DHRSX@MoMac-II_42,0.008514060656962084
LIAS@MoMac-II_42,0.008512829427644097
FKTN@MoMac-II_11,0.008511995231707821
MCCC2@MoMac-IV_5,-0.008491712742748465
PIGM@MoMac-II_42,0.008473997281601671
MBOAT2@MoMac-II_11,0.008459735025666357
ENO2@MoMac-II_42,0.008458248367546833
