Feature,Value
SLC28A3@IgG_46,0.13668411962801102
RP11-218E20.3@IgG_46,0.13269123444197362
MYT1L@IgG_46,0.08353710372857164
RAB37@IgG_46,0.07971163583238221
TRIP13@IgG_46,0.07815940847290122
RP11-1000B6.8@IgG_46,0.06091583983990105
CTD-3203P2.3@IgG_46,0.05946584903268278
NCAPD2@IgG_46,0.05907669904002422
RP11-416N2.4@IgG_46,0.05814681192444414
RP11-356C4.3@IgG_46,0.05792650013338696
TNNC2@IgG_46,0.05675188685484875
EPHB6@IgG_46,0.05186415765237806
DIABLO@IgG_46,0.04923759069235852
AC020571.3@IgG_46,0.04878170205762591
AC114271.2@IgG_46,0.0468789804866741
RP11-1079K10.4@MoMac-II_42,0.04464464027617516
DACH1@MoMac-II_42,0.0435063161006564
RP11-1079K10.4@IgG_46,0.041279134991896005
RP11-568J23.4@IgG_9,0.040664463111105484
RP11-162A12.2@IgG_46,0.040246654164005385
STIL@IgG_46,0.03999366128498921
ASB4@IgG_46,0.037863613337312266
AC145110.1@IgG_46,0.03785911386165055
CTC-523E23.5@IgG_46,0.03782827330223433
RP11-345J4.5@IgG_46,0.03743613147837554
CTC-454I21.3@T_activated_44,0.03642971143296947
RNF215@IgG_46,0.036330311770302805
TIAM1@IgG_46,0.03445619065968374
FOXJ2@IgG_9,0.03407019033986991
DBR1@IgG_9,0.032964449938071426
GTPBP2@IgG_46,0.03248259950125507
CDK19@IgG_46,0.03232233485898301
EOMES@IgG_46,0.031964124550783124
TEX40@IgG_9,-0.03176106380255481
DMTN@IgG_9,0.031648683343867695
RP11-568J23.4@IgG_28,0.031631354782641674
APOBR@IgG_46,0.03147864551214856
SORBS2@IgG_46,0.03130199274369009
RP11-122C21.1@IgG_9,0.031085703065843292
ZNF641@IgG_46,0.031082896615725556
CARD10@MoMac-II_42,0.03107527758215407
HSPA4L@IgG_46,0.030983448521829
TPRN@MoMac-II_42,0.03091369907421059
LPAR5@IgG_9,0.030851524623228283
PCGF2@IgG_9,0.02993806870567712
RP11-290D2.6@IgG_46,0.029212012642708868
HES2@IgG_46,0.02870831149667698
RP11-467P9.1@IgG_28,-0.02852827757066001
TRIM59@IgG_46,0.028348701309213745
GTF2IRD2@IgG_46,0.028331052524589093
EPHB6@IgG_9,0.028024487671620888
RP11-536K7.3@IgG_9,0.026934058534401444
RP11-532F6.3@IgG_9,0.026809874390732586
C21orf33@IgG_46,0.026151333406182944
ZFP57@T_activated_44,0.025992730952379
MYOM1@MoMac-II_42,0.025510012915011742
C20orf196@IgG_9,0.025439232261336653
GIPR@IgG_9,0.025071676793689854
ROR1-AS1@IgG_28,-0.024764117310878384
PCP4L1@IgG_28,-0.024759015505787334
KCTD14@IgG_28,-0.024757956581627168
RP11-421F16.3@IgG_28,-0.024757489192987845
LINC00664@IgG_28,-0.02474911283241677
RP11-428J1.5@MoMac-II_42,0.024675323406539718
PDZD11@IgG_46,0.024047960148254558
RP11-293A21.1@IgG_46,0.024014207621308785
EFTUD1@IgG_46,0.023878083826399454
CPM@IgG_46,0.023749387661807942
C10orf25@MoMac-II_42,0.02372359619269207
C19orf54@MoMac-II_42,0.023691520205315127
ACTR8@IgG_46,0.02369067154834046
RP11-158M2.3@MoMac-II_11,-0.023230191557739782
GTPBP2@IgG_9,0.023223376703149397
NAP1L2@IgG_9,0.02320232125235161
METTL21B@IgG_46,0.023103060899425314
IL17RC@IgG_28,0.023092801432624023
MS4A10@IgG_9,0.022975358188716426
EBI3@IgG_46,0.02291205912076035
ATP5EP2@IgG_9,0.022909443954089274
LRRIQ1@MoMac-II_42,0.022854517202106073
POLA2@IgG_46,0.022776686840963945
ERI2@IgG_46,0.022669027334734422
RPP21@IgG_46,0.022598623989451214
DMTN@T_activated_44,0.022328994748359598
CASD1@IgG_46,0.022315455215989932
TWSG1@IgG_9,0.022244596311108755
PDGFA@MoMac-II_42,0.02217496095679026
SLC35C1@IgG_46,0.02206305940186083
HAR1B@T_activated_44,0.021974927399333034
STOX1@IgG_46,0.02185546640859354
RP11-505E24.2@IgG_28,0.021756517312020985
PLEKHH2@IgG_28,0.021690436003098956
LETM1@IgG_9,0.021385539643680927
ORAOV1@IgG_9,0.02137728248761044
ZNF77@IgG_46,0.02128552612218574
RP11-1084E5.1@IgG_9,0.02128360545490846
EPHA1-AS1@IgG_46,0.021245449561742076
GIMAP6@MoMac-II_42,0.0210463940404482
IGFLR1@IgG_46,0.02101628870364993
KIAA1024L@IgG_46,0.020933874887358477
TECPR2@MoMac-II_42,0.02057875697602033
ZNF512@IgG_46,0.02046047818175391
NUMA1@IgG_9,0.02045251404010767
FIP1L1@IgG_9,0.02035350307035373
CTC-428H11.2@MoMac-II_42,0.02013617394859902
RP11-356C4.3@T_activated_44,0.019636281863627605
RBM26-AS1@IgG_28,0.01960429410828949
RP11-574F21.2@IgG_46,0.01953824372768242
RP11-768F21.1@MoMac-II_42,-0.019344266992309962
RP11-365H22.2@MoMac-II_42,-0.01934370116908208
FOXC2@MoMac-II_42,-0.019343606807880526
MYO10@MoMac-II_42,0.01925581622237357
ARID3B@IgG_9,0.01924173734351456
RP11-533E19.7@T_activated_44,0.018981608316214642
TMEM41A@MoMac-II_42,0.018872701124597966
RP11-791G15.2@T_activated_44,0.01881075835931202
GATSL3@T_activated_44,0.018778032263056802
CSTF1@IgG_9,0.01863723432162654
HERC6@IgG_46,0.018486652326360247
PGF@IgG_9,0.018447798039750215
RP11-98D18.9@T_activated_44,0.018408494051383298
RP11-505P4.6@T_activated_44,0.018403816909475346
PTCD1@T_activated_44,0.01830124234457418
BCAR1@T_activated_44,0.01827317844153013
RABEPK@IgG_46,0.018215830149168225
IFIT3@T_activated_44,0.018164392580805423
ZNF507@IgG_46,0.018125216839288256
PCDH17@IgG_17,-0.01809259159750299
CXCR6@MoMac-II_42,0.018036692564907766
MYD88@IgG_46,0.01797268902974472
UBN2@MoMac-II_42,0.017953023587280483
MBD1@IgG_9,0.017942694913945102
KCNAB1@MoMac-II_42,0.017902836348051714
RP4-671O14.7@IgG_17,0.017872031168685278
CFAP36@IgG_46,0.01778839139647374
PAXIP1@IgG_46,0.01777965424832914
RFTN1@IgG_28,0.017652814521280005
IFFO1@IgG_9,0.01756636243586048
SIGLEC11@MoMac-II_42,0.017412626616373335
UBN1@IgG_46,0.01733401803799085
PLEKHA2@IgG_46,0.017295264438585638
WIPF2@IgG_46,0.017275415404539377
THOP1@IgG_9,0.01725852296135821
MRPL47@IgG_46,0.017228493412008702
RIC8B@MoMac-II_42,0.017193267141213078
ADORA2A-AS1@IgG_46,0.01715004619290214
MAU2@IgG_46,0.017064903966302444
RP11-21A7A.3@T_activated_44,0.01706379612987833
PRKCH@MoMac-II_42,0.016991844217937715
GIMAP1@IgG_9,0.016960494123214192
CEP170B@IgG_9,0.01694669373720122
TBC1D2@IgG_46,0.01689588617086435
FRAT1@IgG_28,-0.016885156995000705
RP1-224A6.3@T_activated_44,0.01682523626304731
AXIN2@IgG_17,-0.01660675075069717
HEATR5A@IgG_46,0.016541893015253755
ZNF77@MoMac-II_42,0.01642474278819834
RP11-356C4.3@IgG_17,0.016421727134517672
DNAH5@IgG_17,-0.016255775306943266
GIMAP6@IgG_9,0.01623611248461518
TBC1D2@IgG_17,-0.01621466078869401
CASD1@IgG_9,0.016180352580956906
ARID3B@IgG_28,0.016074898924113765
CTD-2035E11.4@IgG_9,0.01603671542643189
CTD-2310F14.1@IgG_17,0.01599554481785746
SMUG1@T_activated_44,0.015993564101850797
SMG9@IgG_9,0.015987893241949457
PRPF31@T_activated_44,0.01598061554724643
ERMP1@T_activated_44,0.015976845679635424
FOXA1@MoMac-II_11,-0.015964224038264307
PDHX@IgG_9,0.015942409794668096
COPS4@IgG_9,0.01590292271087038
RP13-616I3.1@IgG_9,-0.015792789075119874
RUNDC3A@IgG_9,-0.01575524959451175
KCNK13@MoMac-II_42,0.015744345456593666
EXOSC5@IgG_46,0.01569192158351021
TYW5@MoMac-II_42,0.0155954455735246
RAI2@T_activated_44,0.015575731958589287
DHRS13@T_activated_44,0.015551596484880118
ARHGAP17@MoMac-II_42,0.015526451181605413
RP11-1151B14.3@IgG_17,0.015517192700090233
TAF8@IgG_46,0.015484243439589056
NR6A1@IgG_17,0.015473153539060517
EXOSC2@T_activated_44,0.015430766852158904
KHDC1@IgG_28,0.015419813770046389
BCO2@MoMac-II_42,0.01538437834029615
MAN1B1-AS1@MoMac-II_11,0.01536785128686442
EEF1G@IgG_9,0.01529219002270452
IKBKAP@IgG_28,0.015171365406471116
RP11-589P10.5@MoMac-II_42,0.015156965426753656
C1orf174@MoMac-II_42,0.015078148346498434
SNED1@IgG_17,-0.015037244966691714
YIPF5@IgG_46,0.015024157675196177
MFSD2A@IgG_46,0.014995197564914546
OSBP@IgG_9,0.014852444308817212
ZNF777@MoMac-II_11,-0.014715008438965142
IFIT3@IgG_9,0.014619864326725303
RP11-514O12.4@IgG_46,0.014592615721190184
OTUD6A@IgG_28,-0.014565590249409262
HAR1B@IgG_28,-0.014562501186038685
AP000442.4@IgG_28,-0.01455917703144564
SAMD4A@MoMac-II_42,0.014448782947129651
FO538757.2@IgG_46,0.014379329449024517
NOP9@IgG_17,0.014365629050510429
SAMD1@IgG_28,0.0143456334638552
ZBED5-AS1@IgG_46,0.014341844578371853
ACTR8@IgG_9,0.014336092252035339
STRN4@IgG_17,0.01423122727682354
DLL3@IgG_28,-0.014219985153094545
LINC01521@IgG_17,0.014154754978708241
SORBS2@IgG_9,0.014105962696139531
SVIL-AS1@IgG_28,0.014068923406262328
FAM104B@IgG_46,0.014032717973706912
PKN3@T_activated_44,0.014011650554128023
NUPL2@IgG_46,0.01390885226376008
L3MBTL3@IgG_9,-0.01381076429729727
HIST1H4B@IgG_9,0.01376906255239077
UBOX5@IgG_9,0.013750367409028423
ASUN@IgG_17,0.013744405383067577
DNAH3@MoMac-II_42,0.013647218155532099
HEATR5A@MoMac-II_42,0.013564085587041138
GORAB@MoMac-II_11,0.013562906914804988
FAM73B@IgG_46,0.013462917371273024
ANKS1B@T_activated_44,0.013400932334182325
NINL@IgG_17,0.013375499683544638
SBF2@IgG_46,0.013283594721127065
PRKAG2@T_activated_44,0.01326530726319456
APOBEC2@IgG_17,-0.013229451840468908
RP3-523C21.2@IgG_17,-0.013223388156351022
NFE2@IgG_17,-0.013213799138640837
ZNF600@MoMac-II_42,0.01318248355377138
TRIP13@IgG_17,0.013148815162181856
ZNF600@IgG_9,0.013129222415505678
ATG10@IgG_46,0.01310064612700814
CHD6@MoMac-II_42,0.013090899205335526
JADE2@IgG_46,0.013090386972506586
EXOSC2@IgG_46,0.013059808625833757
LINC00299@IgG_9,-0.012994133161874116
TIE1@IgG_17,-0.012987525778850546
DIABLO@IgG_28,0.012936563897481145
NUP88@IgG_46,0.012886308150015714
RP11-529E15.1@IgG_17,-0.01288233658968438
EXOSC8@IgG_28,0.012872105727665104
FAM73B@IgG_9,0.012865724494742256
MED22@MoMac-II_42,0.012837676280818626
C20orf196@MoMac-II_42,0.012815218198344455
KCNA7@IgG_9,0.012793382285434763
SMIM19@IgG_46,0.012768344090807428
FCER1A@IgG_9,0.0127153485733823
ZNF569@IgG_17,0.012684191056845245
SPRYD4@MoMac-II_42,0.012680812916321768
ICE2@MoMac-II_42,0.01263717469984199
