Feature,Value
IGSF9B@AM_25,0.16562942668775274
ADCY8@AM_25,0.16553203785181383
SPRY4-IT1@AM_25,0.1655187262626929
CTD-2199O4.6@AM_25,0.16543745610430022
SCHIP1@AM_25,0.16541137769808448
LYPD6@AM_25,0.16523264212924768
RP11-137H2.4@B_56,0.11146726850271783
RP1-239B22.5@B_56,0.09307543710352015
PIK3IP1-AS1@AM_10,0.08731904994602312
LONRF2@AM_25,0.07719606777103796
RP11-96D1.11@AM_10,0.07579939074560356
ZNF648@AM_10,0.070834400294447
DEPDC4@AM_25,-0.07032731004241832
SLC4A3@AM_10,0.06971750092638633
RP11-989E6.10@AM_10,0.06724044046538925
LINC00618@AM_57,-0.06441439487485402
RP11-629N8.3@Tcm-naive_II_34,0.061966731837818555
RAX2@Tcm-naive_II_34,0.06186639531072774
PTPRH@AM_25,-0.059683347274679124
KRT23@AM_57,-0.05964991809298853
ABCG5@Tcm-naive_II_34,-0.059184973682267536
AL035610.2@Tcm-naive_II_34,-0.05888832232618508
RP11-513O17.3@B_56,0.05850348298970428
RP11-680F8.3@AM_10,0.05721043387039753
CTD-2336O2.3@AM_57,-0.05720958882957125
RP11-540O11.6@AM_10,0.056751864422348544
AC007292.6@B_56,0.056252237367248124
RP11-162A12.2@AM_25,-0.0554635602329455
MIR181A2HG@AM_25,-0.054013533755216225
RP11-299G20.2@AM_57,-0.053665792830744095
AC015922.6@cDC2_14,0.051995551824550214
AC004540.5@B_56,0.05149402621959827
MYBPC3@B_56,0.051184373478458445
ADAMTS4@AM_25,-0.04930840168290661
RIIAD1@AM_57,-0.048843229408055855
ADAD2@Tcm-naive_II_34,-0.04820395986272493
TMSB10@B_56,-0.04785448806292343
DAO@AM_25,0.04753190803608867
RNF150@AM_25,-0.04585947524106228
OXER1@Tcm-naive_II_34,-0.045728384526823415
ADRB3@AM_57,-0.045310035929495736
MSI1@B_56,0.04505165415832833
RP11-278A23.4@Tcm-naive_II_34,-0.04501444963004263
RP11-441O15.3@B_56,0.044757503300372294
RP4-657D16.3@AM_57,-0.04421972245856254
DNAJB13@AM_57,-0.04416473049746403
DRC3@AM_10,0.043903467978416925
RP1-292B18.3@Tcm-naive_II_34,0.04381480218611866
DLL4@Tcm-naive_II_34,-0.04322316172561047
LIME1@Tcm-naive_II_34,-0.04306084178949554
SLC28A2@AM_25,-0.04233399145270694
PTPRD-AS2@B_56,0.04224452561608231
AXIN2@AM_10,0.04195175630590854
DHRS7C@cDC2_14,0.04162325846137132
SCHIP1@B_56,0.04106485750139718
RP3-337H4.8@AM_10,0.04098772203908895
RP11-680F8.3@Tcm-naive_II_53,0.040755650525598604
SLC6A20@AM_57,0.040648479951068815
RP11-64D24.4@Tcm-naive_II_53,0.03934900107796613
CTD-2302E22.4@AM_25,-0.03894459629771855
WI2-85898F10.2@B_56,0.03864796022309842
HLF@cDC2_14,0.03839044970186398
TNFAIP8@B_56,0.03707583774390072
XXYLT1-AS2@cDC2_14,0.03682382434467947
ALDH1L2@AM_25,-0.036607556951248725
AP001625.6@AM_57,0.036496490013526894
