Feature,Value
SRD5A2@AM_57,-0.22261233190048865
PPP4R4@AM_57,-0.2224770067862695
RGS22@AM_57,-0.2031027961811935
STK33@AM_57,-0.20309371341419724
SERTAD4-AS1@AM_57,-0.15561088307093807
RP11-21L1.1@AM_57,-0.15329766805895895
TTLL9@AM_57,-0.11700055311448031
PBK@AM_57,-0.11694910941376699
CTB-32O4.2@AM_57,-0.11073866176129972
CASC15@AM_25,-0.10930310317390583
CA6@AM_57,-0.1037760118775076
ESPN@AM_57,-0.10377122295048095
RP4-657D16.6@AM_57,-0.1037622323181864
MEX3A@AM_57,-0.1037414707035582
ADIPOQ-AS1@AM_57,-0.10368493382144901
RP11-637O19.2@AM_57,-0.10365906314924726
RIMS1@AM_57,-0.10364011846996388
BVES@AM_57,-0.1036129195048009
TMEM244@AM_57,-0.10357972093262015
AC012005.3@AM_57,-0.10357046554262617
OVOL2@AM_57,-0.1035647945192899
AP001468.58@AM_57,-0.1035618569389523
RP11-77H9.5@AM_57,-0.10354696740008808
ZMAT4@AM_57,-0.1035382493435134
LINC01468@AM_57,-0.10352672125737732
RP11-571M6.18@AM_57,-0.10351851040440825
KB-1471A8.1@AM_57,-0.10351032915944143
ABCD2@AM_57,-0.10215499410581043
RNF31@AM_57,-0.09520492194458138
AC013480.2@AM_25,-0.08590867561209463
RP1-102E24.10@AM_57,-0.07324856289004669
RP11-412D9.4@MoMac-III_38,0.07279970256506677
CCDC102A@AM_57,-0.06666042733878344
RP11-637A17.2@MoMac-III_38,0.06593856200069638
ENKUR@AM_57,-0.06161171406299431
ANP32D@AM_25,-0.06095608735038798
RP11-401F2.3@AM_57,-0.05954296045497587
CTC-360G5.9@AM_25,-0.055983094623812776
RP11-626G11.1@AM_57,-0.05554634669031782
CTD-2358C21.5@AM_57,-0.0555328825898149
MYCBPAP@AM_57,-0.05251204291575376
LINC00924@AM_57,-0.05032557490358666
KDM4D@MoMac-III_38,0.04888131483374063
RP11-649A18.12@AM_57,-0.04613323909113337
KLHL7-AS1@AM_10,-0.045091838904126984
RP11-484K9.4@AM_10,-0.04508567500640653
ANKRD20A2@AM_10,-0.04507699179350935
RTP5@AM_10,-0.04507344893715895
RP11-561O23.8@AM_10,-0.045069931266132526
PCGEM1@AM_10,-0.04506461146348222
AP000640.10@AM_10,-0.04505935145037938
LINC00923@AM_10,-0.04504721978721293
RP11-329J18.3@AM_10,-0.045038956831342576
GOLGA6L9@AM_25,-0.044589649588429
ESRP1@AM_25,0.04423307508095061
GNAL@AM_57,-0.04376620416629765
