Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.7,0.7692307692307692,0.5263157894736842,0.625,0.8521303258145363
all_clusters_nonmetabolic,0.7391304347826086,0.6666666666666666,0.8,0.7272727272727272,0.8769230769230769
all_clusters_random,0.8461538461538461,0.7647058823529411,1,0.8666666666666666,0.7928994082840237
lcam_hi_metabolic,0.75,0.6666666666666666,0.75,0.7058823529411765,0.8020833333333334
lcam_hi_nonmetabolic,0.6363636363636364,0.6666666666666667,0.4,0.5,0.8166666666666667
lcam_hi_random,0.84,0.8181818181818181,0.8181818181818182,0.8181818181818182,0.9090909090909091
lcam_lo_metabolic,0.76,0.7999999999999999,0.6666666666666666,0.7272727272727272,0.9166666666666666
lcam_lo_nonmetabolic,0.6756756756756757,0.6666666666666666,0.5882352941176471,0.625,0.7470588235294118
lcam_lo_random,0.5454545454545454,0.5294117647058824,0.5625,0.5454545454545455,0.5698529411764706
lcam_both_metabolic,0.8095238095238095,0.75,0.75,0.75,0.9038461538461539
lcam_both_nonmetabolic,0.9130434782608695,1,0.8,0.888888888888889,0.9384615384615385
lcam_both_random,0.8846153846153846,1,0.7272727272727273,0.8421052631578948,0.9575757575757575
