Feature,Value
FAM120AOS@MoMac-II_42,0.8267296494041212
C1orf43@MoMac-II_42,0.6414935126596298
HMGN2@MoMac-II_42,0.5177902053795261
CCNI@MoMac-II_11,0.4712037830288435
IGHA1@IgG_17,0.46886356619242936
IFNAR1@T_activated_44,0.4327669339943281
EIF3G@IgG_9,0.42813428219655136
H2AFJ@IgG_9,0.41935545470889624
PRPF31@T_activated_44,0.40602038182962125
PRKAG2@T_activated_44,0.4024782763873367
FKBP1A@MoMac-II_11,0.3846506496799267
PARK7@MoMac-II_11,0.38284740935188005
TTC17@T_activated_44,0.36807892316174323
CPM@T_activated_44,0.3447581187563678
BCAS2@T_activated_44,0.34026373240504815
WASF2@IgG_17,0.33290772426247134
UBLCP1@T_activated_44,0.3277170401951025
DRAP1@MoMac-II_42,0.31947779831102674
RAB11A@MoMac-II_42,0.3032396092185629
PBDC1@MoMac-II_42,0.3008278783895373
PYCARD@MoMac-II_11,0.2936055357324811
IFI44L@T_activated_44,0.28482883548031185
ISG15@IgG_28,0.2757396590701591
HN1@MoMac-II_42,0.27462245186955114
CCNG1@T_activated_44,0.2741249404096159
FIP1L1@IgG_9,0.27410022044393817
HIST1H2BG@IgG_46,0.27196333382672555
EIF1B@MoMac-II_11,0.2700291361776938
SNRNP40@T_activated_44,0.26171528647427506
RPL38@MoMac-II_42,0.25777783890493905
IFIT3@MoMac-II_42,0.25657465870161433
C1orf43@T_activated_44,0.24992787862775506
HIST1H1C@IgG_28,0.24871173124538495
CXXC1@T_activated_44,0.24618567939264627
ISG15@MoMac-II_42,0.24537644991848503
NUDT4@AZU1_mac_16,0.23686318885982358
CXCR6@T_activated_44,0.23462862666745443
TCEB2@MoMac-II_11,0.23020350900662018
CCNI@IgG_9,0.22973913556448383
TIAL1@T_activated_44,0.22916658809477022
HMGN2@MoMac-II_11,0.2272076799431096
YWHAE@IgG_9,0.22507987346962235
MRPL47@MoMac-II_11,0.22475526767399773
ARRDC3@T_activated_44,0.22306254614369386
FDX1@MoMac-II_11,0.21445224748591366
RAB1A@MoMac-II_11,0.20919333509850302
IL1RN@AZU1_mac_16,0.2064581786861553
GRN@MoMac-II_11,0.2060672833327637
CTSD@T_activated_44,0.20408026426322556
COPS3@MoMac-II_42,0.20218756504532417
IFI44L@MoMac-II_42,0.19805065327519233
CCDC59@T_activated_44,0.195140294205291
CENPH@AM_54,-0.18926785286311348
XBP1@IgG_46,0.18768677083105903
SNX4@T_activated_44,0.1874503980579397
FIBP@T_activated_44,0.18602472485631671
CTSH@AM_55,-0.18558359907025512
NUDT4@IgG_17,0.1855491833073483
FBXO4@T_activated_44,0.18371892417406002
VCP@T_activated_44,0.18139320686801771
FAM120AOS@T_activated_44,0.17990882796030708
B2M@AM_55,-0.17640810125464498
PAK2@T_activated_44,0.17466004947268082
MT-CO3@AM_55,-0.17456403594444173
SDF2@AZU1_mac_16,0.17303292280135038
ZNF131@T_activated_44,0.1706459205946226
CD55@AM_54,-0.1696496796636585
HSPD1@MoMac-II_11,0.16847510789170506
TIAM1@T_activated_44,0.1665251630650757
MT-CO3@AM_25,-0.16611051929684723
UBE2K@T_activated_44,0.16550637544835559
SDE2@T_activated_44,0.1647086765709151
GIMAP1@T_activated_44,0.16251729962626263
XBP1@AM_54,-0.16241928252384047
HIST1H1C@IgG_17,0.1614334599129231
PLEKHF1@T_activated_44,0.16034096679397755
B2M@AM_57,-0.158305374411557
USP9X@AZU1_mac_16,0.15773412931901054
HIST1H1C@IgG_46,0.15741400006338552
IGLC3@AM_54,-0.15705480930241017
ZBED2@T_activated_44,0.15133424886789948
RPL10@MoMac-II_11,0.14967380198753438
CLEC7A@MoMac-II_11,0.14943460813002318
SRP19@IgG_9,0.14595355853609418
IGHG3@AZU1_mac_16,-0.1451091820286484
GBP4@AM_54,-0.14472829379838245
IGLC3@IgG_46,0.14355963848721176
IGLV6-57@IgG_46,0.14098925887349067
RBX1@T_activated_44,0.14020620472951534
IGLV6-57@IgG_28,0.1389601793183163
CXCL3@AM_55,-0.1377003454916786
EIF1B@T_activated_44,0.13622162493280052
WSB1@MoMac-II_11,0.1318707504496673
SEPT6@IgG_9,0.13038342021712673
ACTG1@MoMac-II_11,0.1302627067829936
RNH1@T_activated_44,0.12763133323118833
IGLC3@IgG_17,0.12546940174866963
C2@AZU1_mac_16,0.12324280888263602
RHOB@T_activated_44,0.12294621353635017
B2M@MoMac-II_42,0.12224818947858163
B2M@IgG_46,0.12164985853322297
RPL31@MoMac-II_42,0.12132525638103098
RPL37A@AM_10,-0.1203553248642354
CTSD@MoMac-II_11,0.118228855243692
B2M@AM_25,-0.11544080353424005
TCEB2@T_activated_44,0.11487755933230494
B2M@AM_54,-0.11473602135378895
IL1B@MoMac-II_11,0.11352235577698334
ISG15@MoMac-II_11,0.11336180786608879
IGHG3@IgG_46,0.11234835588973872
MT-CO3@MoMac-II_11,0.11161511306728125
RAB1A@T_activated_44,0.11067118476138423
NOP10@MoMac-II_11,0.10956814315439978
HIST1H2BG@IgG_28,0.10736628014017163
RHOB@IgG_9,0.10552461024720966
C1orf43@IgG_17,0.10520175971736362
EIF3G@IgG_28,0.10488611026179107
MMP7@MoMac-II_42,0.10471815267108038
ISG15@T_activated_44,0.10391631174258908
IGLC3@IgG_28,0.10339514633453514
MT-CO3@AM_57,-0.101714898121299
GADD45B@IgG_28,-0.09860988161966636
NOP10@IgG_9,0.09859997908864239
CSNK1G3@T_activated_44,0.09733337607624468
TMEM87B@T_activated_44,0.09444863477001826
IGLV6-57@IgG_9,0.09370919698679864
XIST@MoMac-II_11,0.09325202997939053
IGLL1@IgG_9,0.09171198023343918
ISG15@IgG_9,0.08985083750602436
SPRTN@T_activated_44,0.08892552192061445
CHD6@T_activated_44,0.08891537549903818
IFIT3@T_activated_44,0.08818011141344428
ZNF331@AM_55,-0.08665851041282191
CALU@IgG_17,0.08626846268816196
CTSH@MoMac-II_42,0.08531190808658412
IGHA1@AM_54,-0.08522097016118467
PPHLN1@T_activated_44,0.08432223295737296
B2M@MoMac-II_11,0.0842471171620364
IL1RN@MoMac-II_42,0.08382118130231088
VAMP8@T_activated_44,0.08359857404129627
MRPL3@T_activated_44,0.08311202092814668
IGHA1@AM_55,-0.08269837978597747
TPX2@AM_54,-0.0825348236601397
MT-CO3@AM_54,-0.082318657424721
