Feature,Value
NDUFS2@T_activated_44,0.6110882312375994
B3GNT2@T_activated_44,0.6077561372375037
CNDP2@T_activated_44,0.4664268236939044
PIGF@MoMac-II_42,0.4576979496234155
AK3@T_activated_44,0.4524510795622597
PMVK@IgG_46,0.4449716753424925
PFKL@T_activated_44,0.43654973544973535
SDHD@IgG_46,0.36919597471095456
PI4KB@MoMac-II_42,0.35712770562770557
NDUFA5@IgG_46,0.3300820314332629
PIK3CG@MoMac-II_42,0.31054761904761896
ETHE1@T_activated_44,0.29865419844705554
DCK@T_activated_44,0.2842987700130557
B4GALT7@IgG_28,0.2690333533501235
ALDH6A1@MoMac-II_42,0.2172734693877551
PPCDC@IgG_46,0.21458811002661932
ALG2@IgG_46,0.21419897959183673
INPP5D@T_activated_44,0.20687683295540438
MGLL@IgG_9,0.20653197278911561
ENOPH1@T_activated_44,0.19942312925170072
UQCRC2@T_activated_44,0.19333272864701434
SDHB@T_activated_44,0.19233877551020406
B3GALNT2@IgG_17,0.1829877551020408
ACAA1@T_activated_44,0.18279071076706543
MPPE1@MoMac-II_42,0.18151360544217687
SIRT7@IgG_46,0.18083314780457638
MOGS@MoMac-II_42,0.18034978517722877
ATP6V1G1@IgG_46,0.17679818594104305
DNMT3A@MoMac-II_42,0.17595537180389395
NDUFS5@IgG_17,0.17324606610320892
B4GALT3@IgG_46,0.15489309480598049
HDDC2@IgG_46,0.138912348917275
DLD@IgG_9,0.12954257565095
GPX1@IgG_46,0.12885774831671798
SARDH@T_activated_44,0.12867315541601254
TPI1@IgG_46,0.1264849017977097
HEXB@IgG_28,0.12526053639846743
AHCY@IgG_9,0.12226150598170303
NUDT5@T_activated_44,0.12063799209761943
GCDH@MoMac-II_42,0.11284897959183672
ALDOC@IgG_9,0.11283359497645212
AASDHPPT@T_activated_44,0.11283359497645212
DNMT1@T_activated_44,0.111659272404614
GLS@T_activated_44,0.11158163265306122
GALNT2@MoMac-II_42,0.11045454545454547
NAPRT@IgG_17,0.11034482758620691
DGKZ@T_activated_44,0.11034482758620691
AMD1@T_activated_44,0.10884353741496598
PRPS2@T_activated_44,0.10775510204081633
PIP5K1B@IgG_9,0.10606198034769466
ADCY3@T_activated_44,0.10600642479213906
MAN1A2@IgG_46,0.10495720868992758
NDUFA11@IgG_46,0.10398744113029826
LPCAT4@IgG_28,0.10393046107331821
FPGS@MoMac-II_42,0.1036408163265306
GCLM@T_activated_44,0.1036408163265306
UROS@T_activated_44,0.1036408163265306
ECHS1@T_activated_44,0.1036408163265306
PIGT@T_activated_44,0.10346938775510203
FHIT@IgG_9,0.1033913910391743
IVD@MoMac-II_42,0.10326564625850336
STT3A@IgG_46,0.10326564625850336
MAT2B@IgG_28,0.10289115646258501
PCK2@MoMac-II_42,0.10286021431984164
GALNT2@T_activated_44,0.10286021431984164
PDE7A@T_activated_44,0.10286021431984164
NDUFV2@IgG_46,0.10286021431984164
AKR1A1@IgG_17,0.10260380014074595
AK6@T_activated_44,0.10260380014074595
UQCR11@T_activated_44,0.10204940562083419
SIRT7@IgG_9,0.10173913043478261
PDSS2@MoMac-II_42,0.10173913043478261
HSD17B12@IgG_46,0.10173913043478261
KMT2E@T_activated_44,0.10162937902433701
GALM@MoMac-II_11,0.10157596371882088
TKFC@IgG_9,0.10133333333333333
PTEN@IgG_9,0.10132343846629562
NDUFA2@IgG_17,0.10083333333333336
GRHPR@T_activated_44,0.09965766951942066
NDUFS5@IgG_46,0.09965766951942066
UAP1@IgG_46,0.09965766951942066
RDH11@T_activated_44,0.09587755102040817
ALG3@IgG_9,0.09578231292517009
INPP5D@MoMac-II_42,0.09578231292517009
PYCR2@T_activated_44,0.09578231292517009
ATP6AP1@T_activated_44,0.09578231292517009
MGAT1@IgG_46,0.09578231292517009
MAGT1@T_activated_44,0.09566326530612242
ALG5@IgG_46,0.09566326530612242
ETNK1@MoMac-II_11,0.09550235478806908
PGP@T_activated_44,0.09550235478806908
UQCRB@IgG_17,0.09496126544263189
IL4I1@MoMac-II_42,0.09446564625850341
PFKL@IgG_46,0.09446564625850341
LTC4S@IgG_17,0.09422448979591838
UQCRFS1@IgG_17,0.09422448979591838
PTGES2@MoMac-II_42,0.09397684326255754
MTHFD1L@MoMac-II_42,0.09334823561531636
PLD3@T_activated_44,0.09312925170068027
ASL@T_activated_44,0.0929032258064516
GYG1@T_activated_44,0.09228039041703637
PDE6D@MoMac-II_42,0.09218855218855218
C1GALT1@IgG_28,0.09063241296518607
SRD5A3@IgG_46,0.09041743970315397
AUH@MoMac-II_42,0.08905380333951764
NANS@IgG_46,0.08905380333951764
COX7A2L@IgG_9,0.08817240874844559
GMPPB@MoMac-II_42,0.08816326530612248
INPP5K@IgG_9,0.08796674225245656
CS@MoMac-II_42,0.08796674225245656
PCCB@MoMac-II_11,0.08737414965986393
B4GALT4@MoMac-II_42,0.08737414965986393
COX5B@IgG_17,0.08638578011849901
NDUFV2@IgG_9,0.08634530066207083
NDUFB10@IgG_9,0.08631614751163624
ATP6V0D2@MoMac-II_42,0.08623685837971552
COQ4@MoMac-II_42,0.0857156462585034
NME1@IgG_9,0.08537448979591837
FAHD1@MoMac-II_42,0.08537448979591837
ALDH9A1@T_activated_44,0.08537448979591837
CYC1@T_activated_44,0.08503401360544215
SMYD2@IgG_28,0.085
PGAM1@IgG_28,0.0845241530955817
GSTO1@IgG_17,0.08429765886287627
MFNG@MoMac-II_42,0.08356521103064883
MIF@IgG_46,0.08352631578947367
PHYKPL@IgG_17,0.08282862640005495
UCKL1@MoMac-II_42,0.08282862640005495
PGK1@IgG_28,0.08174665728360309
MGAT1@T_activated_44,0.08106966924700915
ECI2@MoMac-II_42,0.08096938775510205
NUDT9@IgG_46,0.08078231292517009
TPK1@MoMac-II_42,0.0804837490551776
GUSB@T_activated_44,0.0804837490551776
GRHPR@IgG_46,0.07863945578231293
PDE8A@MoMac-II_42,0.07862944508907241
SMPD2@MoMac-II_42,0.0783673469387755
HIBCH@T_activated_44,0.0783673469387755
CDS2@IgG_46,0.07739009582327555
NAGK@IgG_9,0.07513528138528139
MAT2B@T_activated_44,0.07408163265306122
INPP5D@IgG_9,0.0738095238095238
C1GALT1@IgG_17,0.06951716247139589
DCTPP1@T_activated_44,0.05796037296037296
BCAT2@IgG_46,0.05307142857142857
DPM2@IgG_28,0.04535714285714287
MAT2B@IgG_46,0.04505698005698004
AFMID@IgG_46,0.044649999999999995
DHODH@IgG_9,0.04449523809523811
CBR4@IgG_9,0.0438961038961039
NDUFS4@IgG_46,0.04137931034482758
PI4KA@IgG_46,0.04
PLCD1@IgG_9,0.03958333333333334
CES2@IgG_17,0.0375
PTGES3@IgG_17,0.03740856844305121
GAA@IgG_28,0.03601538461538462
NDUFB4@MoMac-II_42,0.035555555555555556
ATP6V0A1@T_activated_44,0.03483870967741936
NDUFB8@IgG_46,0.03483870967741936
DPM2@MoMac-II_11,0.03448275862068966
LPCAT3@T_activated_44,0.03407407407407406
AK3@IgG_46,0.03407407407407406
ENGASE@IgG_46,0.03304347826086957
NDUFA1@IgG_9,0.032407407407407406
NDUFA9@IgG_17,0.03148809523809524
NANS@IgG_9,0.030476190476190476
ME2@IgG_17,0.030083333333333347
CHST12@T_activated_44,0.028361344537815133
NDUFA12@MoMac-II_11,0.028275862068965516
