Feature,Value
CCDC94@MoMac-II_42,0.21576660533369676
ATF1@DC3_52,0.18367317653257342
TIGIT@T_activated_44,0.16447552447552444
FAM195A@DC3_52,0.14486624683689903
KLF13@IgG_46,0.14402241277241276
RAD18@DC3_52,0.13643867211131275
HPS1@IgG_17,0.13266785714285714
TBC1D8@Treg_19,0.13120238095238093
RP5-1028K7.2@Tcm-naive_I_51,0.12808691940570494
NRBF2@IgG_9,0.12715407993008104
TIGIT@B_56,0.12123954451345753
ICOSLG@DC3_52,0.11330357142857142
CSNK1E@MoMac-II_42,0.11017628205128206
CLMN@MoMac-II_42,0.10153846153846154
CD93@B_56,0.10111893438103112
MRPL21@IgG_46,0.10034722222222223
NPC1@MoMac-II_42,0.09854460784313725
RNFT1@IgG_9,0.09608198924731182
C9orf69@MoMac-II_42,0.09608198924731182
IER2@NK_13,0.09295238095238098
TRAT1@IgA_31,0.09203478260869566
FAM213B@B_56,0.09203478260869566
TMEM156@T_activated_44,0.09187499999999998
SLC20A2@DC3_52,0.09187499999999998
EFTUD2@MoMac-II_42,0.09153409090909091
SF3B6@IgG_9,0.09112433862433862
PHF3@MoMac-II_11,0.09112433862433862
VPS25@IgG_46,0.0903277972027972
C20orf27@MoMac-II_42,0.0902873563218391
CLOCK@MoMac-II_42,0.08571759259259261
CIITA@DC3_52,0.08571759259259261
HEXIM1@IgG_28,0.0853205128205128
NUTM2A-AS1@MoMac-II_42,0.0853205128205128
UQCC2@T_activated_44,0.0853205128205128
PINK1@IgG_17,0.08495009074410163
NRBF2@IgG_28,0.08382644927536229
SP140L@MoMac-II_42,0.08333333333333331
FMN1@MoMac-II_42,0.08333333333333331
GLRX3@IgG_9,0.08328629032258064
MRPL39@IgG_17,0.08313079710144927
RNF214@IgA_31,0.08313079710144927
MUC12@AM_25,0.08243872549019608
MYADM@Treg_19,0.08166666666666667
ANAPC5@MoMac-II_42,0.08151124338624338
MRPL39@MoMac-II_42,0.08083928571428572
TUBG1@Treg_19,0.08022222222222221
ATG4C@Tcycle_18,0.07872023809523808
MRPS25@T_activated_44,0.07872023809523808
MTG2@IgG_28,0.07854545454545453
