Feature,Value
IFI44L@MoMac-II_42,0.23339021164021162
PFDN6@IgG_9,0.20805377603357136
TMEM41A@MoMac-II_42,0.20726324474847713
PAG1@MoMac-II_42,0.19897433862433858
FAM60A@MoMac-II_42,0.19187541625041626
COPS4@IgG_9,0.18011904761904765
MYD88@MoMac-II_42,0.17609656084656083
ARPC1A@MoMac-II_42,0.16137566137566137
XBP1@IgG_46,0.16029865967365964
PYCARD@MoMac-II_42,0.1545946783731414
SSR3@IgG_9,0.14673271261406468
ARGLU1@MoMac-II_42,0.14390211640211636
ZNF33A@MoMac-II_42,0.14056731751457918
C20orf196@MoMac-II_42,0.13958738218303435
SMUG1@T_activated_44,0.1313725045372051
SPRYD4@MoMac-II_42,0.12952563928797325
TWSG1@IgG_9,0.1287493386243386
CDK19@MoMac-II_42,0.12542295031028428
ARRDC3@IgG_28,0.1142090527607769
UBLCP1@T_activated_44,0.11397600802773215
TCEB2@IgG_46,0.11382539682539682
TCEB2@T_activated_44,0.11285646997929603
FAM120AOS@T_activated_44,0.11155582922824302
CDK19@T_activated_44,0.110078431372549
LMO4@IgG_46,0.10978688883580189
ORAI2@MoMac-II_42,0.10512499999999997
CASC3@MoMac-II_42,0.10139166666666666
FIP1L1@T_activated_44,0.100990062835715
ELMOD2@IgG_9,0.10062644927536228
IER2@IgG_46,0.09957575757575757
FIBP@T_activated_44,0.09832155163676902
IGLL1@IgG_9,0.09711352193207032
PYCARD@MoMac-II_11,0.0928491647241647
LMO4@MoMac-II_42,0.09269399585921324
GLTSCR2@MoMac-II_42,0.091399256799494
NOP10@IgG_46,0.08990384615384615
FES@MoMac-II_42,0.0885722928009679
TTC17@T_activated_44,0.08741402116402114
COPS3@MoMac-II_42,0.08714134094568873
RICTOR@IgG_46,0.08713133357870198
PRR3@MoMac-II_42,0.08697115384615386
FLCN@T_activated_44,0.08571428571428569
TRNAU1AP@IgG_46,0.08571428571428569
THOC2@IgG_46,0.08571428571428569
WSB2@IgG_9,0.08530890804597697
GTF3C5@MoMac-II_42,0.08524825174825174
AKAP11@MoMac-II_42,0.08449999999999998
SLBP@MoMac-II_11,0.08430069930069928
SMIM19@IgG_9,0.08403321256038643
HIST1H1C@IgG_46,0.08391608391608393
RER1@IgG_46,0.08385780885780886
SDE2@IgG_17,0.08382644927536229
GBP4@MoMac-II_42,0.08382644927536229
GIGYF1@MoMac-II_42,0.08341666666666667
GAK@MoMac-II_42,0.0833333333333333
SNRNP27@MoMac-II_42,0.0828809523809524
LRIF1@MoMac-II_42,0.08166666666666667
MRPL43@MoMac-II_42,0.08151124338624338
MRPL3@MoMac-II_42,0.08030357142857142
MYD88@MoMac-II_11,0.07972277034559645
C1orf43@IgG_17,0.07872023809523808
PRKCH@MoMac-II_42,0.0784259259259259
STAG2@IgG_46,0.07706521739130436
SNX4@IgG_17,0.07666666666666666
FKBP1A@T_activated_44,0.07640005827505826
IFNAR1@T_activated_44,0.07640005827505826
ARGLU1@IgG_46,0.07601388888888891
UBE2K@MoMac-II_42,0.07520833333333331
C19orf24@T_activated_44,0.07487333635813671
PRPF31@T_activated_44,0.07487333635813671
YIPF5@IgG_46,0.07467971014492755
SNRPB@IgG_17,0.07424999999999998
TMEM63A@MoMac-II_42,0.0737543706293706
SASH3@IgG_17,0.07243386243386242
RFTN1@T_activated_44,0.07243386243386242
WSB1@IgG_9,0.07241619228336495
SNRNP40@T_activated_44,0.07220545977011492
DRAP1@MoMac-II_11,0.07199999999999998
MRPL43@T_activated_44,0.07187537810042345
TMEM19@IgG_17,0.07164085914085913
SMC5@MoMac-II_42,0.07145833333333336
RPL10@MoMac-II_11,0.07085610766045546
CYB5A@IgG_28,0.070165579710144907
PKN2@MoMac-II_42,0.07001388888888888
MRPL18@IgG_46,0.07001388888888888
VAMP8@IgG_46,0.06977355072463766
TRIM59@T_activated_44,0.06923659673659673
PHTF2@T_activated_44,0.06923659673659673
CRB3@IgG_46,0.06921163667487196
IGFBP7@MoMac-II_42,0.06903409090909093
FBXO2@T_activated_44,0.06903409090909093
TMEM50A@MoMac-II_42,0.06893867211131274
RBX1@IgG_9,0.06814880952380951
UNC13D@T_activated_44,0.06814880952380951
NUDT4@MoMac-II_42,0.06793079710144928
WRAP73@IgG_17,0.06749999999999998
ATP5L@IgG_46,0.06680681818181816
POMC@MoMac-II_42,0.06677775142314993
RBX1@IgG_46,0.0667191142191142
GIMAP6@MoMac-II_42,0.0661764705882353
TCEAL8@T_activated_44,0.06617460317460319
SMG9@MoMac-II_42,0.06612499999999999
PYCARD@T_activated_44,0.06612499999999999
RFC4@MoMac-II_42,0.0658064516129032
PDZD11@IgG_46,0.06523809523809523
AC007386.4@IgG_46,0.06518884818884818
ORMDL2@MoMac-II_42,0.06510416666666666
GIMAP1@MoMac-II_42,0.06481481481481483
TRNAU1AP@T_activated_44,0.06422222222222222
LRRFIP2@T_activated_44,0.06422222222222222
HMGN2@IgG_9,0.0636378205128205
TCP1@MoMac-II_42,0.06342342342342343
HIST1H2BG@IgG_46,0.06335372960372959
MRPL18@MoMac-II_11,0.06315868040005973
ATG10@T_activated_44,0.06297619047619046
TMEM50A@T_activated_44,0.06294871794871792
ELMO1@MoMac-II_42,0.06294010889292195
PABPC4@T_activated_44,0.06253676470588236
CXXC1@IgG_46,0.0625177242112726
C19orf24@IgG_46,0.06227777777777779
CPM@T_activated_44,0.0615014492753623
NUP88@T_activated_44,0.0615014492753623
SEPT6@IgG_46,0.0615014492753623
LEPROTL1@IgG_46,0.0615014492753623
EXOSC6@T_activated_44,0.061164021164021136
MTSS1@MoMac-II_11,0.06090579710144928
SLBP@T_activated_44,0.06090579710144928
SEPT6@IgG_9,0.06072023809523808
PTPN9@MoMac-II_42,0.06072023809523808
TMEM50A@IgG_46,0.06072023809523808
DFNA5@MoMac-II_42,0.060500000000000005
DKK2@MoMac-II_42,0.06043682795698922
PYCARD@IgG_28,0.060313043478260865
