Feature,Value
TAGLN2@cDC2_14,0.18641683135704873
ROCK1@T_activated_44,0.17146882441132377
SMPDL3A@MoMac-II_42,0.15839182331910964
TAGLN2@Tcm-naive_I_39,0.146888265544647
VPS26B@MoMac-II_42,0.14046128364389232
PTAR1@DC3_52,0.13225666362622884
STAT2@MoMac-II_42,0.1283263687483989
CPT1A@CD4 Trm_50,0.12831506102038337
HNRNPA2B1@MoMac-II_42,0.12824763099219622
RP11-545E17.3@DC3_52,0.11859895010477951
TAZ@MoMac-II_42,0.11374492753623189
C17orf62@DC3_52,0.11163777952652632
OBFC1@T_activated_44,0.10528737060041406
GMPS@MoMac-II_42,0.09983914405579164
SLC30A1@Tcm-naive_II_34,0.08838260869565216
RAB1B@DC3_52,0.08685879917184264
SIPA1@DC3_52,0.08534824016563146
PRKRIP1@MoMac-II_42,0.08385093167701867
CNIH1@CD16 mono_23,0.08285754100971492
CR1@MoMac-II_42,0.08204085091956946
GPN3@MoMac-II_42,0.08052606813476382
TAGLN2@MoMac-I_35,0.08023809523809522
AGAP4@AM_25,0.07907619047619047
FAM43A@Tcycle_18,0.07837681159420289
FRYL@DC3_52,0.07837681159420289
TRPM7@DC3_52,0.07826745718050064
ISOC1@AM_54,0.07704559484963401
KEAP1@DC3_52,0.07683794466403163
TSC22D4@T_activated_44,0.07681331953071084
FAM195A@IgG_46,0.07681331953071084
ME2@IgG_9,0.07620745341614908
TCEB3-AS1@B_56,0.0751855926512677
NMD3@MoMac-II_42,0.075108483769811
WDR55@MoMac-II_42,0.07304347826086957
TMEM168@MoMac-II_42,0.07304347826086957
ARF4@T_activated_44,0.07304347826086957
ITIH4@CD16 mono_23,0.07246376811594205
FNIP1@T_activated_44,0.07246376811594205
TECR@MoMac-II_11,0.0722811255191118
ORC3@T_activated_44,0.0722811255191118
OLFML3@DC3_30,0.07165879917184265
GLG1@MoMac-II_42,0.07165384615384618
RPS8@MoMac-I_35,0.07110799438990181
PKP2@MoMac-IV_47,0.07090616456477643
MAPK14@MoMac-III_32,0.07074380551659656
HYI@MoMac-II_42,0.0705681818181818
CD70@T_activated_44,0.07043478260869568
DNAAF2@IgG_9,0.07043478260869566
GABPB1@AM_55,0.07040027605244996
PLEKHA3@MoMac-II_42,0.07028737060041407
AC245100.1@T_activated_44,0.06988801054018444
PRKAR2B@DC3_52,0.06959197324414715
UIMC1@DC3_52,0.06950800915331806
FBXO22@Tcm-naive_I_51,0.06914895493429757
AGFG2@NK_13,0.06892919254658385
ARMCX6@T_activated_44,0.06848207475209765
OBFC1@CD4 Trm_59,0.06763975155279502
ATP6V1G1@Treg_19,0.06756020066889631
NOP9@AM_57,0.0674800724637681
RP11-727F15.9@T_activated_44,0.06746376811594205
FAM43A@T_activated_44,0.06741379310344825
POLE3@DC3_52,0.06741379310344825
NDUFA5@T_activated_44,0.06714097496706194
ZNF649@AM_57,0.06714097496706194
