Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.775,0.8125,0.6842105263157895,0.742857142857143,0.9135338345864661
all_clusters_nonmetabolic,0.782608695652174,0.6666666666666666,1,0.8,0.9692307692307692
all_clusters_random,0.9230769230769231,0.8666666666666667,1,0.9285714285714286,0.9940828402366864
lcam_hi_metabolic,0.8,0.7000000000000001,0.875,0.7777777777777778,0.8229166666666666
lcam_hi_nonmetabolic,0.9090909090909091,0.8333333333333334,1,0.9090909090909091,0.8583333333333334
lcam_hi_random,0.92,0.8461538461538461,1,0.9166666666666666,0.9155844155844156
lcam_lo_metabolic,0.8,0.7692307692307693,0.8333333333333334,0.8,0.9230769230769231
lcam_lo_nonmetabolic,0.918918918918919,1,0.8235294117647058,0.9032258064516129,1
lcam_lo_random,0.9090909090909091,0.8823529411764705,0.9375,0.909090909090909,0.9889705882352942
lcam_both_metabolic,0.8095238095238095,0.6666666666666666,1,0.8,0.9471153846153846
lcam_both_nonmetabolic,0.8695652173913043,0.7692307692307693,1,0.8695652173913044,0.976923076923077
lcam_both_random,1,1,1,1,1
