Feature,Value
PDE4A@MoMac-II_42,-6.701195497509031e-4
PAPSS1@MoMac-II_42,-6.68952273257003e-4
ITPA@MoMac-II_42,-6.669086595547702e-4
HCCS@MoMac-II_42,-6.638595989614345e-4
IDH3B@MoMac-II_42,-6.626616704333479e-4
BCAT1@MoMac-II_42,-6.609508480505511e-4
PPCS@MoMac-II_42,-6.532776859910306e-4
AASDHPPT@MoMac-II_42,-6.510605801056414e-4
PAPSS2@MoMac-II_42,-6.509216534078101e-4
B3GAT3@MoMac-II_42,-6.468791898283822e-4
TIGAR@MoMac-II_42,-6.453896187961168e-4
GCSH@MoMac-II_42,-6.434955623959147e-4
NDUFA8@MoMac-II_42,-6.414322026083899e-4
FXN@MoMac-II_42,-6.395852880790321e-4
ALG8@MoMac-II_42,-6.394320153611294e-4
ATP6V1D@MoMac-II_42,-6.390658559084834e-4
HIBADH@MoMac-II_42,-6.373160880883224e-4
ALDH9A1@MoMac-II_42,-6.342283252063422e-4
GCLC@MoMac-II_42,-6.336849226518289e-4
PDE1B@IM_8,6.336120234023519e-4
GPCPD1@MoMac-II_42,-6.327209536162442e-4
GALNT1@MoMac-II_42,-6.322468970605468e-4
IDH2@MoMac-II_42,-6.321035851085552e-4
GMPPA@MoMac-II_42,-6.316083637446293e-4
SDHA@MoMac-II_42,-6.313550173303863e-4
PLA2G7@MoMac-II_42,-6.285351590880061e-4
CMPK1@MoMac-II_42,-6.280510389684083e-4
NDUFV2@MoMac-II_42,-6.274293597648782e-4
NDUFA3@MoMac-II_42,-6.25887097027579e-4
FDPS@MoMac-II_42,-6.222767931119745e-4
UQCRQ@MoMac-II_42,-6.20235529780319e-4
FUCA1@MoMac-II_42,-6.200890672516874e-4
ELOVL1@MoMac-II_42,-6.199385880154643e-4
DHRS9@MoMac-II_42,-6.19752031857351e-4
NDUFB7@MoMac-II_42,-6.193832373662182e-4
COX7A2@MoMac-II_42,-6.193762383433229e-4
MGAT1@MoMac-II_42,-6.193055133288269e-4
LPCAT3@MoMac-II_42,-6.192528990594933e-4
PNPLA2@CD4 Trm_50,6.178279068102816e-4
GUSB@MoMac-II_42,-6.178109071657472e-4
COX7B@MoMac-II_42,-6.171236550273053e-4
COX17@MoMac-II_42,-6.169807684476491e-4
ADI1@MoMac-II_42,-6.167792425431983e-4
DPM1@MoMac-II_42,-6.165234788494913e-4
UQCRFS1@MoMac-II_42,-6.164446405958928e-4
COX6A1@MoMac-II_42,-6.162008575376896e-4
CYCS@MoMac-II_42,-6.153213421015701e-4
ATP6AP1@MoMac-II_42,-6.149083132797118e-4
AGPAT1@MoMac-II_42,-6.137695187355187e-4
TECR@MoMac-II_42,-6.127517161946031e-4
LPL@MoMac-II_42,-6.127474682840532e-4
FPGS@MoMac-II_42,-6.124999858471505e-4
CBR1@MoMac-II_42,-6.105657316612669e-4
NDUFA5@MoMac-II_42,-6.098309944430246e-4
NDUFB4@MoMac-II_42,-6.098191470577109e-4
IDI1@MoMac-II_42,-6.095459601034244e-4
ATP6V0B@MoMac-II_42,-6.093171773076602e-4
COX7C@MoMac-II_42,-6.088771395023922e-4
