Feature,Value
CASC4@IgG_28,0.0029933052589759313
ZNF131@IgG_28,0.0027371890830818553
EXOSC8@IgG_28,0.0026683145235681057
SEL1L@IgG_28,0.0026210117754141707
IGLC3@IgG_28,0.002590065995981169
TCEB2@IgG_46,0.002587423700174003
TMBIM4@IgG_28,0.002573836654052902
OSBP@IgG_9,0.002562003304117579
YIF1A@IgG_46,0.0025475051687732803
IGHG3@IgG_46,0.002515035949746191
ZNF331@IgG_28,0.0024676809885787005
WASF2@IgG_28,0.002438015113830829
PPP6R2@IgG_17,0.0024216558148119614
ZNF518A@IgG_46,0.002406693803318156
TXNL1@IgG_28,0.002406620404853522
AC007386.4@IgG_46,0.002390122421954381
SSR3@IgG_46,0.002381307741490912
TMBIM4@IgG_17,0.0023630254812148223
C2orf74@IgG_28,0.0023422364590162804
C1orf43@IgG_17,0.0023419820616389637
XBP1@IgG_46,0.0023276678505408737
BCAS2@IgG_28,0.002326585074914637
UBE2K@IgG_28,0.002318045132568448
RAB30@IgG_28,0.002314634462343463
GRN@IgG_46,0.002310712197291075
CCNG1@IgG_28,0.002297737792251277
COMMD3@IgG_46,0.002296784550072038
ATP5L@IgG_46,0.002291838501936972
GOLIM4@IgG_28,0.002284880416715172
TCEAL8@IgG_28,0.0022802214299931147
C19orf24@IgG_46,0.002275953097569277
ORMDL2@IgG_28,0.0022757115470016078
TMEM19@IgG_28,0.0022655310348636717
IGLV6-57@IgG_28,0.002265286396939665
ARGLU1@IgG_28,0.0022637417336310193
RPL38@IgG_46,0.002262433124844344
P2RX4@IgG_46,0.00226135295620818
SNRPB@IgG_46,0.0022613174354593683
FAU@IgG_46,0.0022587344045541273
GRN@IgG_28,0.0022576599902942285
SERPINB1@IgG_28,0.0022482355949285204
RPL31@IgG_46,0.002243100204031127
AP001058.3@IgG_46,0.002240703317231541
RPL37A@IgG_46,0.002233912627860196
TRAF3@IgG_46,0.0022327603772343625
IFFO1@IgG_28,0.002232451625847649
C15orf61@IgG_46,0.0022247206436000286
CADM1@IgG_28,0.0022169630789342014
RSL1D1@IgG_17,0.002216547784872836
PSMA1@IgG_28,0.002214001040104133
MPDU1@IgG_46,0.0022093870848106964
CCNC@IgG_28,0.0022079939908463205
B2M@IgG_46,0.002207880312634613
LSM14A@IgG_28,0.002206912311163052
RABEPK@IgG_28,0.002205976448267179
EIF3G@IgG_46,0.002205044951895881
CADM1@IgG_46,0.0021987627350840643
AP001058.3@IgG_28,0.0021957168303580613
RPL10@IgG_46,0.00218989736290238
HSPA13@IgG_28,0.0021892337576738695
PPP6R2@IgG_28,0.002184732169442431
IGLC3@IgG_46,0.002182685665799292
UNC13D@IgG_28,0.002177717737611253
NUP88@IgG_46,0.0021732680904147515
TCP1@IgG_46,0.002168168484638237
SFXN1@IgG_17,0.0021680221776877
TMEM19@IgG_46,0.002167493382076712
SCAF11@IgG_28,0.002166479391806034
LYRM5@IgG_28,0.0021635658128797836
EMC3@IgG_46,0.002159466983756174
TMBIM4@IgG_46,0.002158146060151281
FDX1@IgG_28,0.00215268489490311
RPUSD1@IgG_28,0.002148950853310512
HIST1H2BG@IgG_46,0.0021465428470579507
STAG2@IgG_46,0.002145989853658801
HN1@IgG_28,0.0021424254355019543
NPAT@IgG_28,0.002141183875060534
RBX1@IgG_28,0.0021374707380500406
POMP@IgG_46,0.0021327830721949415
CCNI@IgG_28,0.002127769809713734
SNRNP27@IgG_28,0.0021255262362681977
FLOT1@IgG_28,0.0021243979900594833
SPCS1@IgG_46,0.0021175748757610805
TCEB2@IgG_17,0.002112764673507719
IFNAR1@IgG_46,0.0021090021763744806
CALU@IgG_46,0.002108267717613929
PFDN5@IgG_46,0.002104825570772421
RP11-158I9.8@IgG_9,0.00210391386664561
SEL1L@IgG_46,0.0021024853678728523
PSMA1@IgG_46,0.0021019883523547473
MEI1@IgG_46,0.002100417798845024
CYB5A@IgG_28,0.0020971752819906315
SASH3@IgG_28,0.0020967802719798565
UBE2V1@IgG_28,0.002096395680829158
RAB1A@IgG_28,0.002094996380538158
ARFIP2@IgG_17,0.002094284683794233
RBX1@IgG_46,0.0020926136344823977
HIST1H2AC@IgG_28,0.0020920516159054887
H2AFJ@IgG_46,0.002091540905162954
DDX5@IgG_46,0.0020877380017653956
SLC35C1@IgG_28,0.002086456744709822
LMO4@IgG_46,0.0020818938506066767
LDAH@IgG_17,0.002080791790763645
ANKRD39@IgG_28,0.002077912112971371
COPB2@IgG_28,0.0020745283312342848
PAK2@IgG_9,0.002073336059010147
XBP1@IgG_28,0.0020715750299583257
C2orf88@IgG_28,0.002067008514135204
CALU@IgG_28,0.002066229384323641
TRAF6@IgG_28,0.0020575496999096538
RNF146@IgG_28,0.0020573383366241575
RICTOR@IgG_17,0.0020573173040957507
CASP2@IgG_28,0.002056167834290159
C19orf54@IgG_9,0.002054126627190687
PRKCB@IgG_9,0.00204567578982001
TTC17@IgG_17,0.0020445502332197196
TMEM50A@IgG_28,0.002041541722630677
SIRPA@IgG_9,0.002040848202262598
CADM1@IgG_9,0.0020404468366132466
HMGN2@IgG_46,0.002037939535717948
PAK2@IgG_28,0.0020363045413923074
PRKAR1A@IgG_28,0.002035108337712648
ZDHHC13@IgG_46,0.0020327176277890125
CCNC@IgG_46,0.0020293107964393952
PINK1@IgG_17,0.002028289173486161
UBN2@T_activated_44,0.002023841332796911
SEC24B@IgG_9,0.002016231672289896
RPAP1@T_activated_44,0.0020133196588841763
KIFC3@IgG_17,0.0020115045146855653
SMIM15@IgG_28,0.002009242930635557
ATP5EP2@IgG_46,0.0020088804732074977
SMIM19@IgG_28,0.0019988984211272032
SDCCAG8@IgG_46,0.0019987188089588366
BCL2L13@IgG_9,0.0019986474722001194
FLOT1@IgG_9,0.00199838690245878
NUDT4@IgG_28,0.0019977965172309287
PARK7@IgG_46,0.0019950650630370585
HSPA13@T_activated_44,0.001989638705629195
CXCL3@IgG_28,0.0019880814481943085
KPNA4@IgG_28,0.001983872724193543
FKBP1A@IgG_28,0.0019834243067133528
PSMG4@IgG_17,0.0019816063034486134
DDIT4@IgG_46,0.001980908271239091
TMEM50A@IgG_17,0.001977981923343711
CCDC59@IgG_28,0.00197788660941755
XRCC1@IgG_46,0.001977511968811167
YWHAE@IgG_46,0.0019715032886240985
IFNAR1@IgG_9,0.0019712335650392972
PYCARD@IgG_28,0.0019689809688794285
SRP19@IgG_46,0.001967391810936331
LINC00467@IgG_28,0.0019654678210126427
SURF4@IgG_46,0.001960644752845507
CALU@IgG_17,0.001957853773409152
RPUSD1@IgG_17,0.0019554038756091417
FLOT1@IgG_46,0.0019551292856315123
UBE2J2@IgG_9,0.0019545024448269343
ZNF124@IgG_17,0.0019502097162235417
ZNF33A@IgG_9,0.0019486314045739327
MRPL47@IgG_46,0.0019478009679269744
ANKRD39@IgG_9,0.001942310541240181
COPS3@IgG_28,0.001941876315493001
IGFBP7@IgG_28,0.0019389146620741502
