Feature,Value
FABP5@AZU1_mac_16,-0.002606610175468633
BBIP1@AZU1_mac_16,-0.002403234669939583
LYRM4@AM_10,-0.0023755196923774874
COPS7B@AM_25,-0.002367204585188497
EMC6@AZU1_mac_16,-0.0023236939118853875
NUP37@AZU1_mac_16,-0.0022944126973888346
AKAP9@AZU1_mac_16,-0.00227192403389549
COPS7B@AZU1_mac_16,-0.002238143864686637
CWC15@AZU1_mac_16,-0.0022069946921887055
KIAA1147@AZU1_mac_16,-0.002205541330174592
CLEC11A@AZU1_mac_16,-0.0021765091916316325
MALSU1@AZU1_mac_16,-0.002175038316383976
LYAR@AZU1_mac_16,-0.0021061306187253005
AP000487.5@cDC2_14,-0.0020962282772665863
ERGIC1@AZU1_mac_16,-0.0020856616301599936
AC004540.5@AM_25,-0.0020786186176416214
PTK7@Tcm-naive_II_34,0.0020677876202648913
WDYHV1@AZU1_mac_16,-0.002049470531575491
SNAP23@AZU1_mac_16,-0.0020461598890882363
PLGLB1@AM_10,-0.0020455785500663095
KIAA1324@AM_54,-0.0020305414990142837
GTPBP4@AZU1_mac_16,-0.00202233600942481
MRPL16@AZU1_mac_16,-0.0020101176822164587
AGAP5@Tcm-naive_II_53,-0.002001075524396176
PCDH17@Tcm-naive_II_53,-0.0020000143299648593
DHX30@AZU1_mac_16,-0.0019864505689613818
DCUN1D3@AM_25,-0.0019695510504099487
NELFE@AZU1_mac_16,-0.0019685200671641216
PCID2@AZU1_mac_16,-0.0019680721800002755
NFYC@AZU1_mac_16,-0.0019677967907653754
RP11-390P2.4@AZU1_mac_16,-0.001965206208652285
WDR83OS@AZU1_mac_16,-0.0019415088713067446
LIMA1@AZU1_mac_16,-0.0019406222190732245
MIPOL1@cDC2_14,-0.001940454354529869
BRPF3@AM_54,-0.0019383908915623167
MRM1@AM_25,-0.0019334192377057561
PEX10@AZU1_mac_16,-0.0019282328600558642
PIK3R1@AM_25,-0.0019202202471448643
C19orf24@AZU1_mac_16,-0.0019150002340154544
ZNF212@B_56,-0.001910528559272855
GSPT1@AZU1_mac_16,-0.0019027564881031283
SFPQ@AZU1_mac_16,-0.0018981821291402794
NASP@AZU1_mac_16,-0.001898095041722974
AP000253.1@AM_57,-0.0018980319346250292
RFXAP@AM_54,-0.0018904754412584917
ODF3L1@B_56,-0.0018895419049429565
SLC35G2@AM_25,-0.001888951492504829
OSBPL11@AZU1_mac_16,-0.0018876717114129006
PLXNA4@cDC2_14,0.0018874566044083992
PHLDA1@AZU1_mac_16,-0.0018867767675573744
ZNF593@AZU1_mac_16,-0.001880921523068311
UBE2K@AZU1_mac_16,-0.0018782212532752992
C9orf3@AM_57,-0.001875475709670664
RNF26@AZU1_mac_16,-0.0018750073015686623
BFAR@AZU1_mac_16,-0.0018625362874995814
WDYHV1@AM_57,-0.0018620216243163089
TIMP2@AZU1_mac_16,-0.0018615085135914441
MIB1@AM_57,-0.0018598474176156057
CASP1@B_56,-0.0018578229461972942
GATB@cDC1_45,0.0018577154319706663
RP11-5C23.2@AM_10,-0.0018567451428719954
FKBP2@AZU1_mac_16,-0.0018553917425991931
ATP5F1@AZU1_mac_16,-0.0018549324476521722
ZNF212@AZU1_mac_16,-0.0018415590012436536
ERAL1@AM_54,-0.001839954553940584
CTU2@B_56,-0.0018391322107752912
TRAM1@AZU1_mac_16,-0.001833894447815393
SEC22B@AZU1_mac_16,-0.0018327453605943122
CYBA@AZU1_mac_16,-0.0018301423527051952
SRGN@AZU1_mac_16,-0.0018285959889994261
MINOS1@AZU1_mac_16,-0.0018279514904909065
TWF2@AZU1_mac_16,-0.0018275993941143907
SNRPC@AZU1_mac_16,-0.0018260633213260267
CUL7@AM_54,-0.001819908427926849
VASP@AZU1_mac_16,-0.0018110955059402168
VCPIP1@AM_57,-0.001807755501575896
PRKCDBP@AZU1_mac_16,-0.001806979465743917
NSMAF@cDC1_45,0.0018003858895682514
LIN37@AM_54,-0.0017990744594550193
STAU1@AZU1_mac_16,-0.0017968773032939775
EIF3E@AZU1_mac_16,-0.0017952496075954074
ORC4@AZU1_mac_16,-0.0017922551159664248
SNAPC3@AZU1_mac_16,-0.001791937083667463
LRRC47@AZU1_mac_16,-0.001790935247781204
SMC6@B_56,0.0017900779141076723
GHRLOS@Tcm-naive_II_53,-0.0017893462189652802
PSMC2@AZU1_mac_16,-0.0017866513450855118
HVCN1@AZU1_mac_16,-0.001785528180966056
SHFM1@AZU1_mac_16,-0.0017811038484448823
PLEKHA2@AZU1_mac_16,-0.0017802565975315802
CTB-193M12.5@AM_25,-0.001774787113336596
FUS@AZU1_mac_16,-0.0017721898455936274
ARFGAP1@Tcm-naive_II_34,0.0017702337171375151
NAPG@AZU1_mac_16,-0.0017653051396215918
SLC28A3@cDC2_14,-0.0017643961452769045
MRPL41@AZU1_mac_16,-0.0017598327552546845
ANKRD28@AZU1_mac_16,-0.0017571185049576514
RP11-334C17.5@AM_25,-0.0017542626003878802
PPIB@AZU1_mac_16,-0.00175249931056183
CTC-232P5.1@B_56,-0.001752142989683287
GSDMA@B_56,-0.0017492057945263416
EZR@AZU1_mac_16,-0.0017463000773639738
AP000487.5@Tcm-naive_II_34,0.0017432360186160317
PRMT2@AZU1_mac_16,-0.001743024103513448
ADCK1@AZU1_mac_16,-0.0017400682096360696
TNFAIP8L2@AM_10,-0.0017394642355809435
FAM107A@AM_57,-0.00173881850713016
TMED2@AZU1_mac_16,-0.0017364720063521172
CTC-444N24.6@AM_25,-0.0017359344857381484
ARHGAP29@AM_57,-0.0017342018412978208
GPR137C@cDC1_45,-0.00173401999042055
IGSF6@AZU1_mac_16,-0.0017334568531288358
CYGB@AM_25,-0.0017321866598810996
RP11-390P2.4@AM_55,-0.0017318661304837999
LYRM4@AZU1_mac_16,-0.001728031218265533
LIMS1@AZU1_mac_16,-0.001723792349125715
TMEM233@AM_57,-0.001723409476859124
EIF4A1@AZU1_mac_16,-0.0017228167365530532
TMEM105@AM_57,-0.0017222587317872174
MRAS@AZU1_mac_16,-0.0017221705579131975
CREB1@AZU1_mac_16,-0.0017211419076990403
ARPC2@AZU1_mac_16,-0.0017209499015068525
EME2@AM_54,-0.0017200056515235993
ABHD3@AZU1_mac_16,-0.0017187422763617045
ERGIC2@AZU1_mac_16,-0.0017163168973729009
RRN3@AZU1_mac_16,-0.001715100064533351
BECN1@cDC2_14,0.0017144614259781963
TMEM185A@cDC1_45,-0.0017128714700341168
TARDBP@AZU1_mac_16,-0.0017071733446093382
ZNF764@Tcm-naive_II_34,0.0017066609670300626
RAB28@AM_25,-0.001705641153259411
H2AFJ@AZU1_mac_16,-0.0017045425167549438
NFXL1@Tcm-naive_II_34,0.0017020810950981954
SCAF1@AZU1_mac_16,-0.0017015258198357476
TTC23@AM_55,-0.001700034201620273
EIF3H@AZU1_mac_16,-0.0016983427218262043
RPS27L@cDC2_14,-0.001696166945350193
MT-CO1@AZU1_mac_16,-0.0016879331816973503
FCN1@AM_25,-0.001685052680277705
NPC1@AZU1_mac_16,-0.0016836516039423538
C12orf45@AZU1_mac_16,-0.0016835980916291228
POLRMT@AZU1_mac_16,-0.0016835036051591355
GHRLOS@B_56,-0.001681560315976451
RNPEP@AZU1_mac_16,-0.0016801403703846972
C1orf109@AM_54,-0.0016800485794591772
RPS19@AZU1_mac_16,-0.0016792374982885097
AC084219.4@B_56,-0.0016790640368421004
KLHL41@AM_25,-0.0016775567509990366
LRRC8A@AZU1_mac_16,-0.0016696971424426394
RPL37@AZU1_mac_16,-0.0016691472372155475
KLF4@AZU1_mac_16,-0.0016662244868599497
SLFN13@Tcm-naive_II_34,0.001664548413282518
KLF4@cDC2_14,0.00166441195447776
SLC35A4@AZU1_mac_16,-0.001663133107171595
HSPA6@AM_25,-0.0016613793021539348
STAM@AM_25,-0.001659727388292218
ARHGAP29@AZU1_mac_16,-0.0016580097597649038
RP11-345J4.5@cDC2_14,0.0016554539381649861
RP1-267L14.6@AM_25,-0.0016547129167384256
CEP85L@AM_25,-0.0016537472008736017
RP11-515O17.3@AZU1_mac_16,-0.0016485002673384214
RP11-20G6.2@Tcm-naive_II_53,-0.0016469399223284545
HDHD3@AZU1_mac_16,-0.0016448082989717482
SDCBP@AZU1_mac_16,-0.0016439628782400043
RP4-761J14.10@B_56,-0.00163986301813502
RYR2@Tcm-naive_II_34,0.0016396016033434111
EME2@AM_55,-0.001638694365381602
ARF4-AS1@B_56,-0.0016369555862214011
TRPS1@B_56,-0.0016334347014953004
ARHGEF10L@AM_25,-0.0016306404385401608
PHF1@AZU1_mac_16,-0.0016286011347624288
RNF6@AZU1_mac_16,-0.0016248571384181573
LRRC40@cDC1_45,-0.0016217922670916935
NR3C1@AZU1_mac_16,-0.0016204690588391192
SH2D3C@AZU1_mac_16,-0.0016184465924957887
MZF1@AM_54,-0.0016162694322503605
RP11-638I2.8@AM_57,-0.0016159534245781145
RPS27L@AZU1_mac_16,-0.00161525415647667
DCTN3@AZU1_mac_16,-0.0016136540099162026
RGS5@AZU1_mac_16,-0.0016136319162918563
SLC17A3@Tcm-naive_II_53,-0.001612953998033259
MGC45922@AM_25,-0.001608815103846045
YTHDF1@cDC1_45,-0.00160860956584112
KRT17@AM_55,-0.001608594265938451
IRX3@AM_25,-0.0016084899360300703
NFKB1@AZU1_mac_16,-0.0016077229878876886
NECAP1@AZU1_mac_16,-0.0016065658209568285
CHD9@AZU1_mac_16,-0.0016061872557936847
RP11-278A23.1@B_56,-0.0016056160156402242
SARAF@AZU1_mac_16,-0.0016054798543460402
RP11-843A23.1@AM_25,-0.0016054628638690924
ESCO1@AZU1_mac_16,-0.0016044540843066519
CD163@AZU1_mac_16,-0.0016039351470529207
SCOC@AZU1_mac_16,-0.0016031288534551135
ZNF584@AM_10,-0.001602806308734271
CLEC4E@B_56,-0.0016013876710796106
VCPIP1@AM_54,-0.001601171227478704
RP11-624C23.1@B_56,-0.0016008231377032695
BCCIP@AZU1_mac_16,-0.0015987946984774841
ITGB2@AZU1_mac_16,-0.0015933236210585878
VCPIP1@AZU1_mac_16,-0.0015933212857862239
RUNDC3B@AM_25,-0.001591636929589454
ADGRE5@B_56,0.0015903455844207305
SHC1@AZU1_mac_16,-0.0015890023040968826
SMC6@AZU1_mac_16,-0.001588390665896424
KIF11@cDC1_45,-0.001587013809570986
CHMP1A@AZU1_mac_16,-0.0015865519064362536
ATMIN@Tcm-naive_II_34,0.0015865295841815301
COL4A3BP@AZU1_mac_16,-0.0015853842075406687
MIR194-2HG@Tcm-naive_II_53,-0.0015814305774782358
ZEB2@AZU1_mac_16,-0.0015794300893997777
ITGA9@AM_25,-0.0015788882372231058
TRIM13@cDC2_14,-0.0015783641939928039
TMEM52B@AM_54,-0.0015782986750316548
RP11-644F5.11@B_56,-0.0015781281150830861
ADPGK-AS1@B_56,-0.0015759506252323431
LY86@Tcm-naive_II_53,-0.0015750226791925678
ABHD3@AM_25,-0.0015736402294267847
BRPF3@AM_57,-0.0015727617841274088
USP6@AM_57,-0.001571662838403485
TMEM254@B_56,-0.0015704637124750358
CORO1A@AZU1_mac_16,-0.0015685854982733325
SPIN4@AM_10,-0.0015679313576783284
POLD2@AM_25,-0.0015639743518056689
PRKAG2-AS1@AM_25,-0.0015628326959586806
RNF150@AM_25,-0.001560206008684251
ORC2@AM_57,-0.0015583721423696416
RAB28@AM_55,-0.0015580137217605856
BARX2@AZU1_mac_16,-0.0015563108483319997
KIAA1429@AZU1_mac_16,-0.0015557348868923267
LNX2@AZU1_mac_16,-0.0015557221779268636
TLE4@AM_54,-0.001555348226747901
CCDC80@AM_57,-0.0015551335728349372
HHEX@AM_57,-0.0015547320229085929
RNF14@AZU1_mac_16,-0.0015530743861432576
HOMER1@AM_57,-0.0015493998599921523
LOH12CR2@AM_55,-0.0015492580644150392
EME2@Tcm-naive_II_34,0.0015478478175030503
LPP@AZU1_mac_16,-0.0015469190456705118
ASB7@AM_25,-0.001546450997926802
ACKR3@AM_57,-0.0015450977505726941
C9orf16@AZU1_mac_16,-0.0015442834713212481
CXXC5@AM_10,-0.0015433668349562172
HMGN3@AZU1_mac_16,-0.0015429917075945481
ACAD10@B_56,-0.0015425754517291211
NUDCD1@AM_25,-0.0015412849798142152
C19orf24@B_56,-0.0015406413314357304
CTA-384D8.34@AM_25,-0.0015397539278246527
CELSR1@AM_10,-0.0015387382628041042
PCBP1@AZU1_mac_16,-0.001537693334911716
ARHGEF3@AM_57,-0.001535848828463985
SERPINA1@AZU1_mac_16,-0.0015347756786056744
RP11-390P24.1@AM_55,-0.001531534018381271
KDM6B@B_56,0.0015304626617573455
TRIM22@AZU1_mac_16,-0.0015304095796140865
HES2@AM_54,-0.0015284921320896862
FBXL15@B_56,-0.0015263470769768487
GATS@AM_54,-0.0015259674390005365
POLRMT@AM_57,-0.0015255951040047864
MUC5B@Tcm-naive_II_53,0.0015255320224631362
PIK3R1@B_56,0.0015215721320348825
SCARB1@cDC1_45,0.001515485135532652
FBN1@AM_25,-0.0015145665168685542
HEPN1@AM_25,-0.0015145659947795316
RP11-700J17.2@Tcm-naive_II_53,-0.001514529686212193
RP11-4B16.4@Tcm-naive_II_53,-0.001514529686212193
RMDN3@AZU1_mac_16,-0.0015122509140825012
VWDE@Tcm-naive_II_34,-0.0015121668609354524
MYBL1@B_56,-0.0015119422830792992
GPR180@AM_55,-0.0015108038838268444
TIMM10B@AZU1_mac_16,-0.0015090141989193419
TOE1@AM_10,-0.0015084012052088635
RP11-336K24.12@AZU1_mac_16,-0.00150748648241729
COPS7B@AM_57,-0.001500607658863295
RPL37@Tcm-naive_II_53,0.0015005846665445985
LTBP2@AM_25,-0.0014999098514344707
CXXC5@AM_54,-0.0014974714837022196
ARF4-AS1@cDC1_45,-0.0014954081698283354
THUMPD3-AS1@AZU1_mac_16,-0.0014953965620034789
GATB@AM_54,-0.001495366379856495
BRICD5@cDC1_45,-0.0014949884522668455
TCF23@AM_25,-0.00149498220652283
RP1-8B1.4@AZU1_mac_16,-0.001494784622405534
HECTD2@AZU1_mac_16,-0.001494784622405534
TRAPPC3L@Tcm-naive_II_34,-0.0014946603310910182
UNC79@AM_25,-0.0014931698513564096
TTF1@AZU1_mac_16,-0.001492991087008708
RP11-531F16.4@AM_57,-0.0014927312586991873
VAV2@AM_25,-0.0014922350143859208
ARHGAP29@B_56,-0.001492196849474441
HOMER1@AZU1_mac_16,-0.0014891608770255646
PRSS36@AM_57,-0.0014874500257993032
SHFM1@Tcm-naive_II_53,-0.0014861218749504183
MRPL41@Tcm-naive_II_53,-0.0014858341932855262
TMEM185A@B_56,-0.0014851297777102755
ZDHHC2@AZU1_mac_16,-0.0014845145331192516
GNL3L@AM_25,-0.001484510998330456
AC004540.5@AZU1_mac_16,-0.0014834635079232464
SNX32@cDC2_14,-0.0014820479905172392
NIPBL@AZU1_mac_16,-0.001481470689800846
GPR180@AZU1_mac_16,-0.001479493640411264
CFAP43@AM_10,-0.0014792965379726534
CCT6B@AM_10,-0.001479271266937164
DLEU7@AM_25,-0.001477866606192
RP11-644F5.11@AM_25,-0.0014765999959723828
TMPO@AM_25,-0.0014758242376012782
LBH@AM_25,-0.0014744774720897326
SLCO2A1@AM_57,-0.0014737620060846965
SYNDIG1L@AM_25,-0.0014726559725940812
ZNF24@AZU1_mac_16,-0.0014711243154957266
TNFSF8@AZU1_mac_16,-0.0014711028939592221
RAB5A@AZU1_mac_16,-0.0014705990456523792
CAV2@AZU1_mac_16,-0.0014703210077155714
PLXNA4@AM_25,-0.0014694718695818418
RBM15@AM_55,-0.0014677575030965031
NDOR1@AM_10,-0.001467648596654923
TP53BP2@AM_54,-0.0014672203749785146
PCDH17@AZU1_mac_16,-0.0014658036876566065
STAM@AM_54,-0.0014653823841017685
LPP@Tcm-naive_II_34,0.0014651596293849681
FZD5@Tcm-naive_II_53,-0.0014641645665546162
TMEM205@B_56,-0.001463861112123629
L3MBTL3@AM_55,0.0014623220432796863
SVIP@AM_57,-0.0014617743204107098
MCM8@AM_57,-0.0014589667053050426
SLC2A13@AM_57,-0.001455886268161189
RP6-109B7.4@cDC2_14,-0.0014557134521886981
ANKMY1@AM_54,-0.0014554622709343516
ZNF667-AS1@cDC2_14,-0.0014551626132381188
RNF26@AM_54,-0.0014539431611729637
YPEL4@AM_54,-0.0014530631623491746
ARMCX6@Tcm-naive_II_53,-0.0014528332963251753
RP11-443B20.1@AM_57,-0.0014521048425516758
MRPS11@AZU1_mac_16,-0.001451961606938119
RIN1@AM_54,-0.0014508473047687908
TMPO@AZU1_mac_16,-0.0014506976197287908
TNFRSF9@AM_25,-0.001450461436587524
MIR194-2HG@B_56,-0.001450061073917052
CD8B@AM_57,-0.0014500149609244274
PPHLN1@AM_57,-0.0014496689625836038
RIN2@cDC2_14,-0.001448593514938465
PBX3@AZU1_mac_16,-0.0014475879355862926
ADGRL1@cDC2_14,0.0014445455032226578
HIC2@AM_25,-0.0014437992825577818
PRR29-AS1@AM_55,-0.0014431385772165125
C3orf67@B_56,0.0014421176782417734
HSPA6@AZU1_mac_16,-0.0014420271476676208
SUSD5@AM_25,-0.0014405053837548965
RUNDC1@AM_54,-0.0014402114718664676
NPC1@cDC2_14,-0.0014400311940185352
RP11-390P2.4@B_56,-0.001439501805131075
QSER1@AZU1_mac_16,-0.0014392942952930247
LINC00339@AZU1_mac_16,-0.0014385355351113648
GTF2H2C@AZU1_mac_16,-0.0014380710374830206
THNSL2@AM_25,-0.0014372361707188424
ARHGEF38@Tcm-naive_II_53,-0.0014370483643941316
FLJ20021@B_56,-0.0014365330847481224
STRA13@AZU1_mac_16,-0.0014352570132895254
YWHAQ@AZU1_mac_16,-0.0014340349982182473
BAZ2A@AZU1_mac_16,-0.0014330133203164124
SH2B3@AZU1_mac_16,-0.0014313431595971392
KLHDC4@AZU1_mac_16,-0.0014311691508479241
PABPN1L@B_56,-0.001431158677347116
YIF1A@AZU1_mac_16,-0.00143040495949652
TIMM8A@B_56,-0.0014291653881248086
CORO1A@AM_57,-0.0014281236408983293
FAM107A@AM_54,-0.0014268758389350794
RP11-500G22.5@Tcm-naive_II_53,-0.0014266506454371597
GPR153@AM_25,-0.0014262908438272058
IL1A@AZU1_mac_16,-0.0014258762323774016
LYAR@Tcm-naive_II_53,-0.0014240439765078412
PPHLN1@AZU1_mac_16,-0.0014223812660528507
AP001055.6@B_56,0.0014219472864106311
RP11-127B20.2@AM_57,-0.0014213347309787784
MRPL17@B_56,-0.0014212984905251035
KDM6B@AZU1_mac_16,-0.0014210112697499947
SEMA6A@AM_57,-0.0014193651727793313
AC007405.4@AM_10,-0.0014192000566906242
MYO16-AS1@AM_10,-0.0014192000566906242
CPEB1@AM_10,-0.0014192000566906242
CSDC2@AM_10,-0.0014192000566906242
RP11-375H19.2@AM_25,-0.0014192000566906242
RP11-338E21.3@AM_25,-0.0014192000566906242
ASB16@AM_25,-0.0014192000566906242
MYO16-AS1@Tcm-naive_II_34,-0.0014192000566906242
RP11-1069G10.1@Tcm-naive_II_34,-0.0014192000566906242
AC144831.3@Tcm-naive_II_34,-0.0014192000566906242
RP3-483K16.4@cDC1_45,-0.0014192000566906242
FOCAD-AS1@cDC1_45,-0.0014192000566906242
RP11-374M1.5@cDC1_45,-0.0014192000566906242
GNA14@cDC1_45,-0.0014192000566906242
OR4N2@cDC1_45,-0.0014192000566906242
RP11-1148O4.2@Tcm-naive_II_53,-0.0014192000566906242
CCL14@Tcm-naive_II_53,-0.0014192000566906242
RP11-498C9.16@Tcm-naive_II_53,-0.0014192000566906242
NXNL1@Tcm-naive_II_53,-0.0014192000566906242
SEMA6A@AM_54,-0.0014192000566906242
ABCG5@B_56,-0.0014192000566906242
TAC1@B_56,-0.0014192000566906242
RP11-403P17.6@B_56,-0.0014192000566906242
ITGB3@B_56,-0.0014192000566906242
ZIM2-AS1@B_56,-0.0014192000566906242
RP3-430A16.1@cDC2_14,-0.0014192000566906238
RP11-565F19.3@cDC2_14,-0.0014192000566906238
CCL14@cDC2_14,-0.0014192000566906238
CCDC116@cDC2_14,-0.0014192000566906238
AC004019.13@Tcm-naive_II_53,-0.0014179608433250604
GATB@AM_25,-0.0014174431715102656
SEMA3A@AM_25,-0.0014170782712392975
RP5-882C2.2@cDC1_45,-0.0014166932614107191
RTTN@AM_55,-0.001416635472264946
KLF12@AM_10,-0.0014165201298019855
PID1@AM_57,-0.0014158137532939488
PAK4@Tcm-naive_II_34,0.0014158081583745127
KDM8@cDC2_14,-0.0014156362652545003
MST1R@Tcm-naive_II_53,-0.0014149142945107881
SOX18@Tcm-naive_II_53,-0.0014145685255030833
HTR2B@AM_57,0.001414257674474044
CUL7@AZU1_mac_16,-0.0014129690035269234
NEGR1@AM_57,-0.0014116310182546883
CTC-444N24.6@B_56,-0.0014115901433915602
RP11-524O1.4@B_56,-0.0014111058924898131
RP11-867G2.6@AZU1_mac_16,-0.0014110862109105722
SYNE4@AZU1_mac_16,-0.0014110862109105722
RP11-5C23.2@AM_25,-0.0014108712738767502
SEMA6A@cDC2_14,-0.0014108529753738418
RP11-758M4.4@B_56,-0.0014108219156578454
LILRA6@Tcm-naive_II_34,-0.0014100150600265158
CPE@AZU1_mac_16,-0.0014094683643572161
TMEM205@AM_25,-0.001409259676462088
HECTD2@cDC1_45,-0.001409204313187621
CH17-353B19.1@AM_54,-0.0014088939760055945
RP11-385E5.5@AM_57,-0.0014088574542419385
TMEM205@AZU1_mac_16,-0.0014084154902813827
TRIM9@B_56,-0.0014080489578058807
DOCK4@AM_25,-0.0014078015807024544
CCDC80@B_56,-0.0014067856863441638
RHBDD2@AZU1_mac_16,-0.0014067500807573331
