Feature,Value
YWHAG@IgG_9,-0.002062385330377171
ST13@IgG_28,-0.0019974037874039272
TNFAIP8@IgG_9,-0.0019640789468403992
RNF146@IgG_9,-0.001889490808930356
USP16@IgG_9,-0.0018754874832582699
ZNF394@IgG_28,-0.001801711229690887
ETV6@IgG_9,-0.001788986772860874
IGKV3D-15@IgG_9,-0.001748039948488207
KARS@IgG_9,-0.0017082054539683258
RAB30@IgG_9,-0.001694139092249161
EIF5B@IgG_9,-0.0016827435443405652
MESDC2@IgG_9,-0.001668060448289914
PSMA5@IgG_46,-0.0016479816194129085
HSPA5@IgG_46,-0.0016352967070964253
PTBP3@IgG_9,-0.0016273123367419218
NCF4@IgG_9,-0.0016217822634678055
AK6@IgG_28,-0.0016087687640081397
C11orf74@IgG_17,-0.0016067877532886376
NARS@IgG_28,-0.0015935974981560793
TSTD1@IgG_28,-0.0015864038652967818
TRIM11@IgG_9,-0.0015787329864321465
TLCD2@IgG_28,-0.001568022827843178
NDUFS6@IgG_46,-0.0015637267387907153
TCTA@IgG_9,-0.0015560189683898492
FAM172A@IgG_9,-0.0015541128300251186
ATP5J@IgG_46,-0.0015468046257023106
TMEM68@IgG_9,-0.0015456742939217601
HIST1H2AG@IgG_46,-0.001542535073882773
HSP90AA1@IgG_9,-0.001521910975131479
TPD52@IgG_9,-0.001514946992277756
GABPB1-AS1@IgG_17,-0.0015024061675002996
EVI2B@IgG_46,-0.0014999786470410656
CDC27@IgG_28,-0.0014996557668658884
ARIH1@IgG_9,-0.001496603438502843
EIF3E@IgG_46,-0.001493997706609628
RRNAD1@IgG_9,-0.0014823158619226063
USP3-AS1@IgG_9,-0.0014782788949019069
RAP2C@IgG_9,-0.0014745606250753216
WSB1@IgG_9,-0.0014736702001271582
ATF7IP@IgG_17,-0.0014648326607024484
SFPQ@IgG_9,-0.0014640020380567475
WSB1@IgG_46,-0.0014621814711787086
ZFHX3@IgG_9,-0.001462110934002457
LLPH@IgG_9,-0.0014586107712216765
AP3S2@IgG_9,-0.0014582140562437184
GNPTAB@IgG_9,-0.001455745561758518
TMEM123@IgG_46,-0.0014516989782551665
SPG21@IgG_9,-0.0014462612688428771
PSMA5@IgG_28,-0.0014444381247475679
GABPB1-AS1@IgG_28,-0.0014434777288275904
SNRPC@IgG_46,-0.0014428992323783148
SPATS2@IgG_9,-0.0014423958198070523
SOCS1@IgG_9,-0.0014409096154106695
EVI2B@IgG_9,-0.0014403828056913058
COX5A@IgG_46,-0.0014378308898261327
RAB8A@IgG_9,-0.0014358557704450246
POLR2L@IgG_46,-0.0014357151930343742
MESDC2@IgG_46,-0.0014264244875446795
COX8A@IgG_46,-0.0014149000883587975
TXN@IgG_46,-0.0014129272491075864
APOC1@IgG_9,-0.0014120278818990648
PDCD4@IgG_9,-0.001404751207229958
LINC00877@IgG_9,-0.001397973133161225
ZFP36L2@IgG_9,-0.0013973601352650575
DNAJC4@IgG_46,-0.0013965850580123583
VDAC3@IgG_9,-0.0013961694105264222
LYPLAL1@IgG_9,-0.001388078888383254
RP11-739B23.1@IgG_17,-0.001385355133345171
CCDC186@IgG_46,-0.0013835327130053024
TXN@IgG_9,-0.001382664598789662
G3BP2@IgG_9,-0.0013806148015196632
BNIP3L@IgG_28,-0.0013803947998513478
PPOX@IgG_9,-0.0013801023555077944
ST3GAL2@IgG_28,-0.0013789137716053168
ARGLU1@IgG_9,-0.0013788206355959576
TBC1D23@IgG_9,-0.0013783617081336936
NARS@IgG_9,-0.0013779571474166613
P3H4@MoMac-II_42,-0.0013761024679739555
TRIM72@IgG_9,-0.0013746705537835042
SF3A3@IgG_9,-0.0013738836347857502
FUCA2@IgG_9,-0.0013683774428806341
MZB1@T_activated_44,-0.0013681636070892256
PLEKHD1@IgG_17,-0.0013633304731399997
LARP1B@IgG_9,-0.0013616152701830615
COX8A@IgG_9,-0.0013610548075722925
CCDC186@IgG_17,-0.0013582959858824486
MTRNR2L12@IgG_28,-0.0013553763280447768
N4BP2L1@IgG_28,-0.0013553586348675724
LARP1B@IgG_28,-0.0013539908910567239
SIN3B@IgG_9,-0.001352682663083812
