Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,1,1,1,1,1
all_clusters_nonmetabolic,0.9565217391304348,1,0.9230769230769231,0.9600000000000001,1
all_clusters_random,1,1,1,1,1
lcam_hi_metabolic,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8645833333333334
lcam_hi_nonmetabolic,0.5454545454545454,0.5454545454545454,1,0.7058823529411764,0.9666666666666667
lcam_hi_random,0.72,0.6666666666666666,1,0.8,0.974025974025974
lcam_lo_metabolic,0.92,0.8666666666666667,1,0.9285714285714286,0.9743589743589743
lcam_lo_nonmetabolic,0.7297297297297297,0.8125,0.65,0.7222222222222223,0.8176470588235294
lcam_lo_random,0.6363636363636364,1,0.29411764705882354,0.45454545454545453,0.6838235294117647
lcam_both_metabolic,0.9047619047619048,1,0.8461538461538461,0.9166666666666666,0.951923076923077
lcam_both_nonmetabolic,0.9130434782608695,0.8666666666666667,1,0.9285714285714286,1
lcam_both_random,0.9615384615384616,0.9375,1,0.967741935483871,0.9939393939393939
macrophages_metabolic,0.6486486486486487,0.5937499999999999,1,0.7450980392156862,0.9327485380116959
macrophages_nonmetabolic,0.918918918918919,0.8636363636363638,1,0.926829268292683,0.9064327485380117
macrophages_random,0.631578947368421,0.588235294117647,1,0.7407407407407407,0.9916666666666667
