Feature,Value
TSPAN5@IgG_28,0.0012122164153352004
TSPAN5@AM_57,0.0012103071796502741
AP1M2@AM_57,0.0011780138211845298
BZRAP1@MoMac-II_42,-0.0011667541988419762
XRCC3@cDC1_45,0.0011530971544775185
UGT2B7@B_56,-0.0011493351744752698
PCED1B@MoMac-II_42,0.0011433149022613315
MOGAT1@MoMac-II_42,0.0011388405849797971
RP11-186N15.3@T_activated_44,-0.0011262372958109974
FAM188B@AM_57,0.001107736602923188
AKR7A2@MoMac-II_42,0.0010986702161471283
CT55@B_56,-0.0010959294589008072
GATM-AS1@T_activated_44,-0.0010900755577127163
CTD-3074O7.5@AM_57,0.001087299717545815
ETFA@MoMac-II_42,0.0010871482005505861
KHDRBS2@AM_10,0.0010867442535363822
RP11-92K15.3@AM_10,0.0010867442535363822
IL2RA@AM_55,-0.0010849871710076953
SLC45A1@AM_55,0.0010768802324426516
TACSTD2@AM_57,0.0010754586356880088
PPFIBP1@IgG_17,-0.0010723159127167374
EIF5B@MoMac-II_11,0.0010705939316259783
NCBP2-AS1@AM_25,0.0010683608013179718
KCNS3@AM_57,0.0010652593797547635
FKBP2@Tcm-naive_II_34,0.0010624832708041989
BTBD11@B_56,0.0010618101306315725
DHCR24@MoMac-II_42,0.001057849080461252
RP6-91H8.3@IgG_9,0.001057203910651327
SDF2L1@Tcm-naive_II_53,0.0010541332833008874
GSE1@AM_57,0.0010524057746141178
SFPQ@AM_10,0.0010480215119817863
HNRNPLL@MoMac-II_42,0.0010467616606452859
GPR65@AM_10,0.0010420016371625906
CEP290@MoMac-II_42,0.0010362341313183525
GLIS2@B_56,-0.001035176968222969
NUMB@MoMac-II_42,0.0010338667700564047
TTC39C@AM_10,0.0010328259062699471
KLK2@IgG_9,0.001031338328500195
OSGIN2@MoMac-II_42,0.0010275269684463793
PTPN18@MoMac-II_42,0.0010273573295218519
LTBP3@IgG_46,0.001025750285031143
SPATS2@MoMac-II_11,0.0010249030196480549
GSE1@AM_10,0.0010247281055227736
EPB41L5@AM_57,0.0010233006249252058
TBCC@AM_55,-0.0010219135353044498
ABHD11-AS1@MoMac-II_42,0.0010216909248998616
HOXD1@B_56,0.0010204379404198131
NANOS1@MoMac-II_42,0.001020314460783129
DRC3@MoMac-II_42,0.0010185216729233118
STAT6@MoMac-II_11,0.0010184911743561342
PDCD4@MoMac-II_42,0.0010173958679587543
MGEA5@MoMac-II_11,0.0010134293776332636
RP11-22C11.2@AM_57,0.0010126413844507999
AC090498.1@AM_10,0.0010125520915177525
DYNLRB2@IgG_17,0.0010117217005677851
RP6-91H8.3@IgG_46,0.0010116796089212532
C6orf1@MoMac-II_11,0.0010114428414980782
DBF4@MoMac-II_11,0.0010113963028703346
CECR5@MoMac-II_42,0.0010112486853954014
SLC16A12@AM_10,0.0010107463740347945
TRGV10@IgG_17,0.001009670288513204
ZNF740@AM_54,0.0010096330604595508
KB-1208A12.3@AM_55,0.0010085028764023852
FCGBP@AM_10,0.001008277462754545
VWCE@IgG_46,0.0010050403495359015
EIF2B4@MoMac-II_42,0.0010044935612316189
ZNF426@MoMac-II_11,0.0010034382997657905
LPO@T_activated_44,-0.00100312834929001
ZNF318@IgG_17,0.00100293615016668
TAF6@MoMac-II_42,0.0010022642750451513
KRTCAP3@AM_54,0.0010022092244660688
RP11-89C3.4@AM_54,0.0010022092244660688
POMGNT2@Tcm-naive_II_34,9.980297546967197e-4
LINC00649@cDC2_14,9.96605985824719e-4
HOXD1@AM_10,9.91577206148387e-4
RP11-89F3.2@AM_25,9.911174181453171e-4
U2SURP@Tcm-naive_II_34,0.00098964676124375711
FRK@Tcm-naive_II_53,9.891869780819884e-4
RP11-498P14.5@IgG_28,9.883425357186735e-4
PNPLA2@AM_10,9.818796724966746e-4
NFYA@IgG_28,9.817855607298876e-4
S100A5@IgG_17,9.810932866146688e-4
RP11-137H2.4@IgG_17,9.810932866146688e-4
ACAN@IgG_17,9.810932866146688e-4
PGBD2@AM_57,9.806972749035116e-4
FAM103A1@MoMac-II_42,9.802670940801605e-4
PPP1R8@MoMac-II_42,9.78205723144545e-4
ETV6@MoMac-II_11,9.773619569552626e-4
RP11-770J1.4@AM_54,9.771103194598277e-4
RP11-483A20.3@AM_10,9.761915354090709e-4
TLE2@MoMac-II_42,9.745564290924296e-4
GSDMC@B_56,-9.740552615166926e-4
DYNLRB2@MoMac-II_42,9.740475785420073e-4
AAMDC@MoMac-II_11,9.732929374568368e-4
ICMT@B_56,-9.726820268579897e-4
DYNLRB2@MoMac-II_11,-9.717111127616072e-4
AK8@cDC2_14,-9.713110921136303e-4
MAFB@MoMac-II_42,9.698860013271611e-4
RP1-239B22.5@AM_54,9.669643630522564e-4
LLNLR-246C6.1@cDC1_45,9.65865710616003e-4
TRGV10@AM_25,9.651796321863303e-4
PKD1@AM_54,9.63583436939947e-4
PTCD3@IgG_9,-9.63561643842311e-4
RP11-89C3.4@AM_25,9.628957179855996e-4
CLN6@MoMac-II_42,9.628069250295064e-4
PRKAB2@Tcm-naive_II_53,9.609843287308841e-4
ATXN10@MoMac-II_42,9.600936105312585e-4
RP4-657D16.3@IgG_9,9.599644071535151e-4
TACSTD2@AM_55,9.594550581345532e-4
RAB4A@MoMac-II_11,9.585971162814257e-4
HSPA5@Tcm-naive_II_34,-9.585578852048539e-4
TMEM190@IgG_46,-9.584152563590259e-4
MRC1@IgG_28,9.576172098888245e-4
MED10@MoMac-II_42,9.568179091368651e-4
ZNF425@AM_10,9.56607193832011e-4
ATG9A@cDC1_45,-9.557677811207919e-4
JPX@AZU1_mac_16,9.556440972202641e-4
XXYLT1-AS2@MoMac-II_11,9.537514767683438e-4
NMNAT2@IgG_17,9.537514767683438e-4
HOXD1@IgG_17,9.537514767683438e-4
TRBV20-1@IgG_17,9.537514767683438e-4
CTD-2647L4.5@IgG_17,9.537514767683438e-4
C9orf47@IgG_17,9.537514767683438e-4
SH2D4B@IgG_17,9.537514767683438e-4
RP11-403A3.3@IgG_17,9.537514767683438e-4
CTC-420A11.2@IgG_17,9.537514767683438e-4
RP11-305D15.8@AM_25,9.537514767683438e-4
MB@MoMac-II_42,9.537514767683438e-4
ASB4@B_56,9.537514767683438e-4
RP11-593F23.1@B_56,9.537514767683438e-4
LINC00158@AM_57,9.537514767683438e-4
IGKV2-30@AM_10,9.537514767683436e-4
AC093375.1@AM_10,9.537514767683436e-4
XCR1@AM_10,9.537514767683436e-4
CASC21@AM_10,9.537514767683436e-4
RP11-403A3.3@AM_10,9.537514767683436e-4
IGHJ4@AM_10,9.537514767683436e-4
ADAMTS10@AM_10,9.537514767683436e-4
MB@AM_10,9.537514767683436e-4
MOV10L1@AM_10,9.537514767683436e-4
LINC00158@AM_10,9.537514767683436e-4
TAS1R3@MoMac-II_11,9.537514767683436e-4
ANXA9@MoMac-II_11,9.537514767683436e-4
RIIAD1@MoMac-II_11,9.537514767683436e-4
HOXD1@MoMac-II_11,9.537514767683436e-4
RP11-1E22.1@MoMac-II_11,9.537514767683436e-4
CTB-11I22.1@MoMac-II_11,9.537514767683436e-4
EIF4E1B@MoMac-II_11,9.537514767683436e-4
FAM188B@MoMac-II_11,9.537514767683436e-4
LINC01553@MoMac-II_11,9.537514767683436e-4
RP11-403A3.3@MoMac-II_11,9.537514767683436e-4
RP11-278A23.1@MoMac-II_11,9.537514767683436e-4
AC109333.10@MoMac-II_11,9.537514767683436e-4
KLK2@MoMac-II_11,9.537514767683436e-4
NMNAT2@cDC2_14,9.537514767683436e-4
RP13-577H12.2@cDC2_14,9.537514767683436e-4
PCDHGA7@cDC2_14,9.537514767683436e-4
RP11-278A23.1@cDC2_14,9.537514767683436e-4
MOV10L1@cDC2_14,9.537514767683436e-4
RP11-338C15.3@IgG_28,9.537514767683436e-4
LINC00526@IgG_28,9.537514767683436e-4
EIF4E1B@Tcm-naive_II_34,9.537514767683436e-4
C2orf50@MoMac-II_42,9.537514767683436e-4
IRX2@MoMac-II_42,9.537514767683436e-4
PCDHGA7@MoMac-II_42,9.537514767683436e-4
RP1-140A9.1@T_activated_44,9.537514767683436e-4
RIIAD1@T_activated_44,9.537514767683436e-4
RP11-428K3.1@T_activated_44,9.537514767683436e-4
AC007405.6@T_activated_44,9.537514767683436e-4
RP11-747D18.1@T_activated_44,9.537514767683436e-4
RP11-576N17.5@T_activated_44,9.537514767683436e-4
LINC01170@T_activated_44,9.537514767683436e-4
EIF4E1B@T_activated_44,9.537514767683436e-4
AC004540.5@T_activated_44,9.537514767683436e-4
DDX26B-AS1@T_activated_44,9.537514767683436e-4
ZNF185@T_activated_44,9.537514767683436e-4
GS1-24F4.2@T_activated_44,9.537514767683436e-4
RP11-1149M10.2@T_activated_44,9.537514767683436e-4
RP11-10N23.2@T_activated_44,9.537514767683436e-4
RP11-22C11.2@T_activated_44,9.537514767683436e-4
C9orf147@T_activated_44,9.537514767683436e-4
RP11-732A19.9@T_activated_44,9.537514767683436e-4
ASCL3@T_activated_44,9.537514767683436e-4
PC@T_activated_44,9.537514767683436e-4
RP11-64D24.4@T_activated_44,9.537514767683436e-4
SCN4B@T_activated_44,9.537514767683436e-4
IGSF9B@T_activated_44,9.537514767683436e-4
PNLIPRP3@T_activated_44,9.537514767683436e-4
TRAJ23@T_activated_44,9.537514767683436e-4
CTD-2302E22.4@T_activated_44,9.537514767683436e-4
RP11-983G14.1@T_activated_44,9.537514767683436e-4
SPESP1@T_activated_44,9.537514767683436e-4
RP11-593F23.1@T_activated_44,9.537514767683436e-4
LA16c-380H5.6@T_activated_44,9.537514767683436e-4
GLIS2@T_activated_44,9.537514767683436e-4
MIR3180-4@T_activated_44,9.537514767683436e-4
FSCN2@T_activated_44,9.537514767683436e-4
DSC3@T_activated_44,9.537514767683436e-4
KLK8@T_activated_44,9.537514767683436e-4
LL22NC03-75H12.2@T_activated_44,9.537514767683436e-4
LINC00158@cDC1_45,9.537514767683436e-4
NMNAT2@IgG_46,9.537514767683436e-4
GREB1@IgG_46,9.537514767683436e-4
AC092171.4@IgG_46,9.537514767683436e-4
CD200R1L@Tcm-naive_II_53,9.537514767683436e-4
CTD-3080P12.3@Tcm-naive_II_53,9.537514767683436e-4
RP11-435O5.6@Tcm-naive_II_53,9.537514767683436e-4
LINC00563@Tcm-naive_II_53,9.537514767683436e-4
RP11-665C16.6@Tcm-naive_II_53,9.537514767683436e-4
RP11-15F12.3@Tcm-naive_II_53,9.537514767683436e-4
CCL25@Tcm-naive_II_53,9.537514767683436e-4
ELFN2@AM_57,9.537514767683436e-4
FXYD6@MoMac-II_42,9.5252572499409e-4
NANOS1@IgG_9,9.521272897318433e-4
NAA30@IgG_46,9.520397370092564e-4
GPR65@MoMac-II_11,9.509669632289655e-4
RP11-338E21.1@B_56,-9.508347334457662e-4
ZNF480@AM_10,9.503800206351042e-4
ZFP36L2@MoMac-II_42,9.482276835475935e-4
TRIM56@MoMac-II_42,9.481321221652052e-4
BCL11B@cDC2_14,9.455873858795869e-4
HSD17B11@MoMac-II_42,9.448466286224009e-4
TWF2@Tcm-naive_II_34,9.432960534040116e-4
XRCC5@MoMac-II_42,9.415350368742862e-4
ADRBK2@IgG_17,9.41393691754254e-4
LINC01252@IgG_17,-9.40552622424953e-4
G3BP2@MoMac-II_42,9.403748155356618e-4
SCN4B@IgG_46,-9.400660648983065e-4
LINC00880@IgG_46,9.397081206768143e-4
KIF26B@Tcm-naive_II_34,-9.393438551324641e-4
MRPL27@MoMac-II_11,9.389180997877509e-4
IGLV2-23@AM_57,9.386608207874665e-4
PLS3@Tcm-naive_II_53,-9.38557049928227e-4
DLL4@IgG_28,-9.374705257984826e-4
RP11-662B19.2@B_56,-9.370913039861737e-4
SUN2@MoMac-II_42,9.359000420921324e-4
RP11-22C11.2@IgG_9,9.357240783466039e-4
FOXM1@AM_55,-9.356705941967915e-4
CNOT7@MoMac-II_42,9.338308588524066e-4
TSPAN5@Tcm-naive_II_53,9.33535318822778e-4
HOXD1@MoMac-II_42,9.327986178277856e-4
SNRNP40@MoMac-II_42,9.29724837272519e-4
ZMAT5@MoMac-II_42,9.288592487448875e-4
ARPP19@Tcm-naive_II_53,9.288442359478277e-4
ST3GAL6-AS1@cDC1_45,9.28404618852706e-4
XXYLT1-AS2@cDC1_45,9.28404618852706e-4
PPP1R8@AM_10,9.27901111406621e-4
MLLT6@AM_57,9.251322226905241e-4
GCNT2@IgG_28,-9.249475833648191e-4
LTB@MoMac-II_42,9.245621709231382e-4
SDF2L1@MoMac-II_42,9.239794895896529e-4
CALM2@MoMac-II_42,9.228258080674929e-4
FUT3@AM_57,9.219677575806444e-4
RUNDC1@MoMac-II_42,9.213964338776299e-4
HSD17B11@AM_10,9.204459512498146e-4
AGBL5@T_activated_44,-9.201500373449453e-4
HPCAL1@AM_10,9.200720955844521e-4
