Feature,Value
MED13L@MoMac-II_42,-0.002047038170358161
TNKS2@MoMac-II_42,-0.001972020961081991
CTA-276F8.1@IM_8,0.001949480886178643
CLK1@MoMac-II_42,-0.0019051022906425932
MFNG@MoMac-II_42,-0.0018839475150152914
ANKRD44@MoMac-II_42,-0.0018799434191727983
CAMLG@MoMac-II_42,-0.001876862352862659
SHMT2@MoMac-II_42,-0.0018541544399178962
GCA@MoMac-II_42,-0.0018426338253899
GADD45B@MoMac-II_42,-0.0018264483746252877
ATXN2L@MoMac-II_42,-0.0018235724619633264
ATP6V1C1@MoMac-II_42,-0.0018096013766654099
TBRG4@MoMac-II_42,-0.0018082066425701203
MT-CO1@MoMac-II_42,-0.0018082001277334016
EIF3G@MoMac-II_42,-0.001806922878422408
SART1@MoMac-II_42,-0.0018027832923375856
YBEY@MoMac-II_42,-0.0017944252371946945
DCAF13@MoMac-II_42,-0.0017924343703370506
MT-CYB@MoMac-II_42,-0.0017919362941630607
NEK7@MoMac-II_42,-0.0017912512585294756
PARP4@MoMac-II_42,-0.0017896401186470996
TIGAR@MoMac-II_42,-0.001787958685445914
ADPRHL2@MoMac-II_42,-0.0017872966161608947
DERA@MoMac-II_42,-0.0017859040915452749
SAT1@MoMac-II_42,-0.0017776888102075032
PDGFC@MoMac-II_42,-0.0017729204993175063
HSPA13@MoMac-IV_5,0.0017711309272735068
LCP2@MoMac-II_42,-0.0017692697336890923
C5AR1@MoMac-II_42,-0.0017646355681028751
HMGB1@MoMac-II_42,-0.0017611502949304732
TMEM245@MoMac-II_42,-0.0017603429275607147
MCFD2@MoMac-II_42,-0.001757780335952888
KBTBD8@MoMac-II_42,-0.0017569202476328536
SLC18B1@MoMac-II_42,-0.00175350635574434
ACTG1@MoMac-II_42,-0.001735373989058596
ARFGAP3@MoMac-II_42,-0.0017346869186198673
FOXO3@MoMac-II_42,-0.0017322229876162501
RPS15@MoMac-II_42,-0.0017317801449372268
MRPL36@MoMac-II_42,-0.0017314128075356335
RPLP2@MoMac-II_42,-0.0017263782106958373
GS1-124K5.3@AM_57,0.0017238723870966748
CHUK@MoMac-II_42,-0.0017229503707826377
TPM2@MoMac-III_33,-0.001719653909345798
NRAV@AM_25,0.0017191324074651948
MMP19@MoMac-II_42,-0.0017166443211027458
DOCK10@MoMac-II_42,-0.0017139738623517702
NSMCE4A@MoMac-II_42,-0.001710435198781999
RNMT@MoMac-II_42,-0.0017100026562288056
ARRDC1-AS1@MoMac-III_32,-0.0017075365435442003
RAD23B@MoMac-II_42,-0.0017039191014091664
LRR1@MoMac-II_42,-0.0017025556598608625
DENND3@MoMac-II_42,-0.001702201486078581
ZRSR2@MoMac-II_42,-0.001700347749910906
AVPI1@MoMac-II_42,-0.0016988019418783214
RHOBTB1@MoMac-II_42,-0.0016973337922546725
CTSS@MoMac-II_42,-0.0016967517604936757
PTPRE@MoMac-II_42,-0.001696280898274447
SF1@MoMac-II_42,-0.0016955025908631342
CFLAR@MoMac-II_42,-0.0016934291550022916
NOP10@MoMac-II_42,-0.0016872998759090616
YWHAE@MoMac-II_42,-0.0016872833567065666
NDUFS1@MoMac-II_42,-0.001686911430667009
CLUH@MoMac-II_42,-0.0016858626426107966
LYRM7@MoMac-II_42,-0.0016854900386072947
LY96@MoMac-II_42,-0.0016822018827047777
CAP1@MoMac-II_42,-0.001680487244033897
RCC1@MoMac-II_42,-0.0016790190921398356
MRPL33@MoMac-II_42,-0.0016750057698834563
CLCN7@MoMac-II_42,-0.001674465255192717
RPL36A@MoMac-II_42,-0.0016731644750015277
AKIRIN2@MoMac-II_42,-0.001671188435894126
NT5DC2@MoMac-III_32,-0.0016709961832362754
MRPL53@MoMac-II_42,-0.0016688843451075756
BNIP3L@MoMac-II_42,-0.0016662410810394579
ARID5B@MoMac-II_42,-0.0016576510581676255
CD81@MoMac-II_42,-0.0016563941640694983
ATP5B@MoMac-II_42,-0.0016557055466934652
DNAJC14@MoMac-II_42,-0.0016549142602448848
FBXO9@MoMac-II_42,-0.0016507212461526436
ALG6@MoMac-II_42,-0.0016425130981982574
IQGAP1@MoMac-II_42,-0.001642335642303591
PAK1IP1@MoMac-II_42,-0.0016415525167920275
ABTB1@MoMac-II_42,-0.0016412729009573205
AP2A1@MoMac-II_42,-0.001640889382605431
HSP90B1@MoMac-II_42,-0.001638968042530956
PPP2R1A@MoMac-II_42,-0.0016380959080839503
FOXO3@MoMac-II_11,-0.0016377740541555926
ALG1@MoMac-II_42,-0.0016355565203806642
APTX@MoMac-II_42,-0.001635039547796818
