Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.925,1,0.8571428571428571,0.923076923076923,1
all_clusters_nonmetabolic,0.5652173913043478,1,0.23076923076923078,0.375,0.9923076923076923
all_clusters_random,0.8846153846153846,1,0.7692307692307693,0.8695652173913044,1
lcam_hi_metabolic,0.55,0.7999999999999999,0.3333333333333333,0.47058823529411753,0.7395833333333334
lcam_hi_nonmetabolic,0.5909090909090909,1,0.25,0.4,0.9
lcam_hi_random,0.44,0,0,0,0.974025974025974
lcam_lo_metabolic,0.88,0.8125,1,0.896551724137931,0.967948717948718
lcam_lo_nonmetabolic,0.6216216216216216,0.5882352941176471,1,0.7407407407407407,0.8147058823529412
lcam_lo_random,0.5151515151515151,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.6911764705882353
lcam_both_metabolic,0.8095238095238095,1,0.6923076923076923,0.8181818181818181,0.9326923076923077
lcam_both_nonmetabolic,0.6086956521739131,1,0.3076923076923077,0.47058823529411764,0.9923076923076923
lcam_both_random,0.6923076923076923,1,0.4666666666666667,0.6363636363636364,0.9878787878787879
