Feature,Value
BTG1@T_GZMK_1,0.06053321630002573
BTG1@Tcm-naive_II_34,0.06002869320364222
BTG1@Tcm-naive_I_51,0.058372698673743895
BTG1@Tcm-naive_I_39,0.05143549137456394
RPL3@DC3_30,0.04912563770088786
RP11-415D17.3@Tcm-naive_II_34,0.047618060880019464
PCF11-AS1@AM_25,-0.045164094305611566
RP11-783K16.5@B_56,0.04484325342822318
CTD-3088G3.8@AM_57,-0.044025196172520396
NFASC@AM_25,-0.04316829610924943
BTG1@CD8 Trm_48,0.03982109822876027
BTG1@CD4 Trm_59,0.039160094350629365
AC008781.7@CD8 Trm_48,0.03526952458466983
CAPN11@DC3_30,0.034391944175878854
RBM25@Tcm-naive_I_51,-0.03321321246423613
ANXA2@Tcm-naive_I_51,-0.03238390234677099
HMGN1@DC3_30,0.0315835267062241
RBM3@Tcm-naive_I_51,-0.030099140327926387
PTPRH@AM_25,-0.02981014783274398
ANXA2@Tcm-naive_II_34,-0.02937780865539384
RBM3@Tcm-naive_II_34,-0.029246804621764322
BANK1@AM_55,-0.028191707826799563
ANXA2@Tcm-naive_I_39,-0.027400159271500302
CNGA1@AM_25,0.027030381449235263
SPAG6@AM_57,-0.026559747384595673
FAM157C@T_Nklike_20,-0.025361388627723087
PTPRH@AM_57,-0.024903191829659204
RP11-295M3.4@AM_57,-0.024684109742657282
PAG1@Tcm-naive_I_39,-0.02442564860479079
KCNE4@Tcm-naive_I_51,0.02359394168974489
BCYRN1@MoMac-III_38,0.023468305480237383
KCNIP2@AM_57,-0.022776316144519786
AC015922.6@cDC2_14,0.022365386511555466
LINC00314@CD8 Trm_48,0.022185683388019753
TPM3@Tcm-naive_I_51,-0.02209151268915936
RP11-286E11.1@cDC2_14,-0.02196415113786477
NACA@DC3_30,0.021738772288364
BCAN@CD4 Trm_59,-0.02162020351492061
RP11-826N14.2@Tcm-naive_I_51,0.021416967540681446
SLC22A18AS@B_56,0.021130386286648793
PTPRH@CD16 mono_23,-0.02042212189036403
RP11-110I1.11@cDC2_14,-0.02040034339988846
RP5-1103G7.10@CD4 Trm_59,-0.020293998479540772
ZGRF1@CD14 mono_58,-0.020206838926883897
XX-C2158C12.2@Treg_19,0.02003596021679766
RPL3@DC3_29,0.019622400584978845
FRY-AS1@T_Nklike_20,-0.019606244281869835
L1CAM@Tcm-naive_II_34,-0.019012431862431435
RP3-466P17.1@MoMac-III_33,0.018943879369830524
HMGN1@Tcm-naive_II_53,0.018797891363280132
RBM3@Tcm-naive_I_39,-0.01873514302618915
ZNF487@MoMac-IV_47,-0.018678414989315432
RP5-1086K13.1@AM_57,-0.0185426828603623
LINC00910@CD14 mono_58,-0.018434769756838693
MYLK@NK_13,-0.017934550369970204
RP11-499E18.1@T_Nklike_20,-0.017797676715383414
RP11-359E3.4@T_GZMK_1,0.017771981109300315
RP11-89G4.1@B_56,0.017768325869563065
GREB1L@Tcm-naive_II_34,-0.017686094922297158
TMCC2@Treg_19,0.01767805603670064
CDK20@DC3_52,0.017377770022257252
GPRC5C@AM_57,-0.017327447414363883
CD1E@MoMac-III_33,0.017169687782568662
PRX@Tcm-naive_II_34,-0.01710110248886156
HIC1@B_56,0.016997731201672053
SEMA3G@T_Nklike_20,-0.016895001437962257
GPRC5C@AM_25,-0.016690379627152013
ANXA2@Tcm-naive_II_53,-0.016392262132307284
C8orf37@T_Nklike_20,-0.01630372081629539
HMSD@B_56,0.016095318300321126
C8orf37@DC3_52,0.015994968497166796
TPM3@Tcm-naive_II_34,-0.015946335589245738
CTA-293F17.1@CD8 Trm_48,0.01587028287472402
IFT57@B_56,-0.015517720459316478
SLC9B1@MoMac-IV_47,-0.015455879294786168
TRIM16@MoMac-II_42,0.015399417628046207
PLEKHH3@AM_57,-0.015332478674864161
ZNF446@AM_57,-0.015197903693496972
CTD-2288F12.1@NK_13,-0.014950772700054748
MAGI2@CD4 Trm_59,-0.014940099566096965
SDCBP2-AS1@AM_57,-0.014939897094022152
ZNF446@NK_13,-0.014898301113807464
CTDSPL@T_Nklike_20,-0.014874095814991174
MRPS34@Tcm-naive_I_51,0.014467347617225429
HELZ2@MoMac-II_42,0.01446227703490041
ARMC7@DC3_52,0.014450181177401492
SIAE@CD14 mono_58,-0.014384781159410994
FOS@CD8 Trm_48,-0.014316164187881874
RP1-30M3.5@CD14 mono_49,-0.014217973543329848
ANKLE1@CD8 Trm_48,0.014211072796957188
CTD-2288F12.1@CD14 mono_49,-0.014153475461548146
DAND5@AM_10,0.014140745852986688
TMEM100@Tcm-naive_I_51,-0.014090132512157127
MPP3@IM_8,-0.014030463616824388
PABPC1L@CD14 mono_2,-0.014020426355138662
ZNF468@NK_13,-0.013945875507190592
CITF22-1A6.3@AM_25,0.013940476090603995
ZNF468@AM_55,-0.013922476898455997
LSMEM1@NK_13,-0.013869039150456062
NAA40@DC3_52,0.01380736499119611
CELSR1@MoMac-III_33,0.013589197707998152
RP11-109P14.10@CD16 mono_23,-0.013573818795217636
IFITM1@MoMac-II_42,0.013560392626223364
HMGN1@NK_13,-0.01349791579607563
PEX11A@NK_13,-0.013495610785831039
ABCA3@CD14 mono_58,-0.01339249436199818
RPS20@Tcm-naive_II_53,-0.013338837568886293
ANXA2@cDC2_14,-0.013301549159504272
HMGN1@CD8 Trm_48,0.013245236429601057
CHRNB1@DC3_52,0.013185236626434395
CTB-138E5.1@MoMac-II_42,0.013184425337613617
RP11-481J13.1@MoMac-III_38,0.013154713620432747
RP11-583F2.5@Treg_19,0.01308795590249657
BTG1@Tcm-naive_II_53,0.013043606145385878
PPP6R3@MoMac-II_42,0.013007403168991911
RP11-216B9.6@CD14 mono_2,-0.012964168437188443
XXbac-B135H6.18@NK_13,-0.012913735371492542
C6orf163@MoMac-III_38,0.012819023879965379
HERC4@DC3_52,0.012818583977649668
FAM220A@Treg_19,0.012780170920277374
GP1BA@CD16 mono_23,-0.012774664271380687
RP11-440L14.4@Treg_19,0.012743111557763902
RP11-1398P2.1@MoMac-II_42,0.01268990620615367
SCYL3@CD14 mono_49,-0.012648528549676494
CCR9@Tcm-naive_I_39,0.012549522548549161
CHKB-AS1@MoMac-III_33,0.012547114685032392
TMEM63C@CD16 mono_23,-0.012546870233267959
ZNF254@CD16 mono_23,-0.01249144675479242
RANBP1@cDC2_14,0.01245540785262948
FHOD3@Tcm-naive_II_34,0.012439780128955826
KLF6@CD4 Trm_59,-0.01243682680697804
SLC1A2@cDC2_14,0.01240979122919528
TYK2@CD14 mono_58,-0.012368698977470829
LGALS12@DC3_30,0.01236735829512114
