Feature,Value
GPRIN2@AM_25,-0.2754193590496498
SCARNA9@AM_25,-0.2753228019178813
TMCC2@AM_25,-0.27526115244262556
RP11-548P2.2@AM_57,-0.20658022754412736
KLRG2@AM_57,-0.16357482757187194
AC017028.10@AM_57,-0.16352829498100765
AC091133.1@AM_57,-0.16347647462831194
KB-1448A5.1@AM_57,-0.16342097344448367
IQUB@AM_57,-0.16337805907800682
YIPF7@AM_57,-0.1633710832713319
RP4-803J11.2@AM_57,-0.1633616427313244
RP11-91A18.4@AM_57,-0.16331608615914897
AC008074.3@AM_57,-0.16327069137087666
FAM170B@AM_57,-0.1632225487085283
CTB-58E17.3@AM_55,-0.15925114242276886
RP11-791M20.1@AM_25,-0.13960113451283684
COLCA2@AM_25,-0.1372206775302426
MTRNR2L7@AM_55,-0.13009626435456045
PTPRH@AM_25,-0.11709455287072591
PTCHD4@MoMac-III_38,0.11676340571728078
RP11-372K14.2@AM_55,-0.10871937428820726
RP11-583F2.5@AM_55,-0.09941037507292068
GUCA1B@AM_25,-0.09932745568080442
RP11-359E10.1@AM_25,-0.09500762558966036
AC018359.1@AM_25,-0.08840771546211543
ANP32D@AM_25,-0.08291444900742151
CFAP52@AM_57,-0.078893907546781
NFASC@AM_25,-0.0785299614227218
AC072062.1@AM_25,-0.07620228362545745
SULT1A4@AM_25,0.07557584714428009
RAB44@AM_57,-0.07244877394951207
PTPRH@AM_57,-0.0705350764908042
BX470102.3@AM_25,-0.06941486933102883
AC195454.1@AM_25,-0.06907425492352137
RORC@MoMac-III_33,0.06775461306645503
SPATA13-AS1@MoMac-I_35,-0.06564800485243368
RP13-20L14.6@AM_57,-0.06442988320449132
TREML2@AM_25,-0.06372498230565166
RP11-53I6.4@AM_10,-0.06221193162758766
PTCHD4@AM_10,-0.0621878779805945
DAND5@AM_10,0.06103546360281917
RP11-48B3.4@AM_10,0.060914393774987544
RP11-421M1.8@AM_55,-0.06080227921094623
LDB3@AM_25,-0.05971578177022965
ZFYVE9@AM_57,-0.05964050441837924
SDCBP2-AS1@AM_57,-0.057375539444916426
LRRC74A@AM_25,-0.057282291849459946
SPAG6@AM_57,-0.05682953815628042
SLC35E2@AM_57,-0.05655662927934675
RP11-78A19.4@MoMac-III_33,0.055972665430712096
ITPK1-AS1@AM_25,-0.05531000916188578
RP11-65B7.2@AM_57,-0.05516215510983388
KCNIP2@MoMac-III_38,0.055104823211350795
RP11-3P17.4@MoMac-III_38,0.05510067310278545
PLEKHH3@AM_57,-0.054327360289031686
CITF22-1A6.3@AM_25,0.05414766061742551
ANKLE1@AM_57,-0.05218619185601921
AC007386.4@AM_25,-0.05201489674369647
RP4-569M23.5@AM_55,-0.05144198231136621
RP11-127L20.3@MoMac-III_38,0.051351544773727685
PRR7-AS1@AM_57,-0.05130995847203906
TERT@AM_25,0.05112868560919662
CPA6@AM_25,0.05108323781709456
AC002480.2@AM_25,0.051040281089470195
AC004448.5@AM_25,0.05099363834510407
RP11-53I6.4@AM_25,0.05097076729648761
RP11-53I6.4@IM_8,-0.05067166399256561
AC073343.13@AM_25,-0.05058116449083071
ATP1B3-AS1@AM_57,-0.05056891436683565
RAB44@AM_10,-0.050138111284625
RP5-1086K13.1@AM_57,-0.049858684586021364
ZNF446@AM_57,-0.049831055547902285
FAM72D@AM_55,-0.048735427726055776
CTD-3088G3.8@AM_57,-0.048645724225177094
CTD-2561B21.5@AM_57,-0.04862208245824245
RP11-715J22.2@MoMac-III_33,0.048205165808860514
ZNF441@AM_57,-0.04762184179211467
HMGN3-AS1@AM_57,-0.047128718455408024
HIC1@AM_57,-0.046322506424163266
BEND6@MoMac-III_32,0.04595358332327864
CTD-2561B21.5@AM_25,-0.04560803836460934
RP11-706O15.1@MoMac-III_32,0.04504195104828466
DOK4@AM_57,-0.04493459512015613
TMEM132D@AM_10,0.0445260142195876
AFF3@AM_57,-0.043680201224583284
PDZD2@AM_25,-0.043624576603636195
ITGA8@MoMac-III_38,0.043245617377880685
MYCL@MoMac-III_38,0.04319385147510785
DUOXA1@AM_57,-0.042950313587164245
CITF22-1A6.3@AM_55,-0.04291793541147054
PRLHR@IM_8,-0.04276770707850622
RP11-305D15.8@IM_8,-0.04274581802893534
RP11-295M3.4@AM_57,-0.04235570228205416
RP11-65B7.2@AM_10,0.04202087963012835
LGALS12@AM_57,-0.04168473440403422
BMP8B@AM_57,-0.04116453730441343
C6orf132@AM_55,-0.04095784253454014
CTD-3065J16.9@MoMac-III_33,0.04085944455639374
KCNIP2@AM_57,-0.04075256754502413
RP11-305D15.8@MoMac-III_38,0.04054873191632618
FREM2@MoMac-III_38,0.040528315726258
PDZRN4@MoMac-III_38,0.04050986451754081
MAGI2@AM_25,-0.040493365685630556
AC018359.1@MoMac-III_38,0.04048779179229103
PCF11-AS1@MoMac-III_38,0.04044054158904682
RP11-801F7.1@AM_55,-0.04043163821349982
RP11-374A4.1@MoMac-III_38,0.04037991649350553
RP11-678G14.4@MoMac-III_38,0.04035263915056699
AC002480.2@MoMac-III_38,0.04030538536476727
COLCA2@MoMac-III_38,0.04027743739795765
CPA6@MoMac-III_38,0.0402523413348597
USP43@MoMac-III_38,0.040225092797989824
RP11-481J13.1@MoMac-III_38,0.03971960989974669
XX-C2158C12.2@AM_57,-0.039484970539769244
THCAT158@AM_10,-0.039459107808469535
KCNK15@AM_25,-0.03934620336967213
RP11-1084I9.1@AM_25,-0.038697125901639054
RP11-357F12.1@MoMac-III_33,-0.038454789648441845
HOXA4@MoMac-III_33,-0.03844857762659105
PKNOX2@MoMac-III_33,-0.03844529782787282
FOXA1@AM_57,-0.03818341379809357
HIST1H2BD@AM_55,-0.0381582599835103
CTD-2561B21.5@MoMac-III_33,0.038106564780054426
KCNIP2@MoMac-III_33,0.037984696551802644
L1CAM@MoMac-III_38,0.0376885218225999
RP11-65L19.4@IM_8,-0.03763321853442103
XX-C2158C12.2@AM_25,-0.03761458815875706
RP11-111F5.3@AM_25,-0.03751585105776292
FLJ33360@IM_8,-0.03747420295532767
RP13-20L14.6@MoMac-I_35,-0.03737039761344674
PRR7-AS1@AM_25,-0.0371877807933057
RP5-821D11.7@MoMac-III_38,0.036967152639182564
AC025335.1@MoMac-IV_47,-0.036937244095446645
ZNF565@MoMac-IV_47,-0.03692443154546078
SLC2A14@AM_25,-0.03665835269427751
CELSR1@AM_57,-0.03658099197725009
CTD-3088G3.8@IM_8,-0.03636321276525434
AC072062.1@MoMac-II_11,0.03627118686295995
RORC@MoMac-II_11,0.03626478266806829
RP11-44F21.5@MoMac-II_11,0.03624615033508623
ANKRD23@MoMac-II_11,0.036243051257997996
RP11-65B7.2@MoMac-II_11,0.03623614734909069
ANKRD23@MoMac-III_38,0.03616959356165063
TMIGD2@AM_25,-0.036050229619403934
RP3-466P17.1@MoMac-III_33,0.03589989909881609
LA16c-360H6.3@AM_25,-0.03585916280186264
AC023347.1@AM_25,0.0352958540204582
SLC9B1@MoMac-III_32,0.035260436201180474
RP11-436D10.3@AM_57,-0.03512039250000249
GPR162@AM_57,-0.03482944781443852
RP11-679C8.2@AM_57,-0.03462397139046539
NYAP2@MoMac-IV_47,-0.03457557227603443
MAST1@AM_25,-0.03454657247545618
LINC00470@AM_57,-0.03449488377667456
ZNF709@AM_25,-0.03431217008877501
PLEKHH3@MoMac-II_11,0.03415915850666006
AP001258.4@AM_57,-0.03415549932885553
EPHA10@MoMac-III_38,0.03408927973608982
RAB33A@MoMac-IV_47,-0.034080274152326666
MFSD6L@MoMac-III_33,0.033954532267011873
BMP8B@AM_55,-0.03371805811825291
CCL21@AM_54,-0.033548273546308356
AC007386.4@MoMac-III_32,0.03327351496369633
RP11-295M3.4@MoMac-III_38,0.03323430926380265
FRY-AS1@AM_57,-0.0331950701121987
RP11-227D13.5@AM_55,-0.033071948274590424
KLK10@AM_10,-0.03306121714579556
RP11-783K16.5@AM_57,-0.03302324071747666
HOMER2@MoMac-III_33,0.03299943743381851
FAM72D@MoMac-III_38,0.03296565401185578
RP11-246A10.1@AM_55,-0.03295597367750738
GPRC5C@AM_57,-0.03292025607274532
RP11-436D10.3@AM_55,-0.032906808406177365
BAALC-AS2@MoMac-III_38,-0.03281481231467672
AC007386.4@MoMac-III_38,-0.032808219867428205
RP5-1021I20.2@MoMac-III_38,-0.03280782959360717
HUNK@AM_55,-0.032806165353278696
RP5-1103G7.10@MoMac-III_38,-0.03280106249395286
DNM3@MoMac-III_38,0.032791693943863116
AJ006998.2@MoMac-III_33,0.0325827411619517
RP11-56G10.2@AM_25,0.032478855728972675
PTCHD4@AM_25,0.03247785994485486
RP11-632F7.3@AM_25,0.032446364117125835
FZD8@AM_10,-0.032002231692934216
RP3-466P17.1@MoMac-III_38,0.031794292906439925
LY6D@AM_57,-0.03178979450444872
CFAP52@AM_25,-0.031747970121814274
SBSPON@MoMac-III_38,0.03168137522650875
RP11-344B5.2@AM_55,-0.03164139545042512
XX-C2158C12.2@AM_54,-0.03162981943734521
KCNJ2@AM_25,-0.03154824731648747
DNAH9@MoMac-III_38,0.0313893315107851
TFAP4@MoMac-IV_47,-0.031228266266321456
RP11-65L19.4@MoMac-III_32,0.031136776559911362
CTD-2561B21.5@AM_55,-0.03058780021871651
RP11-421M1.8@AM_57,-0.030564232117876677
RP4-794H19.1@MoMac-IV_47,-0.03052471372556895
CX3CL1@AM_25,-0.03028320827036515
AC195454.1@MoMac-III_38,0.03028042043266262
RP11-177F15.1@AM_57,-0.030267425809289608
SKP2@MoMac-III_32,0.03014593522904217
FRY-AS1@MoMac-III_33,0.02986186902880486
RAB25@MoMac-III_38,0.02961573445458905
AC007386.4@AM_57,-0.029266481766325684
PTPRS@MoMac-III_38,0.029195705889732394
RP11-826N14.2@MoMac-III_32,0.028979770530265327
KDELR3@MoMac-IV_47,-0.028880547211800486
ZNF395@MoMac-IV_47,-0.02884192788843871
PTGDR@AM_57,-0.028747330019518607
RUNDC3A-AS1@MoMac-III_32,0.028680020251930543
SYT10@MoMac-III_32,0.028665958274449115
HUNK@MoMac-III_32,0.028665357438467123
CLDN3@MoMac-III_33,0.028484308321052317
ABCB5@MoMac-IV_47,-0.028464241279714326
GPRC5C@AM_25,-0.02815667628785736
MPP3@IM_8,-0.028133082729788664
ZNF416@MoMac-II_11,0.028108758170866784
HUS1B@IM_8,-0.0280918410071579
GP1BA@IM_8,-0.027750873008448924
CCDC144NL@MoMac-IV_47,-0.027617280460979707
FZD8@MoMac-II_42,0.027050640744518777
RP11-6D1.3@AM_10,0.027032394969142542
RP11-589M4.1@AM_10,0.02699704664744207
RP11-111F5.3@AM_10,0.02697497017083848
CTD-3065J16.9@AM_25,-0.026869572948445584
POU5F1B@AM_57,-0.02681353342897827
SAA4@AM_57,-0.02681128229217023
FN3K@MoMac-II_11,0.026522340621899346
BANK1@AM_55,-0.02649372627648754
CTA-212A2.4@MoMac-IV_47,-0.026482466511699155
C6orf163@MoMac-III_38,0.026463892594685897
SNAI3@AM_57,-0.026442468885944904
RP4-794H19.1@MoMac-I_35,-0.026386409495053942
C6orf132@AM_57,-0.026294080672243713
CHKB-AS1@MoMac-III_33,0.026281405053867377
CELSR1@MoMac-III_33,0.026141543074531176
ZNF385B@AM_57,-0.026052749659761808
SLC35E4@AM_25,-0.02604682146165119
HID1@AM_25,-0.025992236811621952
AC005037.3@MoMac-II_11,0.025891962882292407
RP11-257I14.1@MoMac-III_33,0.025858139600590576
RP11-839D17.3@MoMac-II_11,0.025784347440341113
ST20@MoMac-III_32,0.025760938274183062
CFAP52@MoMac-III_33,0.025703570425995345
ACKR2@AM_25,-0.02550119671940774
LINC00910@MoMac-IV_47,-0.025389203808468618
MAST1@MoMac-IV_47,-0.02538900372942902
RP11-826N14.2@MoMac-III_33,0.02529820839569624
ZNF565@AM_55,-0.025246202903135635
AC073072.5@AM_57,0.025225231068221665
LRRTM2@AM_25,-0.025113824100442106
PSMA8@AM_10,-0.02504346986364752
CEACAM1@AM_55,-0.02501685848663659
FOXA1@AM_25,-0.024928096710991235
ARAP1-AS1@MoMac-III_32,0.02470539225887228
CD19@MoMac-III_32,0.02469801457543442
ARIH2OS@AM_25,-0.024589002429870947
SULT1A4@MoMac-I_35,0.024451830109766804
PNMAL2@AM_57,-0.02417935491959248
