Feature,Value
RP4-625H18.2@IgG_28,-0.25577788238992855
FAM19A1@IgG_28,-0.25572446776565144
RP11-363E6.3@IgG_28,-0.2556354982406771
CTD-2035E11.5@IgG_28,-0.2555448378471296
ESRP1@IgG_28,-0.2554726333956728
ARHGAP19-SLIT1@IgG_28,-0.2553851787254225
AC004988.1@IgG_28,-0.255314885693111
RP11-396N11.1@IgG_28,-0.255279969334843
RP11-360L9.4@IgG_28,-0.2552347974214545
RORB@IgG_28,-0.2552203744759395
WFDC1@IgG_28,0.1480942973715754
RP3-323N1.2@IgG_46,0.13863799848575953
RP11-54C4.3@IgG_46,0.13327737443777604
RP11-360L9.4@MoMac-II_11,0.13214823065851447
TMEM130@MoMac-II_11,0.13168230497131977
RP11-715J22.2@MoMac-II_11,0.13113080373739297
AC093802.1@IgG_28,0.12482919973826388
SNX7@IgG_46,0.12367460599755623
RP11-326N17.2@IgG_46,0.12281282189219105
SALL2@IgG_46,0.12232894619407317
DNASE1L3@MoMac-II_42,0.11127742661648828
CTD-2349P21.9@IgG_46,0.10947761509391704
TMEM201@IgG_46,0.09928343496273138
MYRIP@MoMac-II_11,0.09915270372779007
NXPH3@IgG_28,-0.09268953797425121
SIGLEC1@IgG_28,-0.08735022388807161
TRIP13@IgG_46,0.08668355151692551
DYX1C1@IgG_46,0.08569123602997289
DHDH@IgG_46,0.08431727583295914
AC003075.4@IgG_46,0.08385771023678194
LMCD1-AS1@IgG_46,0.07861479466144647
LINC00887@MoMac-II_11,0.07848482859092208
AC007292.6@MoMac-II_11,0.07848143338953321
CDKL1@IgG_28,-0.07197281381770337
MS4A4E@MoMac-II_42,0.07159425887121279
AC005523.2@MoMac-II_42,0.0714259116360383
IGHV3-13@IgG_28,0.07035732406141293
CTD-3105H18.14@MoMac-II_11,0.06925842725900039
DDO@MoMac-II_11,0.06628767252263074
PLEKHD1@T_activated_44,0.06601275550568164
CH507-154B10.1@IgG_46,0.06350599286190434
JAKMIP1@IgG_28,0.06282946260291272
RP11-363E6.3@MoMac-II_11,0.05987152508494952
RP11-793H13.10@IgG_46,0.05983659452979809
CTA-221G9.12@IgG_9,0.05962646391747206
BMP7@IgG_28,-0.05892148486293306
TMEM27@IgG_46,0.05829410700989702
ZNF844@IgG_28,0.05782394731639473
PDGFD@IgG_9,0.057222052903631124
PLEKHD1@IgG_9,0.05592941543522888
CD300LF@IgG_46,0.05533419831815302
DGUOK-AS1@MoMac-II_11,0.055314851908428296
SLC27A2@IgG_46,0.05483648003028966
DMBX1@IgG_46,0.054830090682695204
LOH12CR2@IgG_28,0.05326932551902853
FAM81A@MoMac-II_42,0.053130406773454285
AURKB@IgG_46,0.05162591203315812
RP11-737O24.5@MoMac-II_11,0.050360366188272845
LINC00887@IgG_28,0.04997738879287868
ADGRL1@MoMac-II_11,0.04995539894797376
C10orf2@MoMac-II_11,0.04991045374808584
UBASH3B@IgG_46,0.04952476979695709
KLRC1@IgG_46,0.049270322983530686
LIPE@IgG_46,0.04917562684178977
PSMD6-AS2@IgG_28,0.0490178562059249
NINL@MoMac-II_42,0.048421989441498524
SPESP1@T_activated_44,0.045370397933277656
RP11-315I20.1@IgG_46,0.04504590596989186
RP1-224A6.3@T_activated_44,0.044999320211509854
LINC01118@IgG_28,-0.04476164968726975
CACUL1@IgG_28,0.04404538529979389
AC109333.10@IgG_46,0.043377900416844105
RP11-339B21.13@MoMac-II_42,0.043277885849237016
SCHLAP1@MoMac-II_11,0.043195140388009846
PEG10@IgG_28,0.04315095275818378
KLHDC4@MoMac-II_42,0.043088613704063666
RP3-323N1.2@T_activated_44,0.0429548826930679
TMEM125@IgG_28,0.04292393031712633
RP11-422P24.12@IgG_28,0.04264446933942637
MED7@IgG_28,0.042633598463839725
FAM227A@IgG_9,0.042229017247749016
TRIL@MoMac-II_42,0.04190691577575975
LUADT1@MoMac-II_42,0.041837968857688305
CTB-46B19.2@MoMac-II_42,0.04183277614969172
CTD-2017C7.2@MoMac-II_42,0.04182446739365104
IZUMO2@IgG_28,-0.041473487047357635
ENGASE@IgG_46,0.04135553658843736
HMGN3-AS1@MoMac-II_11,0.041272094647997255
ZNF462@IgG_28,-0.04069121771937835
BRMS1L@MoMac-II_42,0.04027112670570452
ARFGEF3@MoMac-II_42,0.039907254945131324
