Feature,Value
APC2@AM_25,-0.47725815930404786
ANKRD45@AM_25,-0.3072437369404688
KCNC4-AS1@AM_25,-0.28191182978915413
MYRIP@AM_25,-0.20119960356993508
CYP4F11@AM_25,-0.20116468265258547
KB-1836B5.4@AM_25,-0.20114582075471663
TRIM63@AM_25,-0.2010149013089236
MEGF10@AM_25,-0.2010106883167272
FAM149A@AM_25,-0.1587792472023831
SH2D1B@B_56,0.14581792620278225
LINC01209@B_56,0.1376096544103576
SCHLAP1@B_56,0.13275695887943434
TRGV2@B_56,0.13190268237965141
SDR42E1@AM_25,-0.13143173722847468
RP11-863P13.1@AM_25,0.1271739405322723
RP11-49I4.3@AM_25,0.12697245418563685
RP11-762H8.3@AM_25,0.12683023003029445
RP11-27G24.3@AM_25,0.12666181727670642
PROB1@AM_25,-0.12657189364368454
AP001627.1@AM_25,0.1265703239120107
TAGLN3@AM_25,-0.12655092828597542
LVRN@AM_25,-0.12654512083955569
TMEM200B@AM_25,-0.12653655142255923
AC009965.2@AM_25,0.12646269182781572
GAL@AM_25,0.12634803452629048
RP3-393E18.2@AM_25,0.12625380927134863
SLC24A3@Tcm-naive_II_34,-0.11995267081080364
ADGRL1@AM_25,-0.11777011686911265
CTD-2033A16.3@AM_25,-0.11366329017805084
AC022154.7@AM_55,-0.1136577169545643
RP11-360L9.7@AM_55,-0.11309889268899999
DPEP3@AM_55,-0.11306274775503845
CYP7B1@AM_55,-0.1130113550903693
FAM83A@AM_55,-0.11299787633703089
RP11-572M11.3@AM_55,-0.11288387613210767
SPR@B_56,0.10894272002568793
MATN4@AM_25,-0.10758075725881652
C1orf234@AM_25,-0.1060817256180085
SOX17@AM_25,-0.1027921505955021
PAPLN@B_56,0.09959979021182298
ZNF536@B_56,0.09708570360169103
RP11-667K14.5@Tcm-naive_II_34,-0.09527136866656304
RP3-323N1.2@AM_55,-0.0915501782708035
AC010149.4@B_56,0.09084928336911066
GSTO2@AM_55,-0.08914399345391676
RP11-363G15.2@AM_25,-0.08768142948383016
MPPED2@AM_25,-0.08755286040478454
LUADT1@AM_25,-0.08641790671385746
RP11-809N8.2@AM_25,-0.08591271112853555
CSNK2A3@AM_25,-0.08583758093513016
C11orf95@Tcm-naive_II_34,-0.08570110287521461
CRYGS@AM_25,-0.08408690404297596
ZNF541@Tcm-naive_II_34,0.08398104235560129
CTD-2342J14.6@B_56,0.08342114360731613
TMEM27@AM_25,-0.08313777313361154
AC007292.6@B_56,0.08128536721329498
RP11-296K13.4@AM_55,-0.08078176776835393
RP11-531A24.5@B_56,0.07874249029436325
CLTCL1@AM_55,-0.07832619693278484
LYSMD1@AM_25,-0.07798910006646691
RP11-62F24.2@AM_25,0.07659428028098936
TRIL@AM_25,0.07610688179559814
RP11-296K13.4@Tcm-naive_II_34,-0.07605244360283864
RP11-24C3.2@AM_25,-0.0754303065630343
IGLV3-10@Tcm-naive_II_34,0.0746245327967228
AP000442.1@AM_57,-0.07432279613599746
ANK2@B_56,0.07298907791832046
GREM2@AM_25,0.07290818326244365
RP11-1084I9.2@Tcm-naive_II_34,-0.07285963315383437
AC073257.1@Tcm-naive_II_34,-0.0728593996371222
RP11-184E9.2@Tcm-naive_II_34,-0.0728589334240137
NPIPA8@Tcm-naive_II_34,-0.07285763776556017
RP11-184A2.2@Tcm-naive_II_34,-0.07284883968169312
RP11-375H19.2@Tcm-naive_II_34,-0.07283575675107845
RP11-114H24.6@Tcm-naive_II_34,-0.07280770763290748
C1orf140@B_56,0.07268116963573902
MPPED2@AM_57,-0.07249447442455018
CNTNAP3@AM_55,-0.07246816302641022
RP1-59D14.10@AM_25,-0.072279236682596
GRTP1@AM_25,-0.07159298354463088
OSMR@AM_57,-0.0714545201178589
PAQR6@B_56,0.07083997440344005
ASB14@B_56,0.07068743015109534
PRDM11@AM_57,-0.07020979417563923
CTD-3224K15.3@AM_25,-0.07006326306624551
RP11-407G23.1@AM_57,-0.07005649622357411
KIF18B@B_56,0.06859325611069597
PIK3IP1-AS1@AM_55,-0.06838800410656758
LUADT1@AM_55,-0.06834178397557968
RP11-68I3.5@AM_25,-0.06797805715186951
CTB-46B19.2@AM_25,-0.06779948239589922
MIR497HG@AM_25,-0.06773545941651514
CYP4F11@AM_55,-0.06760188379427849
AQP8@B_56,0.06756452784997204
GAPDH@cDC2_14,0.06751069052362955
DHDH@B_56,0.06666765582174054
RP11-124N3.3@AM_25,0.06491717406277284
TBKBP1@AM_57,-0.06408291090880412
FPGT-TNNI3K@B_56,0.06320570620831367
RP13-131K19.2@AM_25,-0.06305617039797862
FZD5@B_56,0.062364678379828176
KLHL10@AM_25,-0.06190505971449941
CATIP@B_56,0.061044579463829525
RP11-195M16.1@AM_25,-0.06072913737027671
AC011899.9@B_56,0.0606539840203084
TRAV36DV7@B_56,0.05965227787533083
SLC27A2@AM_55,-0.05906955416586296
XIRP2@AM_25,-0.05891745023810922
RP11-49I4.3@B_56,0.05870283701423188
LINC00921@AM_25,-0.05867335277229506
IZUMO2@AM_57,-0.058630045276714046
RP11-403I13.7@AM_57,-0.05830353467005951
C22orf23@AM_57,-0.05767472492915605
TMEM133@AM_57,-0.05764988349804077
FAM83A@Tcm-naive_II_34,-0.056532057793441934
CTD-3064M3.4@AM_25,-0.05650052985206488
ABCA8@AM_25,-0.05641120793882362
RP11-2C24.7@AM_57,-0.05606510906162493
RP11-596C23.6@AM_55,-0.05494931264012932
GREB1L@Tcm-naive_II_34,-0.05401811466092685
RP11-638I2.8@AM_57,-0.053848000818832585
RP11-795F19.5@B_56,0.05382988932284634
TEX41@AM_57,-0.05358402718736556
CTD-3224K15.3@B_56,0.05350989978125532
MPPED2@B_56,0.052855876026654224
CTD-2342J14.6@AM_55,-0.05268799400944556
PCDH12@Tcm-naive_II_34,-0.05246041303029312
RP11-296K13.4@cDC2_14,-0.05227539386770101
DCLK2@B_56,0.0521340277674631
CTD-2349P21.9@B_56,0.05210429961675488
LINC00545@AM_55,-0.0517517293717051
ZDHHC11@AM_57,-0.05152592705880457
LINC01565@AM_10,0.051089416452593184
CPT1B@AM_10,-0.05070431433520723
BFSP2-AS1@AM_57,-0.05007046748849575
RP11-730K11.1@B_56,0.049850513170237955
LINC00211@B_56,0.04968477680788666
CTB-138E5.1@B_56,0.04963550826529938
XIRP2@B_56,0.04954741590977606
RP11-415C15.3@B_56,0.0495430433913349
RP11-62F24.2@B_56,0.049541761201413285
PLEKHD1@AM_55,-0.049527436323475484
TMEM133@B_56,0.04947370551641292
RP11-800A3.7@AM_10,0.049411634513995564
CRYGS@B_56,0.04934778824386233
CTD-2342J14.6@cDC2_14,0.049258224557103034
RP11-686O6.2@AM_25,-0.04889427037387708
LIPE@AM_25,-0.04882242169343917
SLC16A11@AM_55,-0.04874246669298614
ZNF311@Tcm-naive_II_34,0.0486072526631849
TRAV36DV7@AM_57,-0.04829435649504843
RP11-563J2.2@B_56,0.04807456391000592
AC020594.5@AM_57,-0.04807245255851068
DDX3X@cDC2_14,-0.0480529141089095
NDUFA4L2@AZU1_mac_16,0.04798583366278245
AC009228.1@Tcm-naive_II_34,0.047960958040089485
NCR3LG1@AM_25,-0.04793087764890593
NEB@AM_10,0.04774844621691792
KHDRBS2@AM_25,-0.04768087388857233
MEIG1@Tcm-naive_II_34,0.047535282717265426
ZACN@AM_57,-0.04749885259988211
RP5-1021I20.2@AM_10,0.047318043364596794
E2F8@Tcm-naive_II_34,0.047281388608530844
RP11-253E3.3@B_56,0.04668523733166354
MDFI@AM_25,-0.04655980839974035
RP11-44N21.1@AM_25,-0.04655491339303551
C9orf170@AM_25,-0.04646515078596856
IGDCC4@AM_25,-0.04645578520197644
AC005592.1@AM_25,-0.04643130787097762
TMEM125@B_56,0.04636141294334598
TXN@Tcm-naive_II_34,-0.04620135974807889
PAQR6@AM_57,-0.046157229808902925
RP11-586K2.1@AM_10,-0.045637347187519925
IL24@AM_25,0.045551566261481526
SLC52A3@AM_55,-0.04549731195956876
GAPDH@B_56,0.04521918947783194
RP11-596C23.6@AM_10,0.04486027030345789
TXN@Tcm-naive_II_53,-0.04457012109120643
C19orf60@cDC2_14,0.04418896530420101
VWA2@cDC2_14,0.0437749291068208
RP4-680D5.2@cDC2_14,0.043393580186940825
MYO16-AS1@AM_25,-0.04338035485810793
AC093802.1@AM_55,-0.04301554429892746
RP11-730K11.1@AM_10,0.0429090090416005
RP11-793H13.10@AM_10,-0.04286273978145688
PLG@B_56,0.04261627633901164
LNP1@AM_57,-0.04253551695576068
TMEM201@AM_57,-0.042522020362251806
CSNK2A3@B_56,0.04239635092179703
CALM3@cDC2_14,0.042113827721580746
CDH20@Tcm-naive_II_34,-0.04193357024093546
RP11-62F24.2@AM_10,0.04175648509816287
RP11-533E19.5@AM_25,-0.04161449728555617
TUBA3D@B_56,0.04143258844862375
ZNF462@AM_25,-0.041400954100802974
LINC01146@B_56,0.0411441131278581
RP11-500G10.5@Tcm-naive_II_34,-0.04107833571342153
RP11-190D6.2@Tcm-naive_II_34,-0.0410612955284908
C2-AS1@Tcm-naive_II_34,-0.041058410692190656
ZNF660@AM_25,-0.041019264103071273
RP4-680D5.2@Tcm-naive_II_34,0.04094066461147465
PADI2@B_56,0.04061801131877894
PARD6G@B_56,0.04046216711102312
GAPDH@Tcm-naive_II_53,0.04039483613480052
AC008074.3@AM_57,-0.04038099706857122
SV2C@AM_10,0.03994286071887697
CCDC74A@AM_57,-0.039808168344083045
BMX@AM_25,-0.03978597220845523
AC097724.3@B_56,0.03957589205830397
SYCE3@AZU1_mac_16,0.03952841638631869
AC006942.4@AM_57,-0.039473123789100735
RP11-362A1.1@AM_57,0.03908777878287244
RP11-468E2.10@AM_10,-0.039033445217687604
AC006942.4@AM_25,-0.03895383171044955
NEURL1@B_56,0.038895668503652885
ROM1@AZU1_mac_16,0.038489647108945625
PLXNA4@Tcm-naive_II_34,-0.0382411661573002
COLGALT2@AM_55,0.03811594292228842
SERPINB10@Tcm-naive_II_34,-0.038001914373075325
RP11-809N8.2@Tcm-naive_II_34,-0.037993610803701554
RP11-508N22.13@Tcm-naive_II_34,-0.037992197934774104
RP11-363G15.2@Tcm-naive_II_34,-0.03798976046516099
SDC3@B_56,0.03798469173359929
YWHAQ@B_56,-0.037980496278751094
LAYN@B_56,0.03769743518632439
C2orf48@AM_10,-0.03761815222196369
ZFAS1@Tcm-naive_II_34,0.03750133206258498
C19orf60@B_56,0.03745383920358309
C5orf49@B_56,0.03741595391927028
RP11-468E2.10@cDC2_14,0.03732833733521392
C5orf49@AM_57,-0.037270786744149596
CALM1@Tcm-naive_II_53,-0.03722188393353302
ZNF311@AM_25,0.037133870676301306
RIBC2@B_56,0.03687631290168226
RP11-1M18.1@B_56,0.03686427659826721
HIST1H2BH@AM_25,0.036459850809248996
FGG@AM_25,-0.03615602407340341
AC004988.1@B_56,0.03597703931174634
FAM83A@cDC2_14,0.035869561026745135
HBA1@AM_10,-0.035770991552439534
