Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.7666666666666667,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.8348214285714286
all_clusters_nonmetabolic,0.8181818181818182,0.8,0.8,0.8000000000000002,0.9166666666666667
all_clusters_random,0.8076923076923077,1,0.5833333333333334,0.7368421052631579,0.9761904761904762
lcam_hi_metabolic,0.76,0.6923076923076924,0.8181818181818182,0.7500000000000001,0.8506493506493507
lcam_hi_nonmetabolic,0.696969696969697,0.7499999999999999,0.5625,0.6428571428571429,0.8308823529411764
lcam_hi_random,0.9,0.8,1,0.888888888888889,0.9166666666666666
lcam_lo_metabolic,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9797979797979798
lcam_lo_nonmetabolic,0.7619047619047619,0.7,0.7777777777777778,0.7368421052631577,0.8518518518518519
lcam_lo_random,0.675,0.65,0.6842105263157895,0.6666666666666667,0.6892230576441103
lcam_both_metabolic,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9107142857142857
lcam_both_nonmetabolic,0.7941176470588235,1,0.5882352941176471,0.7407407407407407,0.9238754325259515
lcam_both_random,0.8571428571428571,0.7272727272727274,1,0.8421052631578948,0.9807692307692307
