Feature,Value
TSPAN2@Tcm-naive_II_34,1.3555587919655765
PEX5@B_56,1.2631082444947708
LMNA@Tcm-naive_II_34,1.1507511001497073
TNFRSF4@Tcm-naive_II_53,0.9064474588878615
LMNA@Tcm-naive_II_53,0.5023878894010475
ZNF232@B_56,0.3583136534518115
SLC39A4@B_56,0.28359821121431034
CLIP2@B_56,0.25933872588763895
MPP5@B_56,0.23921323529411773
SLC1A4@B_56,0.22995331465919705
NEMP1@B_56,0.22807142857142865
FUT7@B_56,0.22049981419546644
TTLL5@AM_57,0.21461951447245575
CDR2@B_56,0.21440476190476196
RP11-573D15.8@B_56,0.21268971448228421
LMNA@cDC2_14,0.16265873015873017
PHC1@B_56,0.15823232323232325
WASL@B_56,0.15301968689840562
NFRKB@B_56,0.1504273504273505
ABCC4@B_56,0.1501307189542484
RAB11A@AM_57,0.14493333333333333
IQGAP2@cDC2_14,0.14273809523809527
TXN@AM_10,0.14197712418300665
RP11-533E19.5@AM_25,0.14092592592592598
BCKDK@B_56,0.13480193236714977
TNFRSF17@B_56,0.13382551602986387
MT1X@Tcm-naive_II_34,0.12381111111111119
TXN@Tcm-naive_II_53,0.11785396825396827
TMEM205@B_56,0.11467492260061923
NSUN3@B_56,0.1057206561554388
FCGR2B@Tcm-naive_II_53,0.10197619047619048
TTC21B@B_56,0.09243867243867246
UTP3@B_56,0.08696428571428573
EPHX2@B_56,0.08555555555555559
GAPDH@cDC1_45,0.08255555555555558
ZNF22@cDC1_45,0.08253588516746416
TBL1XR1@AM_54,0.08027777777777778
DBP@B_56,0.08027777777777778
AKAP13@Tcm-naive_II_34,0.08013526570048313
NRF1@B_56,0.07947712418300654
POP1@AM_25,0.0793650793650794
ABCA7@B_56,0.07936507936507936
PCDH9@B_56,0.07795454545454547
LMNA@cDC1_45,0.0747739820565908
C19orf60@B_56,0.07347222222222224
TNFRSF4@B_56,0.0721934984520124
ATP5H@AM_55,0.07200000000000001
RETSAT@B_56,0.07200000000000001
GLCE@B_56,0.07200000000000001
UBE2K@AM_57,0.07182748538011702
BOD1L1@AM_54,0.07182748538011698
PIK3IP1-AS1@B_56,0.07182748538011698
NSUN3@AM_57,0.07162698412698418
GAPDH@cDC2_14,0.07162698412698415
PHLDA2@Tcm-naive_II_34,0.07162698412698415
CD83@AM_57,0.07111111111111114
DDX3X@cDC2_14,0.07111111111111112
EFCAB13@B_56,0.07111111111111112
C5AR1@AZU1_mac_16,0.07083677330581359
GATAD2A@AM_25,0.07070707070707073
RP5-1091N2.9@B_56,0.07070707070707073
ADPGK-AS1@AM_57,0.07070707070707073
LSM4@Tcm-naive_II_34,0.06923913043478262
B3GAT3@cDC1_45,0.06923913043478262
PGAM1@B_56,0.06923913043478262
RCCD1@B_56,0.06923913043478262
AC093323.3@B_56,0.06864285714285717
TTLL5@B_56,0.06805555555555555
AL928768.3@B_56,0.06722222222222224
SLX4IP@AM_55,0.06677350427350426
RNF34@cDC2_14,0.06672438672438671
ITPKB@B_56,0.066152428171879
MYO5A@cDC1_45,0.06465555555555559
DTD2@AM_55,0.06465555555555551
TXN@Tcm-naive_II_34,0.06428571428571432
ACAT1@Tcm-naive_II_53,0.06428571428571432
TMEM201@AM_57,0.06422222222222228
PHC1@AM_57,0.06422222222222228
UBAC2-AS1@B_56,0.06422222222222224
RP5-1091N2.9@Tcm-naive_II_53,0.06381313131313135
C19orf60@Tcm-naive_II_34,0.06381313131313134
IL10RB@Tcm-naive_II_34,0.06362573099415206
RAB11A@Tcm-naive_II_34,0.06280193236714977
UBC@cDC2_14,0.06250000000000001
CALM3@AM_54,0.061538461538461535
YWHAQ@AM_10,0.061250000000000054
RAB11FIP4@B_56,0.06125000000000002
C6orf47@AM_55,0.05787037037037042
TMEM42@Tcm-naive_II_53,0.05787037037037038
RRP8@B_56,0.05787037037037038
THUMPD3@Tcm-naive_II_34,0.057857142857142885
RPAP1@AM_25,0.05651709401709406
ZSCAN2@B_56,0.05555555555555559
ZNF80@Tcm-naive_II_34,0.05504729962160305
RNF139-AS1@Tcm-naive_II_53,0.05444444444444445
LAMP2@AM_57,0.05333333333333336
TMEM205@Tcm-naive_II_53,0.05307868333039958
B4GALT4@B_56,0.05203846153846153
PATL1@B_56,0.04491851851851868
SERPINB6@B_56,0.0403968253968254
BFSP2-AS1@Tcm-naive_II_53,0.03629473684210526
RAB11A@B_56,0.03304347826086955
AP006621.5@AM_57,0.0330434782608695
ASB8@B_56,0.031578947368421054
PDE4A@Tcm-naive_II_53,0.027655502392344627
RAD9A@B_56,0.027394736842105277
GPX4@B_56,0.026400000000000007
TBKBP1@cDC1_45,0.026250000000000016
H2AFJ@Tcm-naive_II_53,0.026250000000000016
CCDC82@AM_55,0.026250000000000016
NCAPH2@B_56,0.026250000000000016
TNFAIP6@cDC2_14,0.02625
SNX7@AM_54,0.02625
PTCD1@B_56,0.026086956521739157
KLF12@AM_25,0.026086956521739122
TRMT1L@AZU1_mac_16,0.025909090909090916
MEA1@cDC1_45,0.025909090909090916
CARD16@Tcm-naive_II_53,0.025909090909090916
FGF18@cDC1_45,0.0255
HIST1H4B@Tcm-naive_II_53,0.0255
TMED4@B_56,0.0255
CLINT1@AM_57,0.0255
RNF26@Tcm-naive_II_53,0.02526315789473684
ARRDC1@AM_10,0.025
TXNRD2@Tcm-naive_II_53,0.024727272727272737
UBC@AZU1_mac_16,0.024705882352941196
ROM1@AZU1_mac_16,0.024705882352941178
AMT@Tcm-naive_II_53,0.024705882352941178
HLA-DQB1@AM_54,0.018518518518518833
SMC5@AM_25,0.018518518518518795
UBE2Q2@Tcm-naive_II_53,0.018518518518518743
MEA1@B_56,0.01851851851851867
ZMYM6@B_56,0.018461538461538717
DIMT1@B_56,0.018461538461538717
RP11-737O24.5@AM_10,0.0184615384615387
FBXO32@AM_10,0.018461538461538574
ROM1@B_56,0.018461538461538467
ZNF92@B_56,0.018400000000000052
C6orf47@Tcm-naive_II_53,0.018400000000000034
LCMT1@Tcm-naive_II_53,0.018400000000000017
EFCAB13@AM_10,0.0184
GCLM@B_56,0.0184
TCOF1@B_56,0.0184
HSPA5@cDC1_45,0.01833333333333334
NUDC@AM_57,0.018333333333333302
GRIP2@AM_10,0.018260869565217473
RHOG@AM_10,0.018260869565217382
KLRC1@cDC2_14,0.018260869565217382
RP11-902B17.1@AZU1_mac_16,0.018260869565217382
SMARCE1@Tcm-naive_II_53,0.018260869565217382
LCMT1@B_56,0.01818181818181831
GATAD2A@AM_10,0.018181818181818236
ZNF518A@Tcm-naive_II_34,0.018181818181818202
RAB4B@Tcm-naive_II_53,0.018181818181818184
PADI2@cDC2_14,0.018095238095238102
SLC25A37@cDC2_14,0.018095238095238102
RP11-950C14.3@AM_25,0.018095238095238102
MYO5A@AM_25,0.018095238095238102
GON4L@Tcm-naive_II_34,0.018095238095238102
TMED4@cDC1_45,0.018095238095238102
ARMC8@cDC1_45,0.018095238095238102
BCL2L11@Tcm-naive_II_53,0.018095238095238102
RP11-730K11.1@B_56,0.018095238095238102
MLKL@B_56,0.018095238095238102
COQ2@AM_25,0.018000000000000044
IL1RAP@cDC2_14,0.018000000000000026
ZSCAN18@AM_25,0.018000000000000026
VAPB@Tcm-naive_II_34,0.018000000000000026
UTP3@cDC2_14,0.018000000000000006
CPE@cDC1_45,0.018000000000000006
MT1X@cDC1_45,0.017894736842105283
NSUN7@AM_10,0.017894736842105265
TSPAN14@cDC2_14,0.017894736842105265
MAT2A@AZU1_mac_16,0.017894736842105265
TBL1XR1@Tcm-naive_II_34,0.017894736842105265
IGHG2@Tcm-naive_II_34,0.017894736842105265
BCL2L11@Tcm-naive_II_34,0.017894736842105265
RP1-224A6.3@Tcm-naive_II_34,0.017894736842105265
RBBP7@AM_55,0.017894736842105265
GRPEL1@B_56,0.017894736842105265
TRMT1L@B_56,0.017894736842105265
FRMD4A@cDC2_14,0.017777777777777778
GOSR1@AZU1_mac_16,0.017777777777777778
C21orf62-AS1@Tcm-naive_II_34,0.017777777777777778
