Feature,Value
KIAA2026@MoMac-II_42,0.26575644994840053
MLKL@MoMac-II_42,0.2349697755561769
METTL9@MoMac-II_42,0.22047127622979024
TTC19@MoMac-II_42,0.13564212614870513
COX7C@MoMac-II_11,0.13521395109878084
HIRIP3@MoMac-II_42,0.13161111111111115
RHOU@MoMac-II_42,0.1278243464052288
VAPB@MoMac-II_42,0.12637777777777776
GOSR1@MoMac-II_42,0.1206249469484764
PATL1@AM_55,0.11983362440792796
DPM3@MoMac-II_42,0.11904877344877347
TMEM144@MoMac-II_42,0.11783889313301082
HSPB11@MoMac-II_42,0.11401388888888891
C19orf66@MoMac-II_42,0.10806464646464649
GTF3C2@MoMac-II_42,0.10734126984126992
BTAF1@MoMac-II_42,0.10332043343653258
FCGR2B@MoMac-II_11,0.10218227424749168
LINC01184@MoMac-II_42,0.10193126921387798
SERPINB6@AM_55,0.09879365079365085
MEA1@MoMac-II_11,0.09577685421994885
DOCK2@MoMac-II_42,0.09036363636363637
WWOX@AM_57,0.08972563547563532
CARD16@MoMac-IV_47,0.0896269841269842
RNF187@MoMac-II_42,0.08543236714975846
SIGLEC1@MoMac-II_42,0.08305555555555554
HIGD2A@MoMac-II_42,0.080982905982906
RAB11A@AM_57,0.07622222222222225
TSR2@MoMac-II_42,0.07622222222222222
ZNF22@MoMac-II_42,0.07376984126984126
THUMPD3@AM_10,0.07336309523809516
ME2@MoMac-II_42,0.07268978328173376
TRMT1L@MoMac-II_42,0.07200000000000001
CDR2@MoMac-II_42,0.07182748538011698
SLIRP@MoMac-II_11,0.07162698412698415
SBF2@MoMac-II_11,0.07083677330581359
UGGT1@MoMac-II_42,0.07076923076923076
RAE1@MoMac-II_11,0.07021008403361345
LMNA@IM_8,0.06984722222222228
TMEM223@MoMac-II_42,0.0696558393297524
CACUL1@AM_57,0.06935064935064934
FKBP5@MoMac-II_42,0.06915376676986588
KHDRBS1@MoMac-II_42,0.06546650717703346
GTF3C5@MoMac-II_11,0.06465555555555555
PRMT2@MoMac-II_42,0.06449174406604749
IL1RAP@MoMac-II_42,0.06428571428571431
ING3@MoMac-II_42,0.06428571428571431
OGT@MoMac-II_42,0.06425956893348199
ACAT1@MoMac-I_35,0.06419951063429324
YWHAQ@AM_10,0.06411464139725002
MT1X@MoMac-II_42,0.06362573099415206
RBBP7@MoMac-II_42,0.06250000000000004
TCTA@MoMac-II_42,0.06244444444444448
B3GNT2@MoMac-II_42,0.06234722222222224
FCGR2B@MoMac-II_42,0.06183918128654974
CD300LF@MoMac-II_42,0.06146031746031747
HSPH1@MoMac-II_42,0.06125
HIPK2@AM_10,0.06003246753246755
DPM3@AM_57,0.06003246753246755
THRAP3@MoMac-II_42,0.0598308802308804
EAF2@MoMac-II_42,0.05942779346257605
CSNK1G3@MoMac-II_42,0.05937500000000004
DDB2@MoMac-I_35,0.05928426137808276
ILVBL@MoMac-II_11,0.05869841269841269
RCSD1@MoMac-II_42,0.058680555555555555
MAPKAPK2@MoMac-II_42,0.058063916759568936
CBLL1@MoMac-II_42,0.05734126984126986
DIMT1@AM_55,0.05727272727272732
COASY@MoMac-II_42,0.0572727272727273
ELK3@MoMac-II_42,0.0572727272727273
SMC5@MoMac-II_11,0.05688888888888893
RNF34@MoMac-II_42,0.0568888888888889
CD48@MoMac-III_32,0.05668650793650796
DBP@MoMac-II_42,0.05667874396135268
CPPED1@AM_55,0.05667874396135268
ARRDC1@MoMac-II_11,0.05651709401709402
RAF1@MoMac-III_32,0.05651709401709398
CCNG1@MoMac-II_42,0.055921052631578975
GTF3C2@AM_57,0.055921052631578975
C6orf47@MoMac-III_32,0.05555555555555557
SDC3@MoMac-II_42,0.05512500000000001
ABHD17A@MoMac-II_42,0.05512500000000001
COQ2@MoMac-II_42,0.05504729962160305
ATF5@AM_57,0.05504729962160305
GAS7@MoMac-II_42,0.054565217391304356
ZMYM4@MoMac-II_42,0.05444444444444448
LAS1L@MoMac-II_42,0.05444444444444448
TMEM42@AM_55,0.05444444444444448
EHD1@MoMac-II_11,0.05444444444444445
UBE2K@MoMac-II_11,0.05418042655658757
KIAA2026@MoMac-III_33,0.05418042655658757
TCOF1@AM_57,0.053900000000000003
THRA@AM_57,0.05389999999999997
IGFLR1@MoMac-I_35,0.053694083694083704
KIAA1191@MoMac-II_42,0.053694083694083704
TMEM205@MoMac-II_42,0.05338888888888892
