Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.8,0.7222222222222223,0.9285714285714286,0.8125,0.9642857142857143
all_clusters_nonmetabolic,0.9090909090909091,0.8333333333333334,1,0.9090909090909091,0.9875
all_clusters_random,1,1,1,1,1
lcam_hi_metabolic,0.76,0.6923076923076924,0.8181818181818182,0.7500000000000001,0.8961038961038961
lcam_hi_nonmetabolic,0.7272727272727273,0.7692307692307692,0.625,0.689655172413793,0.8419117647058824
lcam_hi_random,0.85,0.7777777777777778,0.875,0.823529411764706,0.90625
lcam_lo_metabolic,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.9292929292929293
lcam_lo_nonmetabolic,1,1,1,1,1
lcam_lo_random,0.8,0.923076923076923,0.631578947368421,0.7499999999999999,0.9598997493734336
lcam_both_metabolic,0.9615384615384616,0.9230769230769231,1,0.9600000000000001,1
lcam_both_nonmetabolic,0.7941176470588235,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9377162629757785
lcam_both_random,0.8571428571428571,0.7777777777777778,0.875,0.823529411764706,0.9519230769230769
