Feature,Value
OTUD1@AM_57,-0.0018015809548534286
TMEM5@AM_57,-0.0017535847982454947
C1orf35@AM_55,-0.0016577035362635318
PDLIM1@AM_54,-0.0016380399441270502
IL7@AM_57,-0.001628865463329484
NFKBIB@AM_57,-0.0015945359585435373
C1orf35@T_activated_44,0.0015871488329438968
HDAC3@AM_55,-0.0015813601897662246
EPS15L1@AM_25,-0.0015682872997497055
HELZ2@T_activated_44,0.001567930558376589
KCNA3@AM_57,-0.001564531667661971
TIFA@AM_54,-0.001562106899980124
EED@AM_55,-0.001555958748811382
FAM122A@AM_57,-0.0015541890318582267
ZDHHC4@AM_57,-0.00155240691883078
PRSS36@AM_55,-0.0015401728952981492
TMEM43@AM_57,-0.0015335019599787805
CPM@Tcm-naive_II_53,0.0015235939813572925
PRCP@AM_55,-0.0015235306185168835
SLC25A33@AM_55,-0.0015185982940671516
ATXN7L3B@T_activated_44,0.0015183701144353993
RP11-88E10.5@AM_57,-0.0015157886651681355
CC2D2A@AM_57,-0.0015148022421839968
CCR7@Tcm-naive_II_34,0.0015127814401649528
ABHD5@AM_55,-0.0015109574878420285
EIF2S2@T_activated_44,0.0015105276688434787
PSMA6@T_activated_44,0.0015076459503548616
OSBPL2@AM_57,-0.001501793915525741
SMAD2@AM_55,-0.0015015603559553024
PDGFC@AM_57,-0.0014942780199851701
RANBP1@IgG_46,0.0014923548490645558
PET100@IgG_46,0.001477705392234473
MRPS34@AM_55,-0.0014716182089889191
CPAMD8@AM_10,-0.0014703622580629111
ZDHHC4@AM_55,-0.0014703496775343534
MCTS1@AM_54,-0.0014701846399104899
XX-C2158C12.2@AM_25,-0.0014697491815772981
IGSF8@AM_57,-0.0014693565032810098
AKAP1@AM_10,-0.0014663784077086422
GRHL1@AM_25,-0.0014659420901792194
RNF181@AM_55,-0.0014647060561215526
HCFC1R1@AM_55,-0.00146093269182325
WDR1@AM_55,-0.0014603449457303824
IGSF8@AM_55,-0.0014592497757780997
SKIV2L2@T_activated_44,0.0014551618446556867
TRRAP@AM_57,-0.001453134076796011
HLA-A@AM_55,-0.0014522288610988464
DNAJC5B@AM_55,-0.001450489893726272
CCDC18@AM_57,-0.001449094507399467
NRP2@AM_57,-0.0014488801240714418
COPB2@AM_54,-0.0014469389399258043
OTUD1@AM_25,-0.0014462301293575674
ARIH2OS@IgG_17,0.0014455411896913972
NKTR@IgG_46,0.001445328261949836
INSIG1@AM_57,-0.0014448879362017148
TIFA@IgG_46,0.0014400257569530852
TBP@AM_57,-0.0014390123281590255
TNFRSF12A@AM_25,-0.001438876739397693
ABHD6@AM_57,-0.0014375618202920025
RP11-1398P2.1@AM_57,-0.001434325410124065
TGFBR2@AM_57,-0.001433945034961352
TMCO6@AM_54,-0.001432703779497144
NDUFAF6@IgG_9,0.0014303651155732815
TMED7@AM_57,-0.0014229052645386264
TNFRSF12A@AM_57,-0.0014215444941389128
SEC16A@T_activated_44,0.0014211499177717616
MBD6@T_activated_44,0.0014201913877445972
WDFY3@AM_55,-0.001419981082260208
TYW3@AM_57,-0.001419005919793109
BAZ1B@IgG_46,0.0014187395998044674
PIM2@IgG_46,0.0014140376381298072
PDLIM1@AM_55,-0.001413346401484976
ARL17A@AM_57,-0.0014128499835021394
ANXA2@Tcm-naive_II_53,-0.0014116756567165046
MTIF3@AM_57,-0.0014111911760637255
