Feature,Value
ACE@MoMac-II_42,-0.0025812753507281558
PITHD1@MoMac-II_42,-0.0024635634843485615
TNIK@MoMac-II_42,-0.0024144587342885093
RBM25@MoMac-II_42,-0.002410808212534102
MRPS6@MoMac-II_42,-0.0024017393365910146
CALM3@MoMac-II_42,-0.002375962527516576
RPP38@MoMac-II_42,-0.00235771093778862
ITGB5@MoMac-II_42,-0.0023423130788789116
C1orf122@MoMac-II_42,-0.0023080458346938486
MMP24-AS1@IgG_17,-0.002298399895640467
ATPAF2@IgG_28,-0.0022631748817504424
RCSD1@IgG_28,-0.0022549781982944225
REEP5@MoMac-II_42,-0.0022523418954021796
PRCP@MoMac-II_42,-0.002234515512156641
ANP32B@MoMac-II_42,-0.0022340062959475574
VPS29@MoMac-II_42,-0.0022286341634495596
MRPS34@MoMac-II_42,-0.002219577020312717
HLA-A@MoMac-II_42,-0.002212145312693652
TMED5@MoMac-II_42,-0.002210725666431272
WDR1@MoMac-II_42,-0.0022068240499195087
MCTS1@MoMac-II_42,-0.0021997855979284573
TGFBR2@MoMac-II_42,-0.002190536287205165
EPS15L1@MoMac-II_42,-0.002187175514370386
POMP@MoMac-II_42,-0.0021864888253118964
PPP4C@MoMac-II_42,-0.0021765184726994635
GTF3C6@MoMac-II_42,-0.0021762653264892724
TMEM69@MoMac-II_42,-0.002171793104916135
ANXA2@MoMac-II_42,-0.00217066721675652
DDX10@MoMac-II_42,-0.0021694726706921455
NACA@MoMac-II_42,-0.0021668318878436056
HLA-B@MoMac-II_42,-0.0021666787940894604
PPP6R3@IgG_9,-0.0021663318849526178
RHOQ@MoMac-II_42,-0.00216417874441775
KRCC1@MoMac-II_42,-0.002163214220343579
UGGT1@IgG_17,-0.002159110240031137
FRMD4B@MoMac-II_42,-0.0021585066565945046
RRAGA@MoMac-II_42,-0.0021582754787360255
CLK3@IgG_28,-0.0021575849835734754
SPCS1@MoMac-II_42,-0.002157270980452394
NABP1@MoMac-II_42,-0.0021535537837500556
CPM@MoMac-II_42,-0.0021527036701490605
HMG20B@MoMac-II_42,-0.002151260258063256
MPC1@MoMac-II_42,-0.0021512429753578074
C1orf35@MoMac-II_42,-0.0021508394965422733
FAM122A@MoMac-II_42,-0.0021499896442023613
TPM3@MoMac-II_42,-0.002147867828143644
PHACTR2@MoMac-II_42,-0.0021450127965858576
RPP38@IgG_9,-0.002138658791264568
MRFAP1@MoMac-II_42,-0.0021382040783061184
MTIF3@MoMac-II_42,-0.0021314840352454263
RPL3@MoMac-II_42,-0.0021278214832655073
GDI2@MoMac-II_42,-0.0021271630963864484
OXNAD1@MoMac-II_42,-0.0021247689602433817
TMEM214@IgG_46,-0.0021240236139050913
ATXN2@MoMac-II_42,-0.002122585246390159
RANBP1@MoMac-II_42,-0.002116761869095223
EIF2S2@MoMac-II_42,-0.0021134437741013967
PPIE@IgG_17,-0.0021118031433301726
FKBP8@MoMac-II_42,-0.0021023735666723118
EML4@MoMac-II_42,-0.0021014757812350443
COL9A2@IgG_28,-0.002100106225903499
RP11-557N21.1@MoMac-II_42,-0.002095228506682297
RPS20@MoMac-II_42,-0.0020922325096236877
HN1L@MoMac-II_42,-0.0020890465430762496
RNF181@MoMac-II_42,-0.0020886608781928314
CYB5B@MoMac-II_42,-0.0020859573529885002
ALCAM@MoMac-II_42,-0.0020840545671696933
PAG1@MoMac-II_42,-0.0020819608029720702
ZDHHC4@IgG_28,-0.002080178188156924
SNAP29@MoMac-II_42,-0.0020732278620882723
KDM5A@MoMac-II_42,-0.00207082233567396
MAP3K4@MoMac-II_11,-0.0020676033240788396
FOS@MoMac-II_42,-0.002065674771103647
TGFBR1@MoMac-II_42,-0.002061685535848853
SPN@MoMac-II_42,-0.002059133314688173
MBIP@MoMac-II_42,-0.0020588277676253674
CCND2@IgG_17,-0.002053514582355531
TYW3@IgG_9,-0.00205314768487331
HERPUD1@MoMac-II_42,-0.0020445160041474685
SCML1@MoMac-II_42,-0.0020397781366253407
SPN@IgG_9,-0.0020388384946253826
PPIE@MoMac-II_42,-0.0020380736373608764
SNAP23@MoMac-II_42,-0.002036638267173076
KLF6@MoMac-II_42,-0.0020366289121969056
APLP2@MoMac-II_42,-0.002031604585858718
PPP6R3@MoMac-II_42,-0.002031065008878498
CHTOP@MoMac-II_42,-0.0020278346870657646
CYB5B@T_activated_44,-0.0020220485229994443
CD40@MoMac-II_42,-0.0020187467693919044
SIAE@MoMac-II_42,-0.002017590896346792
SLIRP@MoMac-II_42,-0.002016443774134662
RRP7A@MoMac-II_42,-0.002013590965852642
ARMC7@IgG_9,-0.0020115283031741354
SUSD3@IgG_28,-0.0020048207117829378
MPV17L2@MoMac-II_42,-0.0020047872567248146
MCM3AP@IgG_28,-0.0020044009092882635
FBXO28@IgG_17,-0.0020038979164460255
DCTN4@MoMac-II_42,-0.0020019619676485243
TSG101@MoMac-II_42,-0.002001508173162613
FCER1G@MoMac-II_42,-0.002000083866825176
ATP11A@MoMac-II_42,-0.001999985398591832
NNT-AS1@MoMac-II_42,-0.0019979491236441836
SNRPD2@MoMac-II_42,-0.0019929550681455238
AC091729.9@MoMac-II_42,-0.0019929347257188613
LACTB@MoMac-II_42,-0.001991993908950579
HDAC3@IgG_9,-0.001987486186439001
MARCO@MoMac-II_42,-0.0019852714851498615
COMMD8@MoMac-II_42,-0.001982664394712703
HMGN1@MoMac-II_42,-0.0019817896080321033
PTRH2@MoMac-II_42,-0.001981252827081845
ABHD5@MoMac-II_42,-0.0019803916420672377
HSF1@MoMac-II_42,-0.001979765540347626
PPP2R1A@MoMac-II_42,-0.0019788247161699967
NCOA4@MoMac-II_42,-0.0019706410488211415
HLA-DRB1@MoMac-II_42,-0.001969950073320639
TAS2R30@MoMac-II_42,-0.001969516096798106
CLK3@MoMac-II_42,-0.001967270986060561
TMEM5@MoMac-II_42,-0.0019659916088874954
KIAA1551@MoMac-II_42,-0.001957875210676119
NRP2@MoMac-II_42,-0.0019552410293929125
PRPSAP2@MoMac-II_42,-0.001953397783402411
RAD50@IgG_9,-0.001953163989062741
TRRAP@MoMac-II_42,-0.001953157408081588
P2RX4@MoMac-II_42,-0.0019514956421801722
DYRK4@MoMac-II_42,-0.0019473110139052543
KPNA3@MoMac-II_42,-0.0019468003469807797
ITGAE@MoMac-II_42,-0.0019466554293805993
ABHD5@IgG_46,-0.001945432773031246
RBM39@MoMac-II_42,-0.0019453241823800909
CCL18@MoMac-II_42,-0.0019432512652043214
TBCA@MoMac-II_42,-0.001942559812941346
ACAD9@IgG_28,-0.0019420018775443955
SMAD2@MoMac-II_42,-0.0019417602132713728
EHD4@MoMac-II_42,-0.0019355698696286736
DDB1@MoMac-II_42,-0.0019321019562896346
MPND@MoMac-II_42,-0.0019297298733198058
SAMD11@IgG_9,-0.0019289088367531867
GLT8D1@MoMac-II_42,-0.0019263959493997687
EPRS@IgG_9,-0.0019247398395450983
TYW3@MoMac-II_42,-0.0019181592916962186
SYNGR2@MoMac-II_42,-0.001914029681443646
ITSN2@MoMac-II_42,-0.0019127455724718503
P2RX4@IgG_9,-0.001906960151374249
FN3K@IgG_28,-0.001905686770267795
UGGT1@MoMac-II_42,-0.0018964499943929277
PSMD12@MoMac-II_42,-0.0018962996428172438
SOGA1@MoMac-II_42,-0.0018876670209869864
MAD2L2@MoMac-II_42,-0.0018875255186735472
MCEMP1@MoMac-II_42,-0.0018866659026909255
RSF1@MoMac-II_42,-0.0018853313538889113
AKAP1@MoMac-II_42,-0.0018849224914942336
SNAI3@IgG_9,-0.001879652081422991
IMPAD1@MoMac-II_42,-0.0018782094934480047
BASP1@MoMac-II_42,-0.0018778023270505453
PPP2R1A@IgG_17,-0.0018777760539052104
LYRM5@MoMac-II_42,-0.0018762043128296437
RSF1@IgG_28,-0.0018746902727683216
RBM3@MoMac-II_42,-0.001872945294290201
MRPL1@MoMac-II_42,-0.001867111213436869
DDX49@IgG_9,-0.0018614941469774658
PCF11-AS1@IgG_17,-0.001859617676547286
H2AFJ@MoMac-II_42,-0.0018588426798228073
FCHSD2@IgG_9,-0.0018568377738041653
THYN1@MoMac-II_42,-0.0018552666221611786
ZFP36@MoMac-II_42,-0.00185445857277044
SMARCAD1@IgG_28,-0.001852602079432142
GTF3C5@T_activated_44,-0.0018480726067464069
RP11-839D17.3@MoMac-II_42,-0.001845256814664419
SLC29A1@IgG_9,-0.001842646153337867
NDUFAF6@IgG_28,-0.0018400468070551722
MED4@MoMac-II_42,-0.0018390546091952287
PDLIM1@IgG_28,-0.0018386477629395227
SCYL3@MoMac-II_42,-0.0018381315408614565
ZSCAN16-AS1@IgG_17,-0.0018346888380355855
SCLT1@MoMac-II_42,-0.001834397116845949
ZNF254@IgG_9,-0.0018329998967689272
RHOBTB3@MoMac-II_42,-0.0018295572870194302
SLC35C1@MoMac-II_42,-0.001829461538480619
SLC39A13@MoMac-II_42,-0.0018274036176347463
RAP2A@IgG_17,-0.0018265092251177908
C10orf128@MoMac-II_42,-0.001823742236558753
BTG1@MoMac-II_42,-0.0018213013295939038
TRRAP@IgG_9,-0.0018138364256020429
NKTR@MoMac-II_42,-0.0018102658950982242
SKP2@IgG_28,-0.0018073919273356388
INSIG1@MoMac-II_42,-0.001806873214292159
IGKV4-1@IgG_28,-0.0018045271392373022
ABI1@MoMac-II_42,-0.0018032487590597707
SERPINB1@MoMac-II_42,-0.0017969046143201312
TMEM140@IgG_9,-0.0017940655813590007
MRPS34@IgG_28,-0.001787587856805095
ATPAF2@MoMac-II_42,-0.0017873329031222907
RP5-1103G7.10@IgG_9,-0.0017859833234973037
BCL2L12@MoMac-II_42,-0.00178586535779081
EP400@MoMac-II_11,-0.0017827403136932798
BRD4@MoMac-II_42,-0.0017816805323909962
RP11-706O15.1@IgG_17,-0.0017815148474763052
DNAJC5@MoMac-II_42,-0.0017806503386236644
THOC1@MoMac-II_42,-0.001779576796124255
EED@MoMac-II_42,-0.0017795005003605564
PRIMPOL@IgG_28,-0.0017792962088235321
CUL3@MoMac-II_42,-0.0017769495539130438
MRPS34@IgG_46,-0.0017760559920029242
RAB3A@IgG_9,-0.001775008174646729
ASB16-AS1@IgG_9,-0.001773044020222354
ATP6AP1L@MoMac-II_42,-0.0017717045987695468
DUSP2@MoMac-II_42,-0.0017696984413245022
FBXO9@MoMac-II_42,-0.0017696492780108993
RHOQ@IgG_9,-0.0017685947585024677
PDGFC@MoMac-II_42,-0.0017569764357525325
IFT57@IgG_46,-0.0017551795676135008
MTRNR2L3@IgG_17,-0.0017537966650720343
CHD1@IgG_9,-0.001749024269387377
RP11-257I14.1@MoMac-II_11,-0.0017486721806441717
DDX10@MoMac-II_11,-0.0017479325029105324
IGSF8@IgG_17,-0.0017479115359672222
CENPK@MoMac-II_42,-0.0017477301051158829
BCLAF1@MoMac-II_42,-0.0017476500864974404
RP5-1021I20.1@IgG_28,-0.0017473567124345279
TMPO@MoMac-II_42,-0.0017472673448381292
ZSCAN16-AS1@MoMac-II_42,-0.001746214701262746
COPB2@MoMac-II_42,-0.0017447365832418016
HIST1H2BF@MoMac-II_42,-0.0017444677015200855
TMEM141@MoMac-II_42,-0.001738958083438931
HERC4@IgG_9,-0.001738748510431959
CHIC2@MoMac-II_42,-0.0017358726671786767
LSR@IgG_9,-0.0017349448532935337
LMNB2@IgG_9,-0.0017337884576498351
HUWE1@MoMac-II_42,-0.0017336892891635402
SNAPC3@IgG_28,-0.0017331015482048434
FAM195B@MoMac-II_42,-0.0017302460902405058
KCNA3@IgG_9,-0.0017300767473403139
MTG2@IgG_28,-0.0017299004304404879
APP@MoMac-II_42,-0.0017295606250255936
CDK4@IgG_9,-0.0017227290352587838
MTHFSD@MoMac-II_42,-0.001719798413080111
CDK4@MoMac-II_42,-0.0017195229772977608
HDAC3@MoMac-II_42,-0.0017185900158371771
TIFA@MoMac-II_42,-0.0017184664499958144
PDIA4@MoMac-II_42,-0.001717929724489107
TTC5@MoMac-II_42,-0.0017162259787322188
BCL2L1@MoMac-II_42,-0.0017135218596571401
SNAP23@IgG_17,-0.0017133963688547103
ANKRD23@IgG_9,-0.001712166450770541
SCYL3@IgG_28,-0.0017087985350862295
KAT6B@IgG_46,-0.0017071393191411108
KAT6B@MoMac-II_42,-0.001704167546981638
SLC50A1@IgG_28,-0.0017031908437925224
GBP5@IgG_28,-0.0017030286111078701
TRRAP@MoMac-II_11,-0.0017030165220734987
MAST1@MoMac-II_42,-0.0017025096699963666
BRD4@IgG_28,-0.0017000713954627722
EPRS@MoMac-II_42,-0.0016967956144705804
MBIP@MoMac-II_11,-0.0016964759608105145
PGBD2@IgG_46,-0.0016943815703642428
ATXN7L3B@IgG_17,-0.001693425642426621
BAZ1B@MoMac-II_42,-0.0016926561779816534
ETFA@MoMac-II_42,-0.0016909633618434014
AC113404.1@MoMac-II_11,-0.0016886967485738218
SLC1A2@MoMac-II_11,-0.0016877752174424832
CYLD@IgG_28,-0.0016876025228013483
SLC39A13@T_activated_44,-0.0016822434956412023
UBE2H@MoMac-II_42,-0.001681546611258059
SEC16A@MoMac-II_42,-0.001680248100203373
RAB33A@T_activated_44,-0.0016767440247180529
LRIG2@MoMac-II_42,-0.0016760589185812985
CGGBP1@MoMac-II_42,-0.0016746763413184869
FAM234A@MoMac-II_42,-0.001672949049931058
PAG1@IgG_9,-0.0016707768319008808
CTD-2509G16.5@IgG_17,-0.00166998809204808
TMED7@MoMac-II_42,-0.0016687743685847595
