Feature,Value
RPL13A@Tcm-naive_I_39,-0.001263900236194398
AC003075.4@AM_10,-0.0012105150307866778
RPL13A@B_56,-0.001167641781395565
RP11-166B2.5@CD4 Trm_59,0.001159792563884448
SLIRP@Tcm-naive_I_39,0.0011450788995414558
RPL13A@Tcm-naive_II_34,-0.0011337954644894922
RPL13A@Tcm-naive_II_53,-0.001128611557267443
RPL7A@Tcm-naive_II_53,-0.0011270055882062668
DPM3@CD8 Trm_48,0.0011244197607757217
RPL7A@Tcm-naive_I_39,-0.0011223941896004886
CEBPZOS@Tcm-naive_I_39,0.0011200492077871672
RP11-138A9.1@Tcm-naive_I_39,0.0011184471510324373
CEBPD@Treg_19,0.0010909248693383672
DPM3@Tcm-naive_I_39,0.0010868947250126883
GNL3L@Tcm-naive_I_39,0.0010611756000458593
RPL7A@T_Nklike_20,-0.0010595868675717709
CD48@CD8 Trm_48,-0.0010540003808824287
PDIA4@Tcm-naive_I_39,0.0010511174433833496
METTL21B@AM_10,-0.0010413629030986565
RPL13A@CD14 mono_2,-0.0010403584925096493
RP11-166B2.5@Tcm-naive_II_53,0.0010396363577281989
SLIRP@Tcm-naive_II_34,0.0010381836740733523
RP11-362A1.1@MoMac-III_33,-0.0010380310036476694
RPL7A@B_56,-0.001035987788555858
CDH20@Tcm-naive_I_39,-0.001029936280502389
RP11-166B2.5@Tcm-naive_I_39,0.001027358287473267
HIPK2@IgG_9,0.0010242116822767153
IGHG2@CD4 Trm_50,0.0010209320587965941
ADPGK@Tcm-naive_II_53,0.0010187973618899391
IGHG2@NK_13,0.0010179805380977323
RPL13A@cDC2_14,-0.001016042143525886
RPS6@mast_7,-0.0010128610540531173
TBL1XR1@Tcm-naive_II_53,0.001009434681278653
RPL13A@mast_7,-0.001007992843103354
IGHG2@pDC_37,0.0010069355433464041
RPL7A@Tcm-naive_II_34,-0.0010059037041847806
FAM160A2@T_Nklike_20,0.001005746846787289
RPL13A@DC3_29,-0.0010010895420170043
DDX1@Tcm-naive_I_39,9.994570658768194e-4
RPS15A@Tcm-naive_II_53,9.976697663084885e-4
CYB5R2@mast_7,-9.957314329755737e-4
RPL7A@cDC2_14,-9.950555024454497e-4
SF3B3@Tcm-naive_I_39,9.949284978394636e-4
HSPA5@Tcm-naive_I_39,9.921609965411599e-4
TNFAIP6@AM_25,-9.919613022784798e-4
CD48@B_56,-9.910722439767958e-4
TNFAIP6@AM_10,-9.895414895158556e-4
GOSR1@Tcm-naive_II_53,9.892420376461175e-4
IGHG2@CD4 Trm_59,9.86263201879865e-4
AGPS@Tcm-naive_I_39,9.820169010068536e-4
SLC25A37@Tcm-naive_I_39,9.804317435348439e-4
AC007036.6@AM_25,-9.794483511611032e-4
RPL13A@CD8 Trm_48,-9.793465893941508e-4
RAE1@Tcm-naive_I_39,9.76393517914205e-4
DPM3@IgG_9,9.759332434430202e-4
HSPA5@Tcm-naive_II_53,9.745014756815082e-4
IGHG2@Tcm-naive_II_34,9.741852981011218e-4
NSA2@AM_10,-9.740599029345388e-4
RPL13A@T_Nklike_20,-9.734836314423614e-4
IGHG2@CD8 Trm_48,9.715968135531605e-4
SLIRP@Tcm-naive_II_53,9.699865481033818e-4
KHDRBS2@IM_8,-9.64367018419853e-4
BLOC1S5@Tcm-naive_II_53,9.641039986946622e-4
IGHG2@Treg_19,9.611812526219069e-4
SP110@Tcm-naive_II_53,9.605094508778814e-4
IGHG2@CD14 mono_2,9.583497174124069e-4
ZNF254@T_Nklike_20,9.573566454769501e-4
HBA1@DC3_29,9.569990593837204e-4
RP11-138A9.1@AM_54,-9.567216617160721e-4
FCRLB@AM_57,-9.561249142122393e-4
SLIRP@CD8 Trm_48,9.559392595993952e-4
ACAT1@Tcm-naive_I_39,9.536807919832229e-4
RPL7A@T_GZMK_1,-9.523830996711576e-4
AKAP7@Tcm-naive_II_53,9.521850879150108e-4
GCLM@Tcm-naive_I_39,9.502453092212645e-4
COX7C@Tcm-naive_I_39,9.482574447010304e-4
PFDN4@Tcm-naive_II_53,9.479550219383872e-4
CHMP4C@AM_57,-9.477098493278499e-4
TCTA@Tcm-naive_II_53,9.4502679801002e-4
SPR@AM_10,-9.424092241885245e-4
