Feature,Value
ZNF232@IgG_28,-0.0016331902465277306
SLC1A4@IgG_28,0.0016072213895937447
ACSL5@T_activated_44,-0.0015662337783274283
ACAT1@T_activated_44,-0.001558262201112245
DENND5A@T_activated_44,-0.0014848895839545703
CDC16@IgG_28,0.001469444251306245
TMEM130@MoMac-II_42,-0.0014578264118229392
CTB-147C13.1@MoMac-II_42,-0.0014578264118229392
SLC52A3@MoMac-II_42,-0.0014578264118229392
FLJ37035@IgG_28,-0.0014542817290325132
SIGLEC1@IgG_17,-0.0014497354036113715
IRF2BP1@T_activated_44,-0.0014348407802381726
NOC3L@IgG_46,-0.001429169523817488
BMX@MoMac-II_11,0.0013971852445952687
DEFB118@MoMac-II_11,0.0013971852445952687
CTD-3064M3.4@MoMac-II_11,0.0013971852445952687
LNP1@MoMac-II_11,0.0013971852445952687
SRPX@MoMac-II_11,0.0013971852445952687
RP11-415C15.3@MoMac-II_11,0.0013971852445952687
GLIPR1L1@IgG_9,-0.0013930391788827897
TRGV3@IgG_9,0.001388511476286556
TMEM144@IgG_9,-0.0013869907146620084
LLNLR-284B4.2@IgG_46,-0.0013861318993620066
MRPL39@T_activated_44,-0.0013815204950201486
ZSWIM1@IgG_28,0.0013789908335412424
GCSAM@IgG_46,-0.0013737004422094954
RP11-339B21.13@IgG_17,0.0013693627743570171
NEURL3@MoMac-II_42,-0.0013691137720201398
CCDC74A@T_activated_44,-0.0013690319008432131
SCHLAP1@T_activated_44,-0.0013671450141517414
HLA-DQB1@T_activated_44,-0.0013600754974350808
TMEM27@IgG_28,0.0013564067336535434
TRIP13@IgG_28,0.0013450619223250408
LOX@MoMac-II_42,0.0013364499170309932
RP11-531A24.5@IgG_9,-0.001334453922112979
RP4-680D5.2@MoMac-II_11,-0.001334453922112979
SFTPD-AS1@MoMac-II_11,-0.001334453922112979
RP11-90L1.8@MoMac-II_11,-0.001334453922112979
FAM227A@MoMac-II_11,-0.001334453922112979
GAL@MoMac-II_11,-0.001334453922112979
SLC24A3@MoMac-II_11,-0.001334453922112979
TEX41@MoMac-II_11,-0.001334453922112979
PIK3IP1-AS1@MoMac-II_11,-0.001334453922112979
RP11-543F8.2@IgG_28,-0.001334453922112979
ENTPD3@IgG_28,-0.001334453922112979
RP11-15F12.1@IgG_28,-0.001334453922112979
DMBX1@MoMac-II_42,-0.001334453922112979
ARG1@MoMac-II_42,-0.001334453922112979
RP1-178F10.1@MoMac-II_42,-0.001334453922112979
RP11-863P13.1@MoMac-II_42,-0.001334453922112979
PPT2-EGFL8@MoMac-II_42,-0.001334453922112979
RP11-572M11.3@MoMac-II_42,-0.001334453922112979
C9orf170@MoMac-II_42,-0.001334453922112979
CNTNAP3@MoMac-II_42,-0.001334453922112979
CTD-3224K15.3@MoMac-II_11,-0.0013344539221129788
RP11-950C14.3@MoMac-II_11,-0.0013344539221129788
XIAP-AS1@MoMac-II_11,-0.0013344539221129788
ARG1@MoMac-II_11,-0.0013344539221129788
RP11-543F8.2@MoMac-II_11,-0.0013344539221129788
RP11-750H9.5@MoMac-II_11,-0.0013344539221129788
RP11-352D13.6@MoMac-II_11,-0.0013344539221129788
RP4-614C15.2@MoMac-II_11,-0.0013344539221129788
CYP51A1-AS1@MoMac-II_11,-0.0013344539221129788
RP11-284F21.10@MoMac-II_11,-0.0013344539221129788
CTD-2006C1.13@MoMac-II_11,-0.0013344539221129788
CTD-2035E11.4@MoMac-II_11,-0.0013344539221129788
RP11-418H16.1@MoMac-II_11,-0.0013344539221129788
RP11-24C3.2@MoMac-II_11,-0.0013344539221129788
RP11-54C4.3@MoMac-II_11,-0.0013344539221129788
CTB-147C13.1@MoMac-II_11,-0.0013344539221129788
ZNF425@MoMac-II_11,-0.0013344539221129788
KHDRBS2@MoMac-II_11,-0.0013344539221129788
RP11-111K18.1@MoMac-II_11,-0.0013344539221129788
MATN4@MoMac-II_11,-0.0013344539221129788
RP11-295M18.6@MoMac-II_11,-0.0013344539221129788
DBNDD1@MoMac-II_11,-0.0013344539221129788
RP11-344P13.4@MoMac-II_11,-0.0013344539221129788
RP11-730K11.1@IgG_17,-0.0013344539221129788
PLG@T_activated_44,-0.0013334363656193032
RP11-443B7.2@MoMac-II_11,0.001333366138678934
AC008074.3@IgG_17,-0.0013302771282344937
AC010149.4@IgG_17,-0.001322916304960291
CASKIN2@MoMac-II_11,0.0013213331254895732
GGT7@IgG_28,0.0013209025967266847
TRIM28@T_activated_44,-0.0013193247515799773
CDC16@T_activated_44,-0.001318206921079235
ZNF660@MoMac-II_42,0.0013087816321389028
RP11-574F21.3@MoMac-II_11,-0.0012992469995783719
TNFSF15@IgG_28,-0.0012990626158777955
C5AR1@T_activated_44,-0.0012931501181889442
ATP6V0A1@IgG_28,0.0012906665114679737
CCDC82@IgG_17,-0.001286108083620487
TSR2@T_activated_44,-0.001278746478067887
COLGALT2@MoMac-II_42,0.0012745563877868248
CEBPD@T_activated_44,-0.0012735425809415962
RBM41@IgG_28,0.001271457156932477
