Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.9333333333333333,1,0.875,0.9333333333333333,0.9821428571428571
all_clusters_nonmetabolic,1,1,1,1,1
all_clusters_random,1,1,1,1,1
lcam_hi_metabolic,0.6,0.5833333333333334,1,0.7368421052631579,0.9415584415584416
lcam_hi_nonmetabolic,0.5454545454545454,0.53125,1,0.6938775510204082,0.8235294117647058
lcam_hi_random,0.8,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9479166666666666
lcam_lo_metabolic,0.8,1,0.6363636363636364,0.7777777777777778,0.9090909090909091
lcam_lo_nonmetabolic,0.9047619047619048,0.9166666666666665,0.9166666666666666,0.9166666666666666,0.9537037037037037
lcam_lo_random,0.8,0.782608695652174,0.8571428571428571,0.8181818181818182,0.8796992481203008
lcam_both_metabolic,0.9230769230769231,0.8750000000000001,1,0.9333333333333335,1
lcam_both_nonmetabolic,0.5,0.5,1,0.6666666666666666,0.9342560553633218
lcam_both_random,1,1,1,1,1
