Feature,Value
GNPDA2@MoMac-II_42,8.309360349250418e-4
GAMT@AM_10,8.304965083461627e-4
EHMT1@MoMac-II_11,8.127832526304478e-4
PEMT@MoMac-II_42,8.102804691580318e-4
PNPLA4@MoMac-II_42,8.089141509060597e-4
NDUFAB1@Tcm-naive_II_53,8.069728747108066e-4
OXCT1@AM_57,8.066558666255949e-4
TYMS@cDC2_14,8.04777596918039e-4
PDE4D@AM_57,8.033499630278993e-4
GMPR@MoMac-II_42,7.995451436311906e-4
GSTA4@AM_10,7.970489093706628e-4
ABO@AM_54,7.8925002275158e-4
NT5DC4@AM_10,7.698158803286625e-4
ST6GALNAC5@T_activated_44,-7.651865005331559e-4
ST3GAL6@AM_54,7.60879130410258e-4
HMBS@MoMac-II_11,7.591585078505763e-4
GBGT1@AM_10,7.576307373392635e-4
LPL@AM_10,7.544990952677288e-4
PNPLA7@MoMac-II_11,7.543787566115884e-4
ADO@Tcm-naive_II_53,-7.526613659702123e-4
CES2@MoMac-II_11,7.428448705226743e-4
CPT2@MoMac-II_11,7.401755667701042e-4
PDE4D@AM_10,7.397246450366577e-4
PLD2@MoMac-II_11,7.367416203175264e-4
ALDH3B1@AM_10,7.352231130004931e-4
IMPA1@MoMac-II_42,7.350120835677503e-4
B3GALNT2@AM_57,7.335154001776265e-4
ACO2@AM_54,7.318968480838478e-4
PIGU@MoMac-II_11,7.304514464999123e-4
GCNT4@Tcm-naive_II_53,-7.29856046607681e-4
PIGM@AM_57,7.292726184327622e-4
DHRS9@MoMac-II_42,7.289777759186705e-4
DHDH@AM_10,7.271488555238864e-4
NOS1@IgG_46,7.255420925504723e-4
COQ5@AM_54,7.241148027698457e-4
PSPH@AM_10,7.239621132113133e-4
ALDH1A1@MoMac-II_42,7.199250196497977e-4
ALDH1L1@AM_57,7.186457441770368e-4
ALAD@AM_54,7.176324770147634e-4
ELOVL6@AM_57,7.164037121072138e-4
FDPS@MoMac-II_42,7.15788601020123e-4
DGKI@AM_10,7.15416640956863e-4
BST1@MoMac-II_11,7.144235906235226e-4
MFNG@AM_54,7.131961818774657e-4
DGKI@cDC2_14,7.119962962357001e-4
ALDH1L1@AM_10,7.1167150452586e-4
UAP1L1@AM_54,7.106625617583665e-4
RDH13@AM_10,7.07279951530632e-4
SPTLC2@AM_10,7.047377524385228e-4
OXSM@AM_10,7.029895645256228e-4
CA2@AM_54,7.013851048545494e-4
CHIT1@MoMac-II_11,7.011936463586655e-4
HMGCS1@AM_54,7.007519086686712e-4
APRT@AM_54,7.005971195707219e-4
COX4I2@AM_10,6.984978924552656e-4
NT5C3A@AM_54,6.975588943136621e-4
NDUFA3@IgG_28,-6.971253532435078e-4
ACSM1@AM_57,6.959742574755822e-4
RGN@AM_10,6.956763753235656e-4
FUCA1@MoMac-II_42,6.94002235057454e-4
NDUFA13@IgG_28,-6.935928330112585e-4
XYLT1@IgG_46,6.918851802407472e-4
PDSS2@B_56,-6.918767076937231e-4
B3GAT3@MoMac-II_11,6.91523248049696e-4
BCKDHB@MoMac-II_11,6.908902948832277e-4
P4HA3@AM_57,6.89214350654828e-4
DHRS4@MoMac-II_11,6.879927958768502e-4
FDFT1@MoMac-II_42,6.854568561705302e-4
PLA1A@AM_10,6.85427052986511e-4
MTMR1@MoMac-II_11,6.853489134782377e-4
PEMT@AM_54,6.850749188484066e-4
ASL@AM_55,-6.849992199113758e-4
CYP17A1@AM_10,6.848560968244996e-4
CMPK2@MoMac-II_42,6.847608535247481e-4
NEU1@AM_10,6.845054182622697e-4
AHCYL2@Tcm-naive_II_53,-6.842877083641447e-4
FTL@cDC2_14,6.841711301470337e-4
CYB5RL@AM_57,6.834330776252078e-4
SMOX@AM_10,6.832374502894562e-4
QPRT@MoMac-II_11,6.82362538213782e-4
MAN1C1@MoMac-II_11,6.818120691506619e-4
GRHPR@MoMac-II_42,6.816571826483988e-4
PCK2@MoMac-II_11,6.8136584415406e-4
DPM1@MoMac-II_42,6.812442694819318e-4
