Feature,Value
PNP@IgG_17,-0.0020108814228724614
SMYD2@IgG_46,-0.0016515667955723113
PLOD1@IgG_9,-0.0016309990224179828
PLPP1@IgG_17,-0.0015742907344900084
NDUFA13@IgG_46,-0.0015528561104967446
ALDH9A1@IgG_17,-0.0015097188084326773
GALE@IgG_9,-0.0014942337030694026
GMPR2@IgG_46,-0.001454259740320754
ACSL1@IgG_17,-0.001438842383639441
CYP2S1@IgG_28,0.0014367083231380485
SHMT2@IgG_46,-0.0014215913968233347
ACYP2@IgG_46,-0.0014110722985097722
ARG2@IgG_28,0.0013992346059592943
MAT2A@MoMac-II_42,-0.0013886935823536099
PIK3CD@IgG_17,-0.0013811432188922481
SDHC@IgG_17,-0.001372291912494864
PSAP@IgG_46,-0.001365047968032468
ECHS1@IgG_9,-0.0013558267921744854
CAT@IgG_9,-0.0013555977271502344
ACLY@IgG_17,-0.001355048070283171
GSTM2@IgG_9,-0.0013525075973420157
PPT2@T_activated_44,0.0013498674789625214
ALAD@MoMac-II_11,-0.0013476455452145612
PANK2@MoMac-II_11,-0.0013424083556343054
NAGK@IgG_46,-0.0013423894116242538
IDH3A@IgG_9,-0.0013408595270063338
DPAGT1@MoMac-II_11,0.001339978124537229
HS2ST1@IgG_46,-0.0013381036761480525
NDUFA4L2@IgG_46,-0.0013329143263140155
SACM1L@IgG_46,-0.001324018000622908
CPT1A@IgG_46,-0.0013236580163651511
NUDT16@IgG_17,-0.0013205655196226666
ELOVL1@IgG_17,-0.0013190315230051854
PPT1@IgG_46,-0.0013185390352248355
AK8@MoMac-II_42,0.0013176251486833196
PKM@IgG_46,-0.0013143063676836271
MTHFR@MoMac-II_42,-0.0013140197000773104
BPNT1@T_activated_44,-0.0013139319442722218
B3GNT6@IgG_17,0.001313128306338829
ACY1@T_activated_44,0.0013009533201346934
MRI1@MoMac-II_42,0.0012973649665981336
COX5A@IgG_46,-0.0012919495362183925
AK3@MoMac-II_42,-0.0012909101722684937
NDUFS6@IgG_46,-0.0012907197691941685
EXTL2@IgG_9,-0.0012902349612404194
NDUFA7@MoMac-II_42,-0.0012853248916889358
TMLHE@MoMac-II_42,-0.0012834325324815644
PLPP2@T_activated_44,-0.0012808280283102876
NDUFA12@IgG_17,-0.0012760581996295412
SPR@IgG_28,0.0012728015127755658
GPD2@IgG_17,-0.001271103984042171
NDUFA3@IgG_46,-0.0012687822829497422
TM7SF2@T_activated_44,-0.0012669891001957894
ELOVL1@IgG_46,-0.0012660915037501408
CYC1@IgG_46,-0.0012657358000856783
B3GALT6@MoMac-II_11,-0.0012618421990916468
COX7C@IgG_46,-0.0012594041091323843
GAPDH@IgG_46,-0.0012510211968441833
MCEE@IgG_46,-0.0012502821391334401
