Feature,Value
B3GALT4@B_56,-0.0022853274655871844
ENO2@B_56,-0.0022353122998873378
IVD@B_56,-0.0022326096206677394
UCK1@cDC2_14,-0.0021559802349473125
ALG2@B_56,-0.0021501098629814535
NME1@B_56,-0.0021457534559699326
UMPS@B_56,-0.002144947571606605
IMPDH1@B_56,-0.0021151162989740853
CHST14@B_56,-0.002082335307828097
PRDX6@Tcm-naive_II_34,-0.0020438379825516934
AKR7A2@Tcm-naive_II_53,-0.0020223534545299455
BPGM@Tcm-naive_II_53,-0.0020153133539734416
MPI@B_56,-0.0019930392894070294
LYPLA2@B_56,-0.001987141695979547
PIP4K2A@B_56,-0.0019828747735289223
COQ5@Tcm-naive_II_34,-0.001976299182141537
NIT2@Tcm-naive_II_34,-0.0019753912628574194
ACAT1@B_56,-0.001973137257558537
DCTPP1@Tcm-naive_II_34,-0.0019663958285074806
UQCRQ@B_56,-0.001966249958190398
PSPH@Tcm-naive_II_53,-0.0019639598287800263
AK3@Tcm-naive_II_34,-0.0019628113255224892
PIGH@B_56,-0.0019564954909072627
SMS@Tcm-naive_II_53,-0.001950215746669335
PYCR2@B_56,-0.001946236342489221
SUCLG1@B_56,-0.001942455070702744
SDHC@B_56,-0.0019409357869742117
GPX1@Tcm-naive_II_53,-0.001927500006005071
PI4K2B@Tcm-naive_II_53,-0.0019270014098693993
OXCT1@Tcm-naive_II_34,-0.0019215556104856667
DHRSX@B_56,-0.0019192368932133348
ACSL5@Tcm-naive_II_34,-0.001918754576308643
B3GAT3@cDC2_14,-0.0019105348599175393
COX11@Tcm-naive_II_34,-0.001910237440907515
CDIPT@B_56,-0.0019070696241657778
ALG3@B_56,-0.0019054805850491784
NDUFA12@B_56,-0.0018976701163030852
PGM2@B_56,-0.0018741744185010632
NT5E@B_56,-0.001873847827570531
HDDC2@cDC2_14,-0.0018589270564022013
NMRK1@B_56,-0.0018475474780316377
AGPAT2@B_56,-0.0018467809000451145
NDUFB5@Tcm-naive_II_53,-0.0018391439896974953
ADA@B_56,-0.0018378341204828006
GSS@Tcm-naive_II_53,-0.0018356520100107625
ALDH9A1@Tcm-naive_II_34,-0.0018309185460136529
NDUFA2@Tcm-naive_II_53,-0.0018305304645845383
AFMID@B_56,-0.001827911214902422
SRM@cDC1_45,-0.0018211457771424898
NDUFS5@B_56,-0.0018044095980266843
LPIN2@Tcm-naive_II_53,-0.001804139949309068
ADA@cDC1_45,-0.0018030644948718749
ATP6V0E1@B_56,-0.0017961316116610105
HSD17B8@Tcm-naive_II_34,-0.0017839683818471474
HSD17B10@Tcm-naive_II_34,-0.0017832675501959258
ACOX1@B_56,-0.00177626853495699
COX7A2L@Tcm-naive_II_34,-0.0017711305934501491
RDH11@cDC1_45,0.001771020927964296
PIK3C2A@B_56,-0.0017678872139782983
MGAT5@B_56,-0.0017658709655635945
CMAS@cDC2_14,-0.0017622653655960654
NDUFB5@Tcm-naive_II_34,-0.0017608125888015933
MTMR4@cDC2_14,-0.0017517626176933722
AGL@B_56,-0.0017507796783331206
GCNT2@B_56,-0.0017487094194556035
PHGDH@Tcm-naive_II_53,-0.0017485796302382332
NDUFAB1@Tcm-naive_II_34,-0.0017468105417944987
CSAD@AZU1_mac_16,-0.00174588690315966
ELOVL1@B_56,-0.001743663112925836
UQCRFS1@Tcm-naive_II_53,-0.0017378888892588137
MPPE1@B_56,0.0017352274941844908
NDUFB9@Tcm-naive_II_34,-0.0017314335403749936
SETDB1@B_56,-0.001729422908561199
PDE4A@cDC2_14,0.0017250248280956588
HCCS@B_56,-0.0017248397368559811
ATP6V0E2@Tcm-naive_II_34,-0.0017220933072526862
NDUFB10@Tcm-naive_II_53,-0.0017215429683054189
PGM1@B_56,-0.0017209812007344294
COX5A@Tcm-naive_II_34,-0.0017165687833084256
SIRT7@B_56,-0.001709145127338742
NUDT2@Tcm-naive_II_53,-0.0017061891250842423
BPGM@B_56,-0.0016985721012227355
SRM@Tcm-naive_II_34,-0.0016963918763888623
IDI1@Tcm-naive_II_53,-0.0016953515508264074
HYI@Tcm-naive_II_34,-0.0016941308903300905
PCYT1A@B_56,-0.0016937471374257797
ACAA1@B_56,-0.00169076372251665
COASY@B_56,-0.001689328742292699
SAT1@B_56,-0.0016817452838120037
MCCC2@B_56,-0.001678947117097429
ENTPD4@B_56,-0.0016745413779238282
ECI2@Tcm-naive_II_34,-0.0016705029498950313
ACOT2@AM_54,0.0016663431715067318
PIGQ@B_56,-0.0016634644976768417
CYB5R3@Tcm-naive_II_34,0.0016596408206442314
