Feature,Value
MCAT@MoMac-IV_5,0.0017747809991637375
AGPAT2@MoMac-IV_47,0.0017449083968933041
PNPLA4@AM_25,0.0017249156855412284
GM2A@MoMac-IV_47,0.0017119151086410211
TCIRG1@MoMac-IV_47,0.00169182864040138
LPIN2@MoMac-IV_47,0.0016778452521555983
PCBD1@MoMac-IV_47,0.0016675389776517012
ALDH2@MoMac-IV_47,0.0016652341084294352
CD38@AM_25,0.0016565798597305307
MDH2@MoMac-IV_47,0.0016527930458907234
ECHS1@MoMac-IV_47,0.0016500554953586954
FBP1@MoMac-IV_47,0.0016467787796317279
COX6A1@MoMac-IV_47,0.0016444819083360372
HPRT1@MoMac-IV_47,0.0016438292822628776
MANBA@MoMac-IV_47,0.0016421718821124289
NDUFS8@MoMac-IV_47,0.0016418757492871192
ACAA1@MoMac-IV_47,0.0016402864467098036
ST3GAL1@MoMac-IV_47,0.001633842753637465
PRDM2@MoMac-IV_47,0.0016291784993100924
ACP2@MoMac-IV_47,0.001629086873875444
COX7B@MoMac-IV_47,0.0016263632381558763
B4GALT4@MoMac-IV_5,0.0016233079679483808
PTGES3@MoMac-IV_47,0.001616188720529906
PGLS@MoMac-IV_47,0.0016149682941613349
OSTC@MoMac-IV_47,0.0016137533095173346
AKR1A1@MoMac-IV_47,0.0016118726060507422
GALE@MoMac-IV_47,0.001610362615709956
NDUFB2@MoMac-IV_47,0.0016089256910807224
CYP27A1@MoMac-IV_47,0.001607881119531535
CYC1@MoMac-IV_47,0.0016047416104138655
AKR1B1@MoMac-IV_47,0.0016039890953601565
BST1@MoMac-IV_47,0.0016026024691859352
HDDC3@AM_25,0.0016010338006128767
ENO1@MoMac-IV_47,0.0016005283143284204
NDUFS5@MoMac-IV_47,0.001600401092522348
ALDOA@MoMac-IV_47,0.0015960407925818272
COX6B1@MoMac-IV_47,0.0015956582347097905
NDUFB11@MoMac-IV_47,0.0015946360667822483
NDUFS7@MoMac-IV_47,0.001591064496221844
SUOX@MoMac-IV_5,0.0015883747342384283
ADI1@MoMac-IV_47,0.0015850341697251171
ALOX5@MoMac-IV_47,0.0015832368909411705
GCH1@AM_25,0.0015828206069345946
HSD17B4@MoMac-IV_47,0.0015809452575857635
COMT@MoMac-IV_47,0.0015799180978326064
DLD@MoMac-IV_47,0.0015778147341852634
LIPT2@AM_54,0.0015768308717520553
SDHD@MoMac-IV_47,0.001576368504747194
TXNRD2@MoMac-IV_5,0.0015733412367158518
SPTLC2@AM_54,0.0015722861623492176
UQCRC2@MoMac-IV_47,0.0015695538017842792
ATP6V1B2@MoMac-IV_47,0.0015694894304440414
NDUFAB1@MoMac-IV_47,0.0015692121019484566
COX4I1@MoMac-IV_47,0.001565154223116577
GPX1@MoMac-IV_47,0.0015645865519957347
FUT4@MoMac-IV_47,0.0015641114996444267
PGK1@MoMac-IV_47,0.0015636295501857288
TKT@MoMac-IV_47,0.0015634505670952552
GPX4@MoMac-IV_47,0.001562998270135011
ETHE1@MoMac-IV_47,0.001562579174749762
PAFAH1B2@MoMac-IV_47,0.0015619339611863078
MTHFR@MoMac-IV_47,0.0015600031603879307
B4GALT7@MoMac-IV_47,0.0015593692902151094
KMT2B@MoMac-IV_5,0.0015592853674434354
PNPLA2@MoMac-IV_47,0.0015580268474806723
COX8A@MoMac-IV_47,0.0015575151286018136
ACYP1@MoMac-IV_5,0.0015523912027229332
EXT1@MoMac-IV_5,0.0015518917816623023
ATP6V1F@MoMac-IV_47,0.0015513612471286082
MTMR14@MoMac-IV_47,0.0015487450200352688
FAHD1@MoMac-IV_47,0.0015482877625020764
FTL@MoMac-IV_47,0.0015475536888145314
TPI1@MoMac-IV_47,0.0015462317247021194
KMO@MoMac-IV_47,0.0015459638753387264
PNPLA4@MoMac-IV_47,0.0015441240043249523
PIGX@MoMac-IV_5,0.0015434600836641695
HNMT@MoMac-IV_47,0.0015421353289015913
SAT2@MoMac-IV_47,0.0015419400523771964
ATP6V1D@MoMac-IV_47,0.0015415902242288556
BLVRA@MoMac-IV_47,0.001541235572481936
TYMP@MoMac-IV_47,0.001541035529183
ATP6V0B@MoMac-IV_47,0.0015406593608721872
PRDX6@MoMac-IV_47,0.001540064078324445
FTH1@MoMac-IV_47,0.0015399655084717694
ICMT@MoMac-IV_5,0.001539921633829983
LPIN1@AM_57,0.0015391757339039628
PPA2@MoMac-IV_47,0.0015339055605477095
IDH3B@MoMac-IV_47,0.0015337098134012143
DCXR@MoMac-IV_47,0.0015335795112000432
CNDP2@MoMac-IV_47,0.0015330144879240205
COX5B@MoMac-IV_47,0.0015306075341521266
NAGA@MoMac-IV_47,0.0015281152453586464
GSTK1@MoMac-IV_47,0.0015260679736831381
PSAP@MoMac-IV_47,0.0015257678918995095
SDHB@MoMac-IV_47,0.0015254670461229255
ACP5@MoMac-IV_47,0.0015252513303500134
UQCR10@MoMac-IV_47,0.001525128477173361
PHOSPHO2@MoMac-IV_47,0.001524917312706084
GAPDH@MoMac-IV_47,0.0015240642301551468
SDHA@MoMac-IV_47,0.0015240293746571093
HEXB@MoMac-IV_47,0.0015224131094598162
HAAO@AM_25,0.0015221644302953966
UQCRHL@AM_54,0.0015213223897900142
ATP6V1H@MoMac-IV_47,0.0015210578676711237
ASAH1@MoMac-IV_47,0.0015208951010514402
ATP6V1G1@MoMac-IV_47,0.0015205772788868994
PDHA1@MoMac-IV_47,0.001519857807526718
APIP@MoMac-IV_47,0.0015189500892806862
KMT2E@MoMac-IV_47,0.0015185217353467333
LTA4H@MoMac-IV_47,0.0015177850165820714
MGST3@MoMac-IV_47,0.001517280581568887
TECR@MoMac-IV_47,0.0015164610436598426
RPN2@MoMac-IV_47,0.0015159292721893729
LIPA@MoMac-IV_47,0.001515399065025839
MOCS2@MoMac-IV_47,0.001514203898414051
CAT@MoMac-IV_47,0.001513413534261748
FUCA1@MoMac-IV_47,0.0015117232593008794
UPP1@MoMac-IV_47,0.0015101990231583904
COQ7@AM_54,0.0015086221807260685
COX7C@MoMac-IV_47,0.001508468547390838
MGLL@MoMac-IV_47,0.0015081521421051601
DGAT1@MoMac-IV_47,0.0015066011090893495
NQO1@MoMac-IV_5,0.0015054633648816128
NT5C@MoMac-IV_47,0.0015048164342631057
SAT1@MoMac-IV_47,0.0015044368486883258
GPX3@AM_25,0.0015040711939096666
INPP4A@AM_54,0.0015040078465119017
GSTP1@MoMac-IV_47,0.0015035689668007847
HIBADH@MoMac-IV_47,0.0015029312840607765
ASRGL1@MoMac-IV_5,0.0014993450360753404
TALDO1@MoMac-IV_47,0.0014992222614463825
NDUFS3@MoMac-IV_47,0.0014981390074848488
UQCRH@MoMac-IV_47,0.0014979785695480663
AMPD3@MoMac-IV_47,0.0014977901238915723
HMOX1@MoMac-IV_47,0.0014951450566134934
GSTO1@MoMac-IV_47,0.0014941142439319325
NDUFB5@MoMac-IV_47,0.0014908406748093432
PIK3C3@MoMac-IV_47,0.0014907463942234107
ACYP1@MoMac-IV_47,0.0014883702333192456
LPCAT2@MoMac-IV_47,0.0014875565272063544
GGPS1@MoMac-IV_47,0.0014852838295859956
DGUOK@MoMac-IV_47,0.00148420228814058
GMPPA@MoMac-IV_47,0.0014826237898483206
MDH1@MoMac-IV_47,0.0014821944443942252
NDUFA12@MoMac-IV_47,0.001481787196094144
MPPE1@MoMac-IV_47,0.001481395174050145
ACAD8@IM_8,0.0014810235680494336
GLUL@MoMac-IV_47,0.001480497412017204
