Feature,Value
MAN2A2@Tcm-naive_II_34,-0.001340819474523865
ASXL2@AM_10,0.0012729654273741023
MED7@IgG_46,0.0011944084875254346
IGFLR1@MoMac-II_11,0.0011705971495300307
INPP5D@AM_54,0.001148318920015641
CCL3@AM_55,0.0011249990530325265
NOC3L@AM_10,0.001122954330246098
PSMD6-AS2@T_activated_44,-0.001121751428430251
GOSR1@AM_10,0.0011052879987349937
SLC27A2@cDC1_45,0.0010965234117570211
CYP20A1@AM_10,0.0010819174966099567
UGP2@AM_10,0.0010814317218975737
ACSL5@AM_57,0.0010774765131173233
AC004988.1@MoMac-II_42,0.0010774605779307234
SIGLEC1@AM_10,0.0010739472843817575
SLC22A18@cDC2_14,0.001072614127709937
HIBCH@AM_57,0.0010687622824989162
VMP1@AM_10,0.001062175553667137
CSNK1G3@AM_10,0.0010616109435696369
RAD9A@AM_25,0.0010533358888115006
MEA1@AM_10,0.001048381470610656
RETSAT@MoMac-II_11,0.0010448410937465777
TRIM28@AM_54,0.0010412953386608902
LCMT1@AM_10,0.0010411227298666639
CEBPD@AM_57,0.0010402770431168819
KAT2B@AM_57,0.0010378144153755826
SLC39A4@AM_57,0.0010367922854210663
RP11-715J22.2@IgG_9,-0.0010360818804344405
CLINT1@AM_10,0.0010313137217387819
NSUN3@AM_55,0.0010294641533031932
HSPA5@AM_10,0.0010273943075667226
C5AR1@AM_10,0.0010224700104596337
ITPKB@AM_10,0.001010357965190559
MAPK14@AM_25,0.001008635945269209
DPYD@IgG_9,-0.001008423881132041
DEAF1@AM_10,0.0010070958001986525
MPP5@AM_55,0.00100278969666397
RRP8@AM_25,9.998533080620797e-4
MIR497HG@Tcm-naive_II_34,-9.984492529652473e-4
SF3B4@AM_55,9.977159324356388e-4
AEBP2@AM_55,9.97434566411259e-4
CDR2@AM_10,9.890290827446538e-4
GANC@AM_57,9.88495007574648e-4
DPM3@AM_10,9.87896157801255e-4
CPPED1@AM_55,9.878410572361793e-4
CALM3@cDC1_45,9.859052270346188e-4
CPE@cDC2_14,9.849266052994355e-4
NADSYN1@AM_55,9.83631377981469e-4
VCPIP1@AM_54,9.825196366214058e-4
DHDH@AM_10,9.80642494365354e-4
ARFGEF1@AM_55,9.805108268071906e-4
IL24@cDC2_14,9.798292900906978e-4
SLX4IP@AM_25,9.796012331327547e-4
WWOX@MoMac-II_11,9.78857758144991e-4
ALS2CR12@Tcm-naive_II_53,9.763211664535944e-4
ENGASE@AM_10,9.759898247416709e-4
ATP6V0A1@AM_55,9.734680392238215e-4
RABGEF1@AM_57,9.702282837109579e-4
AEBP2@AM_10,9.678981099867773e-4
HIPK2@AM_10,9.670529052447547e-4
EP400@AM_10,9.670020372203213e-4
SWAP70@AM_10,9.615955926462048e-4
B3GAT3@MoMac-II_11,9.61483413410766e-4
PATL1@MoMac-II_11,9.609549763670836e-4
TNFRSF4@AM_10,9.606965670592449e-4
TMEM45A@AM_10,9.575576192873208e-4
TMEM144@AM_55,9.55552337494702e-4
CDC16@AM_10,9.555216894087476e-4
A2M@Tcm-naive_II_53,9.552576949068157e-4
FBXO42@AM_55,9.55232497375721e-4
UBE2K@cDC1_45,9.532744720067517e-4
FRMD4A@AM_10,9.530214149504924e-4
BAMBI@IgG_17,-9.528622024850583e-4
VASH1@IgG_46,-9.501314946160223e-4
TMEM154@AM_10,9.489263133348312e-4
CCDC74A@IgG_46,-9.482319872954506e-4
NFRKB@AM_10,9.479442963713479e-4
ZNF254@cDC1_45,9.458731990664906e-4
JOSD1@AM_55,9.456889109525384e-4
SRPK1@AM_10,9.451857423497813e-4
RP11-902B17.1@AM_57,9.450032372410324e-4
METTL9@AM_10,9.449532047262274e-4
TTC19@AM_55,9.44900263722987e-4
VAPB@AM_57,9.434206722420001e-4
TNFRSF4@AM_57,9.412149781759803e-4
AKAP7@cDC2_14,9.394937635536816e-4
C9orf84@B_56,-9.389684623127724e-4
RP11-702H23.6@MoMac-II_42,-9.385731157096802e-4
SERPINB9@AM_10,9.381847425916914e-4
ADPGK@AM_57,9.375075778133047e-4
ATP6V0A1@AM_10,9.367315909342953e-4
ASB8@AM_55,9.365274465090345e-4
GLCE@AZU1_mac_16,0.00093636114882003445
RAB11A@cDC1_45,9.358877578690205e-4
C19orf66@AM_57,9.352209147340358e-4
SLC22A18@AM_54,9.336323675340052e-4
VMP1@AM_57,9.334419014278625e-4
ZNF706@cDC1_45,9.322508164174348e-4
MCM2@IgG_17,9.321808152807673e-4
RAB4B@AM_25,9.312444752805424e-4
RP11-166B2.5@MoMac-II_11,9.303740980588515e-4
DAAM2@IgG_28,9.298251588547696e-4
WSB1@AM_57,9.28367273966361e-4
DEAF1@Tcm-naive_II_53,9.269130881543928e-4
TNFAIP6@AM_10,9.26888727371123e-4
GON4L@MoMac-II_11,9.266871511295789e-4
RP11-46D6.1@MoMac-II_42,-9.266337344627861e-4
AKAP13@AM_10,9.266159234576802e-4
MAT2A@AM_10,9.253541509029798e-4
BABAM1@cDC1_45,9.252553019572515e-4
BHLHB9@T_activated_44,-9.242117115450759e-4
LCMT1@cDC1_45,9.236945615321984e-4
DNAAF2@AM_10,9.231314236743557e-4
INPP5D@AZU1_mac_16,9.228623654004412e-4
NEMP1@IgG_9,-9.225771043770198e-4
B4GALT4@AM_10,9.215835345183368e-4
PRKACB@AM_54,9.213570324053466e-4
POC1B@AM_10,9.212162358086289e-4
USP16@AM_10,9.20966984705641e-4
WWOX@AM_25,9.207278935422845e-4
TCTA@AM_55,9.199701115826765e-4
GTF3C3@AM_54,9.176380144131605e-4
TPSB2@AZU1_mac_16,9.176170135131458e-4
CLIP2@AM_25,9.171688172419321e-4
RPL13A@cDC2_14,9.166516280607142e-4
EEF1E1@AM_10,9.163693667258525e-4
RETSAT@AM_25,9.162261032032433e-4
AC002117.1@AM_10,9.152958263526379e-4
CD83@AM_10,9.144666181968098e-4
RNF187@AM_10,9.132304278878326e-4
ACSL3@cDC1_45,9.122912605798359e-4
CEBPD@AM_25,9.117955663614623e-4
FKBP5@Tcm-naive_II_34,-9.11672580572788e-4
IL6@MoMac-II_11,9.116145499885634e-4
CAPNS1@AM_10,9.114778728140788e-4
ARRDC1@AM_55,9.108413886370745e-4
GYPC@cDC1_45,9.107230560528814e-4
ZSWIM1@AZU1_mac_16,9.106505097827831e-4
C22orf46@AM_10,9.097057454051961e-4
IQGAP2@AM_10,9.082943105867137e-4
CLN6@AM_57,9.081342024452193e-4
METTL21B@AM_54,9.077648286330597e-4
ZC3H14@AM_55,9.07113672137969e-4
PBX1@AM_10,9.070280962714513e-4
RP11-84G21.1@T_activated_44,-9.068908111099996e-4
AURKB@IgG_9,-9.057485272801188e-4
RP1-315G1.3@T_activated_44,-9.057096528794473e-4
DTNB@AM_10,9.044589534438172e-4
AE000662.93@Tcm-naive_II_53,-9.043186893123821e-4
RAB4B@AM_57,9.037511760602336e-4
NUP88@IgG_17,9.019901766361611e-4
BCL2L11@AM_10,9.019357518167403e-4
NAPG@AM_10,9.010651912782828e-4
AC093323.3@AM_25,9.010494976336045e-4
TTC19@AM_10,9.00381383669697e-4
GATA3@cDC2_14,9.000715780552709e-4
HSPB11@AM_10,8.999310321708458e-4
SLC25A37@AM_55,8.988014361273375e-4
SLC39A4@IgG_17,8.987698268772619e-4
TMED4@AM_10,8.983100150759737e-4
CEBPZOS@AM_10,8.982735275417437e-4
AC009228.1@IgG_28,8.969273911103503e-4
SLC1A4@AM_25,8.966746339380362e-4
ME2@AM_55,8.960579238578676e-4
NSUN3@AM_10,8.950446881882906e-4
FBXO32@AM_10,8.941227300188899e-4
SIGLEC1@B_56,8.932406289740753e-4
SULT1A1@AM_54,8.929205951665424e-4
RP3-369A17.4@AM_25,8.928910351983134e-4
ABCA7@AM_55,8.924554554913071e-4
SLC24A4@MoMac-II_11,8.915598178073156e-4
EXOSC9@AM_55,8.915563745397329e-4
ZNF814@AM_10,8.911627387439058e-4
PDIA4@AM_57,8.904255155838705e-4
LOH12CR2@MoMac-II_42,-8.892679318727632e-4
HIF1A@AM_10,8.890591231172909e-4
WASL@AM_55,8.889297961692432e-4
DVL1@AM_25,8.885016274579472e-4
CCDC6@AM_10,8.884224110675759e-4
DBP@AM_57,8.875183300403108e-4
ADPGK@AM_10,8.874234671176544e-4
SLC38A1@AM_10,8.871697622966256e-4
SBF2@AM_10,8.86987883315002e-4
SLC39A8@AM_54,8.863024624308775e-4
RNF187@AM_55,8.843334567006504e-4
RP11-254F7.2@AM_25,8.843004055182238e-4
FAM3B@AM_10,8.841842906260512e-4
CACYBP@AM_57,8.836718366733793e-4
CTD-2035E11.5@AZU1_mac_16,8.834437048591973e-4
MUL1@AM_54,8.833093384022905e-4
SLC6A6@AM_10,8.832982318022061e-4
PGAM1@cDC1_45,8.831664577706876e-4
CEP131@AM_10,8.829665495417911e-4
TMEM208@AM_10,8.815630673597486e-4
DDX3X@AM_10,8.815565153008172e-4
ACAT1@cDC2_14,8.806968377166869e-4
BCL2L11@AM_54,8.80287289334442e-4
NFKBIE@MoMac-II_11,8.799384358166959e-4
AMBRA1@AM_55,8.790165658417824e-4
RNF26@AM_54,8.786873879389487e-4
TMEM154@IgG_28,8.782579112078056e-4
FBXO32@AM_25,8.781438157761856e-4
UTP3@AM_25,8.781336026982633e-4
DDX3X@AM_57,8.77613866930974e-4
KLF12@AM_10,8.776134084766097e-4
HIST4H4@AZU1_mac_16,8.773650954313403e-4
IL10RB@AM_10,8.761298357482148e-4
HSPB11@cDC1_45,8.754760146498053e-4
SERPINB9@AM_25,8.753492533015543e-4
MYB@AM_25,8.745232306909122e-4
SERPINB6@AM_57,8.744035097386295e-4
SLC25A37@AM_54,8.736726120056305e-4
PPIG@AM_57,8.732280446130358e-4
GPX4@cDC1_45,8.731289595004091e-4
LAS1L@MoMac-II_11,8.730709017441688e-4
AQP5@AM_57,8.728364457535803e-4
PDE4A@AZU1_mac_16,8.728027498966643e-4
PFDN4@AM_55,8.727368866382879e-4
UCHL3@AM_25,8.725597341162863e-4
MDFI@cDC2_14,8.717978958717056e-4
TSR2@cDC2_14,8.717214879726552e-4
UBXN11@AM_55,8.71310300812441e-4
DPT@cDC2_14,8.711574232016156e-4
TRMT13@AM_55,8.703397737095132e-4
NEMP1@AM_10,8.701448039896714e-4
SYF2@AM_57,8.701447501985862e-4
CPE@IgG_46,8.699873714176014e-4
DNHD1@AM_10,8.696862595453019e-4
C15orf52@AM_57,8.693275725240895e-4
EIF3G@MoMac-II_11,8.6890722251246e-4
MRPL39@AM_25,8.687575728748215e-4
IGLV10-54@B_56,8.68743910457688e-4
C19orf60@AM_10,8.684276010274941e-4
CALM3@AM_57,8.681373180082747e-4
TPSB2@B_56,8.679870613646935e-4
AKAP7@AM_10,8.679026994275295e-4
