Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.8333333333333334,1,0.6875,0.8148148148148148,0.9642857142857143
all_clusters_nonmetabolic,0.6363636363636364,1,0.3333333333333333,0.5,1
all_clusters_random,0.8461538461538461,1,0.7142857142857143,0.8333333333333333,1
lcam_hi_metabolic,0.68,1,0.42857142857142855,0.6,0.8701298701298701
lcam_hi_nonmetabolic,0.6363636363636364,1,0.29411764705882354,0.45454545454545453,0.8272058823529411
lcam_hi_random,0.45,1,0.08333333333333333,0.15384615384615385,0.9791666666666666
lcam_lo_metabolic,0.85,0.7857142857142857,1,0.88,0.9090909090909091
lcam_lo_nonmetabolic,0.5714285714285714,0.5714285714285714,1,0.7272727272727273,0.9629629629629629
lcam_lo_random,0.625,0.5833333333333334,1,0.7368421052631579,0.9072681704260651
lcam_both_metabolic,0.8461538461538461,1,0.7142857142857143,0.8333333333333333,1
lcam_both_nonmetabolic,0.8529411764705882,1,0.7058823529411765,0.8275862068965517,0.9100346020761245
lcam_both_random,0.7142857142857143,1,0.5384615384615384,0.7000000000000001,1
macrophages_metabolic,0.625,0.5789473684210525,0.9166666666666666,0.7096774193548386,0.8194444444444444
macrophages_nonmetabolic,0.8333333333333334,0.823529411764706,0.875,0.8484848484848485,0.9241071428571429
macrophages_random,0.85,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.949874686716792
