feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
NDUFA12@MoMac-II_42,NDUFA12,MoMac-II,2.3986842335498575,4,0.5068814109719619,0.7030143722409354,0.6028865944909144,0,0.5859018558460457
FNTA@MoMac-II_42,FNTA,MoMac-II,2.0651928868782408,3,0.5306434973483322,0.9905490091391169,0,0,0.5440003803907917
UQCRC2@MoMac-II_42,UQCRC2,MoMac-II,1.9447558637885722,3,0.5021783475371352,0,0.8166796755304399,0,0.6258978407209972
GPI@MoMac-II_42,GPI,MoMac-II,1.8435283224122694,3,0.5093447336279129,0,0.6177200327347746,0,0.7164635560495818
DCXR@MoMac-II_42,DCXR,MoMac-II,1.8306099312808206,3,0.501621318623243,0.759016169326798,0.5699724433307796,0,0
FDPS@MoMac-II_42,FDPS,MoMac-II,1.8184113774926631,3,0.5084176407431794,0,0.6177200327347746,0,0.6922737040147092
NME4@MoMac-II_42,NME4,MoMac-II,1.8084115157519869,3,0.5142370174850235,0,0.6314851035539445,0,0.662689394713019
INPP5D@T_activated_44,INPP5D,T_activated,1.7765334263348047,3,0.5151888753341051,0.6612132198681974,0.6001313311325023,0,0
ALOX5@MoMac-II_42,ALOX5,MoMac-II,1.7750267704264486,3,0.5001558780109131,0,0.6177200327347746,0,0.6571508596807609
COMT@MoMac-II_42,COMT,MoMac-II,1.7733319897671302,3,0.5044513972001463,0,0.5671892813088482,0,0.7016913112581359
DGKZ@T_activated_44,DGKZ,T_activated,1.7379720295874341,3,0.5117686264687347,0.6497785828414341,0.5764248202772654,0,0
BCAT2@MoMac-II_42,BCAT2,MoMac-II,1.7335570141716428,3,0.5255866383102549,0,0.6031902357589843,0,0.6047801401024037
SIRT7@MoMac-II_42,SIRT7,MoMac-II,1.7233505793889017,3,0.5226324400863143,0,0.5679796865290752,0,0.63273845277351215
NADK@MoMac-II_42,NADK,MoMac-II,1.6976983523858347,3,0.5061507282555026,0,0.538908846604603,0,0.6526387775257291
ALG14@MoMac-II_42,ALG14,MoMac-II,1.6841520919036925,3,0.5168160592473365,0,0.5539714321156505,0,0.6133646005407055
