feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
ALG13@MoMac-II_42,ALG13,MoMac-II,1.9205488455188644,3,0.504664819760617,0.5464504163378378,0.8694336094204098,0,0
FNTA@MoMac-II_42,FNTA,MoMac-II,1.8970710001149915,3,0.5077634431089282,0.6554835103450648,0.7338240466609984,0,0
PFKFB3@MoMac-II_42,PFKFB3,MoMac-II,1.8628890465751393,3,0.5031230361101626,0.7175341662034935,0.6422318442614832,0,0
CERS2@AM_55,CERS2,AM,1.8391609774801938,3,0.5055090312841816,0.7238752543852245,0.6097766918107878,0,0
PYGL@MoMac-II_42,PYGL,MoMac-II,1.7808579356955998,3,0.5065113179619508,0.5787952896601003,0.6955513280735486,0,0
MGAT4A@MoMac-II_42,MGAT4A,MoMac-II,1.775598967758555,3,0.5027145432052218,0.6564174003928804,0.6164670241604527,0,0
GMPR2@MoMac-II_42,GMPR2,MoMac-II,1.7130466017642951,3,0.5100780393412192,0.5421020599421191,0.6608665024809568,0,0
PTGS2@MoMac-III_32,PTGS2,MoMac-III,1.6512393405303114,3,0.5022598941637507,0.5855174666246002,0,0,0.5634619797419603
GPX3@MoMac-II_42,GPX3,MoMac-II,1.5951128940432295,2,0,0.908677197133636,0.6864356969095935,0,0
ST3GAL6@MoMac-II_11,ST3GAL6,MoMac-II,1.520398291625231,3,0.5014194909586592,0.505100964480707,0.5138778361858648,0,0
GSTM3@AM_55,GSTM3,AM,1.514621130673149,2,0.514621130673149,0,0,1,0
P4HA1@MoMac-II_42,P4HA1,MoMac-II,1.4559340860524639,2,0,0.5164468142943194,0.9394872717581444,0,0
ACAA1@MoMac-II_42,ACAA1,MoMac-II,1.450723920013215,2,0,0.6759599497079363,0.7747639703052788,0,0
SDHD@MoMac-III_32,SDHD,MoMac-III,1.4454149810969565,2,0,0,0.6164670241604527,0.8289479569365037,0
IDH3B@MoMac-III_32,IDH3B,MoMac-III,1.4403129715898544,2,0,0.7198841423563977,0,0.7204288292334566,0
MTMR8@AM_57,MTMR8,AM,1.3469315032330824,2,0.523394361163285,0,0,0.8235371420697973,0
GLCE@IM_8,GLCE,IM,1.3056029283944777,2,0.5099356096832042,0.7956673187112736,0,0,0
AMACR@MoMac-III_38,AMACR,MoMac-III,1.2792690101780195,2,0.5002892450282657,0,0,0.7789797651497539,0
ENOSF1@AM_55,ENOSF1,AM,1.2642793080195984,2,0.5002753776161345,0,0.764003930403464,0,0
GCNT4@AM_57,GCNT4,AM,1.258850381566313,2,0.5579170032365727,0,0,0.7009333783297405,0
PAFAH1B3@MoMac-III_32,PAFAH1B3,MoMac-III,1.2472021570339973,2,0.5073259087532938,0,0,0.7398762482807035,0
