feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
DCXR@MoMac-II_42,DCXR,MoMac-II,2.570922481558016,4,0.501621318623243,0.759016169326798,0.5699724433307796,0.7403125502771952,0
NME4@MoMac-II_42,NME4,MoMac-II,2.5522001140791764,4,0.5142370174850235,0,0.6314851035539445,0.6631511277507534,0.7433268652894549
FDPS@MoMac-II_42,FDPS,MoMac-II,2.5093316251774547,4,0.5084176407431794,0,0.6177200327347746,0.8295956133519665,0.5535983383475341
GALNT2@MoMac-II_42,GALNT2,MoMac-II,2.4085686418510623,4,0.5135170042047738,0,0.5669203666164101,0.6967742211076277,0.6313570499222508
COMT@MoMac-II_42,COMT,MoMac-II,2.3275321939785654,4,0.5044513972001463,0,0.5671892813088482,0.6482076470971948,0.607683868372376
LDHA@MoMac-II_42,LDHA,MoMac-II,2.308566705975651,4,0.5006875224963061,0.568987138074532,0,0.6701986636382207,0.5686933817665923
PDE1B@IM_8,PDE1B,IM,2.1182942888175464,3,0.5107886582718908,0,0,0.869968976026773,0.7375366545188828
FNTA@MoMac-II_42,FNTA,MoMac-II,2.0855939926267912,3,0.5306434973483322,0.9905490091391169,0,0,0.564401486139342
RPE@MoMac-II_42,RPE,MoMac-II,1.959246389780483,3,0.5105863856806199,0,0.7805640877766247,0.6680959163232385,0
UQCRC2@MoMac-II_42,UQCRC2,MoMac-II,1.944783654553662,3,0.5021783475371352,0,0.8166796755304399,0.6259256314860872,0
GNS@MoMac-II_42,GNS,MoMac-II,1.925445604989163,3,0,0,0.6316762850930996,0.7622466071044014,0.531522712791662
GALNT1@MoMac-II_42,GALNT1,MoMac-II,1.923912566194395,3,0.5090764240664574,0,0,0.8651067244903912,0.5497294176375466
SCD@MoMac-II_42,SCD,MoMac-II,1.9016557184174059,3,0.5004449069832778,0,0,0.694494896102592,0.7067159153315362
FUCA1@MoMac-II_42,FUCA1,MoMac-II,1.8837694446681934,3,0.5067968053658024,0,0,0.821803460274547,0.5551691790278439
BCAT2@MoMac-II_42,BCAT2,MoMac-II,1.8746548287672817,3,0.5255866383102549,0,0.6031902357589843,0,0.7458779546980425
ALOX5@MoMac-II_42,ALOX5,MoMac-II,1.8603018252475838,3,0.5001558780109131,0,0.6177200327347746,0.7424259145018961,0
PIGS@MoMac-II_42,PIGS,MoMac-II,1.8482771959046707,3,0.5116930180288086,0,0.581586721834454,0.7549974560414079,0
HK2@MoMac-II_42,HK2,MoMac-II,1.8482314728327713,3,0.507458377984459,0,0,0.7757853898829317,0.5649877049653806
NUDT9@MoMac-II_42,NUDT9,MoMac-II,1.8469272337192826,3,0.5156378159667525,0,0.7861286569261084,0.5451607608264216,0
B4GALT5@MoMac-II_42,B4GALT5,MoMac-II,1.8352858717260692,3,0.5217333645783401,0,0.7668083843124491,0.54674412283528,0
GPI@MoMac-II_42,GPI,MoMac-II,1.823889466543538,3,0.5093447336279129,0,0.6177200327347746,0.6968247001808504,0
NDUFA12@MoMac-II_42,NDUFA12,MoMac-II,1.8127823777038117,3,0.5068814109719619,0.7030143722409354,0.6028865944909144,0,0
ATP6V1B2@MoMac-II_42,ATP6V1B2,MoMac-II,1.8025183139275682,3,0.5001825954970515,0,0,0.7772739060109679,0.5250618124195489
DPM2@MoMac-II_42,DPM2,MoMac-II,1.7987386675039705,3,0.5146318046868069,0,0,0.7609772495051206,0.5231296133120429
INPP5D@T_activated_44,INPP5D,T_activated,1.7765334263348047,3,0.5151888753341051,0.6612132198681974,0.6001313311325023,0,0
MGAT4A@MoMac-II_42,MGAT4A,MoMac-II,1.772788185220568,3,0.5118561705223268,0,0,0.7594808887336335,0.5014511259646078
