feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
B4GALT3@IgG_46,B4GALT3,IgG,2.192736919651803,3,0.5208787434497039,0.6718581762020994,1,0,0
TKT@T_GZMK_1,TKT,T_GZMK,1.9387809464654246,2,0,0,0,0.9808043153736077,0.957976631091817
AK6@T_activated_44,AK6,T_activated,1.9103559349196833,3,0.5310347976846488,0.6387311531995383,0.7405899840354961,0,0
SARDH@T_activated_44,SARDH,T_activated,1.8953555481644104,3,0.5191154323353052,0.7245654107968814,0.6516747050322238,0,0
PTGES3@DC3_52,PTGES3,DC3,1.8739056602175779,2,0,0,0,0.9678854605332414,0.9060201996843364
ACP1@IgG_9,ACP1,IgG,1.7564775779111608,3,0.5070366243897498,0.6394880691318396,0.6099528843895713,0,0
GUSB@DC3_52,GUSB,DC3,1.7416805165928286,2,0,0,0,0.9945808998917043,0.7470996167011245
ELOVL5@Tcycle_18,ELOVL5,Tcycle,1.728477451260261,2,0,0,0,0.862812514324482,0.865664936935779
ALG3@IgG_9,ALG3,IgG,1.7257976429431907,3,0.5051640006443144,0.6317562281106266,0.5888774141882496,0,0
ACLY@T_activated_44,ACLY,T_activated,1.71013175204494,3,0.5400090820985364,0.6010665582631487,0.5690561116832549,0,0
ACAA1@T_activated_44,ACAA1,T_activated,1.6857864223863428,3,0.5155387661003934,0.5880643200634639,0.5821833362224855,0,0
PLD3@IgG_46,PLD3,IgG,1.6827575380435535,3,0.5031990867987688,0.5929613986773069,0.5865970525674779,0,0
CHST12@T_activated_44,CHST12,T_activated,1.6768992336682673,3,0.5085933954304723,0.5909239734211252,0.5773818648166698,0,0
RPIA@T_activated_44,RPIA,T_activated,1.6734617605329098,3,0.5258571572548872,0.584950910997284,0.5626536922807386,0,0
NUDT16@T_activated_44,NUDT16,T_activated,1.642841455833174,3,0.5144958432477614,0.5327409756403996,0.5956046369450132,0,0
IDH3B@Tcycle_18,IDH3B,Tcycle,1.6317456957236187,2,0,0,0,0.7613575704485727,0.8703881252750459
DUT@T_activated_44,DUT,T_activated,1.6265023486176355,3,0.5005895216693139,0.5698298004953354,0.5560830264529862,0,0
NME1@T_activated_44,NME1,T_activated,1.6050800290926501,3,0.501223038068498,0.5314437877378743,0.5724132032862778,0,0
GLUL@Tcm-naive_I_51,GLUL,Tcm-naive_I,1.5988510677431114,2,0,0,0,0.756467662334916,0.8423834054081953
TKT@Tcycle_18,TKT,Tcycle,1.5922370317947803,2,0,0,0,0.7403387992016481,0.8518982325931321
UQCRC1@DC3_52,UQCRC1,DC3,1.590713934670065,2,0,0,0,0.8398438437179861,0.7508700909520788
ECHS1@DC3_52,ECHS1,DC3,1.5894183586850006,2,0,0,0,0.8848288929829736,0.7045894657020271
NDUFB3@DC3_52,NDUFB3,DC3,1.5788202277215073,2,0,0,0,0.6026983358584462,0.9761218918630612
SC5D@Tcm-naive_I_51,SC5D,Tcm-naive_I,1.5757082749322149,2,0,0,0,0.6669230592837584,0.9087852156484566
ATP6V0E2@Tcm-naive_I_51,ATP6V0E2,Tcm-naive_I,1.565844157692895,2,0,0,0,0.955958999846713,0.6098851578461819
NAMPT@DC3_52,NAMPT,DC3,1.5233058166924713,2,0,0,0,0.7899824974587286,0.7333233192337427
UQCRQ@DC3_52,UQCRQ,DC3,1.4927659518639818,2,0,0,0,0.7640764060317242,0.7286895458322575
NDUFS3@DC3_52,NDUFS3,DC3,1.486137823286938,2,0,0,0,0.8687356847101266,0.6174021385768114
GALM@Tcycle_18,GALM,Tcycle,1.4724227722366066,2,0,0,0,0.6923032249769516,0.780119547259655
NDUFB10@DC3_52,NDUFB10,DC3,1.4599731583357478,2,0,0,0,0.8247061082507587,0.6352670500849891
NDUFA2@DC3_52,NDUFA2,DC3,1.4475001068505033,2,0,0,0,0.7587253007069839,0.6887748061435196
