feature_id,gene,sublineage,meta_score,n_models_occur,elasticnet_score,lasso_score,randomforest_score,svm_linear_score,svm_rbf_score
MAT2B@MoMac-II_42,MAT2B,MoMac-II,2.7487914239329534,4,0.5079292578872595,0.8098534829375625,0.6363916727391238,0.7946170103690078,0
GALM@MoMac-II_11,GALM,MoMac-II,2.647153555340629,4,0.5118083094609182,0.7938957534843156,0.6266144077281781,0.714835084667217,0
DSE@MoMac-II_42,DSE,MoMac-II,2.519880676618619,4,0.5062997514199911,0.6031143782694914,0.856387998631962,0.5540785482971745,0
CYC1@MoMac-II_11,CYC1,MoMac-II,2.4319679440151276,4,0.5049997879096672,0.5299038938498792,0.75746376897833545,0.6396004932772457,0
GALNT2@MoMac-II_42,GALNT2,MoMac-II,2.4025289468359095,4,0.5198106468617428,0.7545739431476112,0.6279754459380191,0.5001689108885365,0
COQ2@MoMac-II_42,COQ2,MoMac-II,2.3781091192952664,4,0.5030223509540973,0.5577285939457008,0.6660918772721991,0.6512662971232693,0
IDH2@MoMac-II_42,IDH2,MoMac-II,2.2177217603414356,3,0,0.7688673086425337,0.8772764277101184,0.5715780239887837,0
PGM3@MoMac-II_42,PGM3,MoMac-II,2.144009193700885,4,0.5016394071174478,0,0.5961965606619075,0.5280386292554339,0.5181345966660961
B3GAT3@MoMac-II_42,B3GAT3,MoMac-II,2.0554079278073867,3,0.5060620153538106,0,0.8951940260209605,0.6541518864326157,0
DPM3@MoMac-II_42,DPM3,MoMac-II,2.0090160544732503,3,0.5089897245601154,0,0.8106723729057719,0.689353957007363,0
HK1@MoMac-II_42,HK1,MoMac-II,1.9960070643117842,3,0.5027726448836293,0.8412003550325602,0,0.6520340643955947,0
B4GALT3@MoMac-II_42,B4GALT3,MoMac-II,1.9491199840062372,3,0.5073383690226485,0.5504713119183013,0.8913103030652874,0,0
TK2@MoMac-II_42,TK2,MoMac-II,1.9490805622967375,3,0.5095463856142756,0,0.6241076426090769,0.8154265340733851,0
CPT2@MoMac-III_32,CPT2,MoMac-III,1.914148182129059,3,0.5213251009487754,0.5579138255166383,0.8349092556636452,0,0
FHIT@MoMac-II_42,FHIT,MoMac-II,1.9044153392953769,3,0.5163832896788648,0,0.7297141634194956,0.6583178861970164,0
NDUFS7@MoMac-II_11,NDUFS7,MoMac-II,1.8913448275465525,3,0,0.5854980681211173,0.7453658736921012,0.5604808857333341,0
CA2@MoMac-II_42,CA2,MoMac-II,1.8845043325645885,3,0.5031236570994014,0.6768152871952229,0.7045653882699642,0,0
PCK2@MoMac-II_42,PCK2,MoMac-II,1.8686169604845277,3,0.5126121116767597,0.6959254200749099,0,0.6600794287328582,0
GMPR2@MoMac-III_32,GMPR2,MoMac-III,1.8637871453545987,3,0.5022748828347577,0.6665247682754282,0.6949874942444128,0,0
IDH2@MoMac-III_32,IDH2,MoMac-III,1.8451852527386332,3,0.5264328038646456,0.7065998536199314,0.6121525952540562,0,0
PYGL@MoMac-II_42,PYGL,MoMac-II,1.8360615197082795,3,0.5070006119923887,0.5885861857703872,0.7404747219455036,0,0
PRPS1@MoMac-II_42,PRPS1,MoMac-II,1.8175785880839712,3,0.5037909808906684,0,0.6353162784589018,0.678471328734401,0
ST3GAL5@MoMac-II_42,ST3GAL5,MoMac-II,1.7613981911173746,3,0.5094897417813092,0.7093802209487968,0,0.5425282283872684,0
NUDT16@MoMac-II_42,NUDT16,MoMac-II,1.738348973721036,3,0.5104300233420468,0.6403208702319002,0.587598080147089,0,0
ETNK1@MoMac-III_32,ETNK1,MoMac-III,1.7070442801977643,3,0.5030061979221733,0.5894263599996381,0.6146117222759528,0,0
ENPP2@MoMac-III_32,ENPP2,MoMac-III,1.6851117331724632,3,0.5042955097764926,0.6009116517439492,0.5799045716520213,0,0
IL4I1@MoMac-II_42,IL4I1,MoMac-II,1.6782547048397436,3,0.5006341634356198,0.6222164586414863,0.5554040827626374,0,0
B4GALT1@MoMac-II_42,B4GALT1,MoMac-II,1.6746093390968406,2,0,0.7041442820963082,0,0.9704650570005323,0
COQ2@MoMac-II_11,COQ2,MoMac-II,1.6580907453726828,3,0.50444800170698,0.6358451454674777,0.5177975981982251,0,0
ENPP2@MoMac-II_42,ENPP2,MoMac-II,1.637291923957569,3,0.503873120633432,0.5484953413238667,0.5849234620002703,0,0
GALNS@MoMac-III_32,GALNS,MoMac-III,1.5879401927028458,3,0.5176686274247794,0.5456601000215828,0.5246114652564837,0,0
PGM2@MoMac-II_42,PGM2,MoMac-II,1.5767785357903485,2,0,1,0,0.5767785357903484,0
CANT1@MoMac-II_42,CANT1,MoMac-II,1.5057088896825501,2,0.5057088896825501,0,1,0,0
PFKFB3@MoMac-II_42,PFKFB3,MoMac-II,1.491436168791497,2,0,0,0.6415522810143786,0.8498838877771184,0
ATP6V0B@MoMac-II_42,ATP6V0B,MoMac-II,1.480846738667428,2,0,0.609540882632952,0.871305856034476,0,0
SDHC@MoMac-II_11,SDHC,MoMac-II,1.4514846594883024,2,0,0,0.616795891055929,0.8346887684323733,0
NSD1@MoMac-II_42,NSD1,MoMac-II,1.3810400576854418,2,0.5051070798815239,0,0.8759329778039178,0,0
KMO@MoMac-II_42,KMO,MoMac-II,1.3796102995716057,2,0,0.7540305368315481,0.6255797627400577,0,0
ALAD@MoMac-II_42,ALAD,MoMac-II,1.373360445686366,2,0.5075755576245436,0,0,0.8657848880618222,0
TPI1@MoMac-II_11,TPI1,MoMac-II,1.3642368654666144,2,0,0.5315537108951914,0,0.8326831545714228,0
PGM1@MoMac-III_32,PGM1,MoMac-III,1.3589321666127554,2,0.5171847921300005,0.8417473744827548,0,0,0
NDUFB10@MoMac-II_42,NDUFB10,MoMac-II,1.3492585395034495,2,0,0,0.6555302083273211,0.6937283311761284,0
KMT2C@MoMac-II_42,KMT2C,MoMac-II,1.3482555309790323,2,0.5048254025699682,0,0,0.843430128409064,0
DHRS3@MoMac-II_11,DHRS3,MoMac-II,1.348002278637616,2,0,0,0.5052000661670091,0.8428022124706069,0
COX15@AM_10,COX15,AM,1.3464663366982847,2,0.5245547900310591,0,0.8219115466672258,0,0
NAT1@AM_54,NAT1,AM,1.3396546522713342,2,0.507095617859079,0.8325590344122553,0,0,0
PIGT@MoMac-II_42,PIGT,MoMac-II,1.3154230755922285,2,0,0,0.6624539392820232,0.6529691363102051,0
ALG5@MoMac-II_42,ALG5,MoMac-II,1.3124792041285511,2,0,0,0.6238047703048943,0.6886744338236568,0
MCAT@AM_57,MCAT,AM,1.303187713872781,2,0.5044113281400477,0,0.7987763857327332,0,0
MTMR4@MoMac-III_32,MTMR4,MoMac-III,1.298014426152056,2,0.5148622431110846,0,0.7831521830409713,0,0
SMS@MoMac-II_11,SMS,MoMac-II,1.2867287958871851,2,0,0,0.5615017776630753,0.72522701822411,0
DGKZ@MoMac-II_42,DGKZ,MoMac-II,1.2862540540542895,2,0.5022735053015872,0.7839805487527023,0,0,0
GGH@AM_57,GGH,AM,1.285955155889476,2,0.5077029340596207,0,0.7782522218298553,0,0
PFKP@MoMac-IV_47,PFKP,MoMac-IV,1.2846232691239388,2,0.500572108574554,0,0,0.7840511605493847,0
INPP5D@MoMac-III_32,INPP5D,MoMac-III,1.2817632601284592,2,0.5030322338861924,0.7787310262422668,0,0,0
NUDT2@MoMac-II_42,NUDT2,MoMac-II,1.2774017557809856,2,0,0,0.5681490251210264,0.7092527306599591,0
NMRK1@MoMac-II_11,NMRK1,MoMac-II,1.2732403973942525,2,0.5105155456237411,0.7627248517705114,0,0,0
CHST13@MoMac-III_32,CHST13,MoMac-III,1.2691186075603813,2,0.5061834937048929,0.7629351138554883,0,0,0
PI4KB@MoMac-II_42,PI4KB,MoMac-II,1.2690377424053962,2,0.5195056682834975,0.7495320741218986,0,0,0
KMT5B@MoMac-III_32,KMT5B,MoMac-III,1.252878530807732,2,0.5226647598170083,0.7302137709907236,0,0,0
COQ6@MoMac-II_42,COQ6,MoMac-II,1.2494485610519512,2,0.5279705561826697,0,0.7214780048692816,0,0
SAT2@MoMac-IV_47,SAT2,MoMac-IV,1.2489311938188863,2,0,0,0,0.5143685655305976,0.7345626282882887
CNDP2@MoMac-II_42,CNDP2,MoMac-II,1.2483316873684764,2,0,0,0.7057244184364653,0.5426072689320112,0
ENTPD1@MoMac-II_42,ENTPD1,MoMac-II,1.2366484387763323,2,0.505144311505298,0.7315041272710342,0,0,0
B4GALT1@MoMac-IV_47,B4GALT1,MoMac-IV,1.2359501580741217,2,0,0,0.5827271876904709,0,0.6532229703836507
UGCG@MoMac-II_42,UGCG,MoMac-II,1.234176894148673,2,0,0,0.5690945527813628,0.6650823413673103,0
ALDOA@MoMac-II_11,ALDOA,MoMac-II,1.2279969332029395,2,0,0.5091064245849733,0,0.718890508617966,0
MTMR6@MoMac-II_42,MTMR6,MoMac-II,1.2240959539117036,2,0.5010777559321552,0,0,0.7230181979795484,0
SRM@MoMac-III_32,SRM,MoMac-III,1.2158587455173668,2,0.5078724621868753,0.7079862833304915,0,0,0
GMPR2@MoMac-II_42,GMPR2,MoMac-II,1.2149449431859485,2,0.5083472172642804,0.706597725921668,0,0,0
PISD@MoMac-III_32,PISD,MoMac-III,1.2116712476856426,2,0.5194888440231409,0.6921824036625018,0,0,0
BST1@MoMac-III_32,BST1,MoMac-III,1.2068554315684215,2,0.5146380727052087,0.6922173588632128,0,0,0
ACOT8@MoMac-II_42,ACOT8,MoMac-II,1.2036305502104514,2,0.5045335861128863,0,0,0.699096964097565,0
PIGF@MoMac-II_42,PIGF,MoMac-II,1.1994389509557202,2,0.5140865900420245,0.6853523609136956,0,0,0
ALOX5@MoMac-II_42,ALOX5,MoMac-II,1.1977439514182597,2,0.5028027343648577,0.694941217053402,0,0,0
PIGH@MoMac-III_32,PIGH,MoMac-III,1.1962852482343302,2,0.5065090022913943,0.689776245942936,0,0,0
NDUFA8@MoMac-III_32,NDUFA8,MoMac-III,1.1945961900565982,2,0.5071234852660159,0.6874727047905822,0,0,0
DTYMK@MoMac-II_42,DTYMK,MoMac-II,1.190864101696155,2,0.5016833311964861,0.689180770499669,0,0,0
SGMS2@MoMac-I_35,SGMS2,MoMac-I,1.1907513577730646,2,0.518580691517389,0,0.6721706662556758,0,0
AMPD2@MoMac-II_11,AMPD2,MoMac-II,1.1896950765595244,2,0.5003619143670802,0,0,0.6893331621924443,0
MBOAT7@MoMac-II_42,MBOAT7,MoMac-II,1.189449762084054,2,0.5041082425336989,0,0,0.6853415195503552,0
NAGA@MoMac-II_42,NAGA,MoMac-II,1.1879026214616482,2,0,0.5843313632625773,0,0.6035712581990709,0
HMGCS1@MoMac-II_42,HMGCS1,MoMac-II,1.1870718772550766,2,0.5243682414458615,0,0.6627036358092151,0,0
CDA@MoMac-II_42,CDA,MoMac-II,1.1840106636524836,2,0.5145738531034023,0,0,0.6694368105490813,0
MVD@MoMac-II_42,MVD,MoMac-II,1.171838134415255,2,0.5103225562355448,0,0.6615155781797103,0,0
HSD11B1@MoMac-IV_47,HSD11B1,MoMac-IV,1.168314374316415,2,0,0,0.5484822398124594,0,0.6198321345039557
IDH1@MoMac-II_11,IDH1,MoMac-II,1.1668956581528973,2,0,0,0.5835126377511266,0.5833830204017708,0
