"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00740","Riboflavin metabolism",1,"ACP2"
"hsa00120","Primary bile acid biosynthesis",1,"CH25H"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,"EXTL3"
"hsa00592","alpha-Linolenic acid metabolism",1,"ACOX1"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"ACOX1"
"hsa00410","beta-Alanine metabolism",1,"ACOX1"
"hsa00640","Propanoate metabolism",1,"ACOX1"
"hsa00500","Starch and sucrose metabolism",1,"GBE1"
"hsa00071","Fatty acid degradation",1,"ACOX1"
"hsa01212","Fatty acid metabolism",1,"ACOX1"
"hsa00562","Inositol phosphate metabolism",1,"SACM1L"
"hsa03320","PPAR signaling pathway",1,"ACOX1"
"hsa04146","Peroxisome",1,"ACOX1"
"hsa04070","Phosphatidylinositol signaling system",1,"SACM1L"
"hsa01200","Carbon metabolism",1,"ACOX1"
"hsa04142","Lysosome",1,"ACP2"
"hsa04936","Alcoholic liver disease",1,"ACOX1"
"hsa04148","Efferocytosis",1,"CH25H"
"hsa04024","cAMP signaling pathway",1,"ACOX1"
