"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa05202","Transcriptional misregulation in cancer",2,"FUT8/DOT1L"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"FUT8"
"hsa00541","Biosynthesis of various nucleotide sugars",1,"CYB5R3"
"hsa00515","Mannose type O-glycan biosynthesis",1,"B3GAT2"
"hsa05340","Primary immunodeficiency",1,"ADA"
"hsa00513","Various types of N-glycan biosynthesis",1,"FUT8"
"hsa00600","Sphingolipid metabolism",1,"SGPL1"
"hsa00510","N-Glycan biosynthesis",1,"FUT8"
"hsa00310","Lysine degradation",1,"DOT1L"
"hsa00010","Glycolysis / Gluconeogenesis",1,"ENO1"
"hsa00562","Inositol phosphate metabolism",1,"INPPL1"
"hsa01230","Biosynthesis of amino acids",1,"ENO1"
"hsa03018","RNA degradation",1,"ENO1"
"hsa01232","Nucleotide metabolism",1,"ADA"
"hsa04662","B cell receptor signaling pathway",1,"INPPL1"
"hsa04070","Phosphatidylinositol signaling system",1,"INPPL1"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"INPPL1"
"hsa04066","HIF-1 signaling pathway",1,"ENO1"
"hsa01200","Carbon metabolism",1,"ENO1"
"hsa04071","Sphingolipid signaling pathway",1,"SGPL1"
"hsa00230","Purine metabolism",1,"ADA"
"hsa04910","Insulin signaling pathway",1,"INPPL1"
"hsa04820","Cytoskeleton in muscle cells",1,"ENO1"
