"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00600","Sphingolipid metabolism",2,"CERS5/GALC"
"hsa00190","Oxidative phosphorylation",2,"NDUFS5/NDUFB1"
"hsa04723","Retrograde endocannabinoid signaling",2,"NDUFS5/NDUFB1"
"hsa04932","Non-alcoholic fatty liver disease",2,"NDUFS5/NDUFB1"
"hsa05415","Diabetic cardiomyopathy",2,"NDUFS5/NDUFB1"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",2,"NDUFS5/NDUFB1"
"hsa04714","Thermogenesis",2,"NDUFS5/NDUFB1"
"hsa05012","Parkinson disease",2,"NDUFS5/NDUFB1"
"hsa05020","Prion disease",2,"NDUFS5/NDUFB1"
"hsa05016","Huntington disease",2,"NDUFS5/NDUFB1"
"hsa05014","Amyotrophic lateral sclerosis",2,"NDUFS5/NDUFB1"
"hsa05010","Alzheimer disease",2,"NDUFS5/NDUFB1"
"hsa05022","Pathways of neurodegeneration - multiple diseases",2,"NDUFS5/NDUFB1"
"hsa00592","alpha-Linolenic acid metabolism",1,"PLA2G12A"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"HSD17B12"
"hsa00062","Fatty acid elongation",1,"HSD17B12"
"hsa00591","Linoleic acid metabolism",1,"PLA2G12A"
"hsa04975","Fat digestion and absorption",1,"PLA2G12A"
"hsa00330","Arginine and proline metabolism",1,"PYCR2"
"hsa00565","Ether lipid metabolism",1,"PLA2G12A"
"hsa01212","Fatty acid metabolism",1,"HSD17B12"
"hsa00140","Steroid hormone biosynthesis",1,"HSD17B12"
"hsa00590","Arachidonic acid metabolism",1,"PLA2G12A"
"hsa00562","Inositol phosphate metabolism",1,"PIK3CG"
"hsa01230","Biosynthesis of amino acids",1,"PYCR2"
"hsa00564","Glycerophospholipid metabolism",1,"PLA2G12A"
"hsa04972","Pancreatic secretion",1,"PLA2G12A"
"hsa05145","Toxoplasmosis",1,"PIK3CG"
"hsa04725","Cholinergic synapse",1,"PIK3CG"
"hsa04071","Sphingolipid signaling pathway",1,"CERS5"
"hsa04611","Platelet activation",1,"PIK3CG"
"hsa04142","Lysosome",1,"GALC"
"hsa04270","Vascular smooth muscle contraction",1,"PLA2G12A"
"hsa04371","Apelin signaling pathway",1,"PIK3CG"
"hsa04072","Phospholipase D signaling pathway",1,"PIK3CG"
"hsa04261","Adrenergic signaling in cardiomyocytes",1,"PIK3CG"
"hsa04921","Oxytocin signaling pathway",1,"PIK3CG"
"hsa04022","cGMP-PKG signaling pathway",1,"PIK3CG"
"hsa04062","Chemokine signaling pathway",1,"PIK3CG"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",1,"PIK3CG"
"hsa04014","Ras signaling pathway",1,"PLA2G12A"
"hsa05132","Salmonella infection",1,"PIK3CG"
"hsa04151","PI3K-Akt signaling pathway",1,"PIK3CG"
