"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00190","Oxidative phosphorylation",1,"NDUFA4"
"hsa04723","Retrograde endocannabinoid signaling",1,"NDUFA4"
"hsa04932","Non-alcoholic fatty liver disease",1,"NDUFA4"
"hsa05415","Diabetic cardiomyopathy",1,"NDUFA4"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"NDUFA4"
"hsa04714","Thermogenesis",1,"NDUFA4"
"hsa05012","Parkinson disease",1,"NDUFA4"
"hsa05020","Prion disease",1,"NDUFA4"
"hsa05016","Huntington disease",1,"NDUFA4"
"hsa05014","Amyotrophic lateral sclerosis",1,"NDUFA4"
"hsa05010","Alzheimer disease",1,"NDUFA4"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"NDUFA4"
