"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00190","Oxidative phosphorylation",23,"UQCRC2/NDUFA12/ATP6V1B2/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/ATP6V1E1/UQCR10/NDUFA13/ATP6V0B/COX7C/PPA2/NDUFB10/NDUFB3/NDUFS7"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",21,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/CBR1/NDUFB10/MGST1/NDUFB3/NDUFS7/PLD1"
"hsa05415","Diabetic cardiomyopathy",20,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/GAPDH/NDUFS7/PDHB"
"hsa05016","Huntington disease",20,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa05014","Amyotrophic lateral sclerosis",20,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa05010","Alzheimer disease",20,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/GAPDH/NDUFS7"
"hsa05022","Pathways of neurodegeneration - multiple diseases",20,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa04932","Non-alcoholic fatty liver disease",19,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa05012","Parkinson disease",19,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa05020","Prion disease",19,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa04714","Thermogenesis",18,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFS7"
"hsa01240","Biosynthesis of cofactors",16,"NME4/BCAT2/RFK/NADK/BCAT1/GMPPA/MAT2B/MTHFD2L/DHRS3/COQ4/COQ7/ALAD/VKORC1/VKORC1L1/NADSYN1/PMM1"
"hsa01200","Carbon metabolism",15,"RPE/HK2/GPI/IDH3B/GCSH/IDH2/RPIA/GAPDH/ACOX1/PGLS/PDHB/PC/HK1/ALDH6A1/IDH3G"
"hsa01230","Biosynthesis of amino acids",11,"RPE/BCAT2/BCAT1/IDH3B/IDH2/MAT2B/RPIA/GLUL/GAPDH/PC/IDH3G"
"hsa01250","Biosynthesis of nucleotide sugars",9,"HK2/GPI/GMPPA/GMDS/NANS/GALE/FPGT/HK1/PMM1"
"hsa04260","Cardiac muscle contraction",9,"UQCRC2/COX7A2/COX6B1/UQCRQ/UQCR11/UQCRH/COX7B/UQCR10/COX7C"
"hsa00564","Glycerophospholipid metabolism",9,"CHKA/LPCAT3/PLA2G15/PEMT/LYPLA2/PLPP5/ADPRM/CHPT1/PLD1"
