"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00600","Sphingolipid metabolism",3,"NEU4/PSAP/SPTLC1"
"hsa00480","Glutathione metabolism",2,"ANPEP/GSTM4"
"hsa00511","Other glycan degradation",1,"NEU4"
"hsa04614","Renin-angiotensin system",1,"ANPEP"
"hsa00052","Galactose metabolism",1,"GALM"
"hsa00051","Fructose and mannose metabolism",1,"FPGT"
"hsa00350","Tyrosine metabolism",1,"GSTZ1"
"hsa01250","Biosynthesis of nucleotide sugars",1,"FPGT"
"hsa00520","Amino sugar and nucleotide sugar metabolism",1,"FPGT"
"hsa00513","Various types of N-glycan biosynthesis",1,"ALG2"
"hsa00510","N-Glycan biosynthesis",1,"ALG2"
"hsa00561","Glycerolipid metabolism",1,"LPIN1"
"hsa00010","Glycolysis / Gluconeogenesis",1,"GALM"
"hsa05204","Chemical carcinogenesis - DNA adducts",1,"GSTM4"
"hsa00982","Drug metabolism - cytochrome P450",1,"GSTM4"
"hsa01524","Platinum drug resistance",1,"GSTM4"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",1,"GSTM4"
"hsa00983","Drug metabolism - other enzymes",1,"GSTM4"
"hsa04640","Hematopoietic cell lineage",1,"ANPEP"
"hsa00564","Glycerophospholipid metabolism",1,"LPIN1"
"hsa04071","Sphingolipid signaling pathway",1,"SPTLC1"
"hsa04142","Lysosome",1,"PSAP"
"hsa05418","Fluid shear stress and atherosclerosis",1,"GSTM4"
"hsa04936","Alcoholic liver disease",1,"LPIN1"
"hsa04150","mTOR signaling pathway",1,"LPIN1"
"hsa05225","Hepatocellular carcinoma",1,"GSTM4"
"hsa05207","Chemical carcinogenesis - receptor activation",1,"GSTM4"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"GSTM4"
