"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00190","Oxidative phosphorylation",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa04932","Non-alcoholic fatty liver disease",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05415","Diabetic cardiomyopathy",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa04714","Thermogenesis",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05012","Parkinson disease",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05020","Prion disease",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05016","Huntington disease",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05014","Amyotrophic lateral sclerosis",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05010","Alzheimer disease",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa05022","Pathways of neurodegeneration - multiple diseases",5,"NDUFS2/NDUFA12/SDHA/COX7A2L/UQCR10"
"hsa00230","Purine metabolism",4,"PDE3B/DCK/PDE4D/NT5C"
"hsa00561","Glycerolipid metabolism",3,"DGKZ/LPIN2/LPIN1"
"hsa00564","Glycerophospholipid metabolism",3,"DGKZ/LPIN2/LPIN1"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",2,"CHST11/CHST12"
"hsa00020","Citrate cycle (TCA cycle)",2,"SDHA/IDH2"
"hsa00240","Pyrimidine metabolism",2,"DCK/NT5C"
"hsa04146","Peroxisome",2,"ACAA1/IDH2"
"hsa01232","Nucleotide metabolism",2,"DCK/NT5C"
"hsa04260","Cardiac muscle contraction",2,"COX7A2L/UQCR10"
"hsa05032","Morphine addiction",2,"PDE3B/PDE4D"
"hsa04070","Phosphatidylinositol signaling system",2,"INPP5D/DGKZ"
"hsa01200","Carbon metabolism",2,"SDHA/IDH2"
"hsa04936","Alcoholic liver disease",2,"LPIN2/LPIN1"
"hsa04723","Retrograde endocannabinoid signaling",2,"NDUFS2/NDUFA12"
"hsa04150","mTOR signaling pathway",2,"LPIN2/LPIN1"
"hsa04024","cAMP signaling pathway",2,"PDE3B/PDE4D"
"hsa00592","alpha-Linolenic acid metabolism",1,"ACAA1"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"ACAA1"
"hsa00790","Folate biosynthesis",1,"QDPR"
"hsa01210","2-Oxocarboxylic acid metabolism",1,"IDH2"
"hsa00512","Mucin type O-glycan biosynthesis",1,"GALNT2"
"hsa00760","Nicotinate and nicotinamide metabolism",1,"NT5C"
"hsa00071","Fatty acid degradation",1,"ACAA1"
"hsa00513","Various types of N-glycan biosynthesis",1,"STT3B"
"hsa00514","Other types of O-glycan biosynthesis",1,"GALNT2"
"hsa00280","Valine, leucine and isoleucine degradation",1,"ACAA1"
"hsa00510","N-Glycan biosynthesis",1,"STT3B"
"hsa01212","Fatty acid metabolism",1,"ACAA1"
"hsa00480","Glutathione metabolism",1,"IDH2"
"hsa04923","Regulation of lipolysis in adipocytes",1,"PDE3B"
"hsa04664","Fc epsilon RI signaling pathway",1,"INPP5D"
"hsa04924","Renin secretion",1,"PDE3B"
"hsa05230","Central carbon metabolism in cancer",1,"IDH2"
"hsa00562","Inositol phosphate metabolism",1,"INPP5D"
"hsa01230","Biosynthesis of amino acids",1,"IDH2"
"hsa03320","PPAR signaling pathway",1,"ACAA1"
"hsa04662","B cell receptor signaling pathway",1,"INPP5D"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"INPP5D"
"hsa05231","Choline metabolism in cancer",1,"DGKZ"
"hsa04922","Glucagon signaling pathway",1,"PDE3B"
"hsa04914","Progesterone-mediated oocyte maturation",1,"PDE3B"
"hsa04928","Parathyroid hormone synthesis, secretion and action",1,"PDE4D"
"hsa04910","Insulin signaling pathway",1,"PDE3B"
"hsa04371","Apelin signaling pathway",1,"PDE3B"
"hsa04072","Phospholipase D signaling pathway",1,"DGKZ"
"hsa04022","cGMP-PKG signaling pathway",1,"PDE3B"
"hsa04141","Protein processing in endoplasmic reticulum",1,"STT3B"
