"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00910","Nitrogen metabolism",1,"GLUD1"
"hsa00220","Arginine biosynthesis",1,"GLUD1"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"GLUD1"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"ACOT7"
"hsa00062","Fatty acid elongation",1,"ACOT7"
"hsa00250","Alanine, aspartate and glutamate metabolism",1,"GLUD1"
"hsa00590","Arachidonic acid metabolism",1,"EPHX2"
"hsa04146","Peroxisome",1,"EPHX2"
"hsa01200","Carbon metabolism",1,"GLUD1"
"hsa04217","Necroptosis",1,"GLUD1"
"hsa05207","Chemical carcinogenesis - receptor activation",1,"EPHX2"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"EPHX2"
