"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00515","Mannose type O-glycan biosynthesis",2,"B3GALNT2/POMGNT1"
"hsa00750","Vitamin B6 metabolism",1,"PNPO"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,"ST8SIA1"
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"ST8SIA1"
"hsa00910","Nitrogen metabolism",1,"GLUD1"
"hsa00220","Arginine biosynthesis",1,"GLUD1"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"GLUD1"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"ST8SIA1"
"hsa00512","Mucin type O-glycan biosynthesis",1,"GALNT2"
"hsa00250","Alanine, aspartate and glutamate metabolism",1,"GLUD1"
"hsa00514","Other types of O-glycan biosynthesis",1,"GALNT2"
"hsa00510","N-Glycan biosynthesis",1,"MGAT5"
"hsa00562","Inositol phosphate metabolism",1,"INPPL1"
"hsa00983","Drug metabolism - other enzymes",1,"GMPS"
"hsa01232","Nucleotide metabolism",1,"GMPS"
"hsa04662","B cell receptor signaling pathway",1,"INPPL1"
"hsa04070","Phosphatidylinositol signaling system",1,"INPPL1"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"INPPL1"
"hsa01200","Carbon metabolism",1,"GLUD1"
"hsa00230","Purine metabolism",1,"GMPS"
"hsa04910","Insulin signaling pathway",1,"INPPL1"
"hsa01240","Biosynthesis of cofactors",1,"PNPO"
"hsa04217","Necroptosis",1,"GLUD1"
