"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",28,6,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/CBR1/NDUFB10/MGST1/GSTM4/NDUFB3/NDUFA4/NDUFS7/EPHX2/SDHA/COX7A2L/NDUFB1/PLD1","IgG/IgM/MoMac-II/MoMac-IV/T_activated/Tcm-naive_II"
"hsa00190","Oxidative phosphorylation",28,4,"UQCRC2/NDUFA12/ATP6V1B2/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/ATP6V1E1/UQCR10/NDUFA13/ATP6V0B/COX7C/PPA2/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05415","Diabetic cardiomyopathy",25,4,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/GAPDH/NDUFS7/PDHB/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05016","Huntington disease",25,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05014","Amyotrophic lateral sclerosis",25,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05010","Alzheimer disease",25,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/GAPDH/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05022","Pathways of neurodegeneration - multiple diseases",25,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/GPX1/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa04932","Non-alcoholic fatty liver disease",24,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05012","Parkinson disease",24,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa05020","Prion disease",24,4,"UQCRC2/NDUFA12/COX7A2/CYCS/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa04714","Thermogenesis",23,4,"UQCRC2/NDUFA12/COX7A2/NDUFA1/COX6B1/NDUFA3/UQCRQ/UQCR11/NDUFB7/NDUFS5/UQCRH/NDUFS2/COX7B/UQCR10/NDUFA13/COX7C/NDUFB10/NDUFB3/NDUFA4/NDUFS7/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
