"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa00230","Purine metabolism",9,3,"NUDT9/NME4/NUDT2/DCK/PDE4D/NT5C/ADPRM/NUDT16/GMPS","MoMac-II/T_activated/Treg"
"hsa00190","Oxidative phosphorylation",8,4,"NDUFA12/UQCR10/NDUFS2/NDUFA4/NDUFS5/SDHA/COX7A2L/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa00564","Glycerophospholipid metabolism",7,2,"DGKZ/LPIN2/LPIN1/PLPP5/ADPRM/CHPT1/CHKA","MoMac-II/T_activated"
"hsa01040","Biosynthesis of unsaturated fatty acids",6,4,"ACAA1/ACOX1/HSD17B12/ELOVL5/FADS1/ACOT7","CD4 Trm/IgG/MoMac-II/T_activated"
"hsa00270","Cysteine and methionine metabolism",6,2,"TST/BCAT2/DNMT3A/IL4I1/SRM/CTH","B/MoMac-II"
"hsa00510","N-Glycan biosynthesis",5,5,"STT3B/FUT8/ALG14/MGAT5/ALG2","DC3/MoMac-II/MoMac-IV/T_activated/Treg"
"hsa00010","Glycolysis / Gluconeogenesis",5,3,"GPI/PCK2/ENO1/HK1/GALM","DC3/MoMac-II/T_activated"
"hsa00240","Pyrimidine metabolism",5,2,"NME4/NUDT2/DCK/NT5C3B/NT5C","MoMac-II/T_activated"
"hsa00562","Inositol phosphate metabolism",4,6,"INPP5D/PI4KA/INPPL1/PIK3CG","CD8 Trm/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa00513","Various types of N-glycan biosynthesis",4,4,"STT3B/FUT8/ALG14/ALG2","DC3/MoMac-II/MoMac-IV/T_activated"
"hsa00020","Citrate cycle (TCA cycle)",4,2,"PCK2/SDHA/PC/IDH2","MoMac-II/T_activated"
"hsa00051","Fructose and mannose metabolism",4,2,"GMDS/SORD/HK1/PMM1","MoMac-II/MoMac-III"
"hsa00760","Nicotinate and nicotinamide metabolism",4,2,"SIRT7/NT5C/NADSYN1/NADK","MoMac-II/T_activated"
"hsa00561","Glycerolipid metabolism",4,2,"DGKZ/LPIN2/LPIN1/PLPP5","MoMac-II/T_activated"
"hsa00062","Fatty acid elongation",3,3,"HSD17B12/ELOVL5/ACOT7","CD4 Trm/IgG/MoMac-II"
"hsa00600","Sphingolipid metabolism",3,3,"GM2A/B4GALT5/SGPL1","B/DC3/MoMac-II"
"hsa00040","Pentose and glucuronate interconversions",3,2,"DCXR/RPE/SORD","MoMac-II/MoMac-III"
"hsa00280","Valine, leucine and isoleucine degradation",3,2,"ACAA1/BCAT2/IL4I1","MoMac-II/T_activated"
"hsa00520","Amino sugar and nucleotide sugar metabolism",3,1,"GPI/HK1/PMM1","MoMac-II"
"hsa00500","Starch and sucrose metabolism",3,1,"PYGL/GPI/HK1","MoMac-II"
"hsa00512","Mucin type O-glycan biosynthesis",2,3,"GALNT2/B4GALT5","MoMac-II/T_activated/Treg"
"hsa00250","Alanine, aspartate and glutamate metabolism",2,3,"GLUD1/IL4I1","MoMac-II/Tcm-naive_II/Treg"
"hsa00740","Riboflavin metabolism",2,2,"RFK/ACP2","CD16 mono/MoMac-II"
"hsa00920","Sulfur metabolism",2,2,"TST/BPNT1","MoMac-II/MoMac-IV"
"hsa00541","Biosynthesis of various nucleotide sugars",2,2,"GMDS/CYB5R3","DC3/MoMac-II"
"hsa00592","alpha-Linolenic acid metabolism",2,2,"ACAA1/ACOX1","MoMac-II/T_activated"
"hsa00052","Galactose metabolism",2,2,"HK1/GALM","MoMac-II/T_activated"
"hsa00071","Fatty acid degradation",2,2,"ACAA1/ACOX1","MoMac-II/T_activated"
"hsa00480","Glutathione metabolism",2,2,"SRM/IDH2","MoMac-II/T_activated"
"hsa00140","Steroid hormone biosynthesis",2,2,"HSD17B12/COMT","IgG/MoMac-II"
"hsa00310","Lysine degradation",2,2,"TMLHE/DOT1L","DC3/NK"
"hsa00983","Drug metabolism - other enzymes",2,2,"NME4/GMPS","MoMac-II/Treg"
"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",2,1,"VKORC1/VKORC1L1","MoMac-II"
"hsa00515","Mannose type O-glycan biosynthesis",2,1,"B3GALNT2/POMGNT1","Treg"
"hsa00900","Terpenoid backbone biosynthesis",2,1,"FNTA/FDPS","MoMac-II"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",2,1,"PIGS/PIGA","MoMac-II"
"hsa00030","Pentose phosphate pathway",2,1,"RPE/GPI","MoMac-II"
"hsa00350","Tyrosine metabolism",2,1,"IL4I1/COMT","MoMac-II"
"hsa00620","Pyruvate metabolism",2,1,"PCK2/PC","MoMac-II"
"hsa00330","Arginine and proline metabolism",2,1,"SRM/SAT2","MoMac-II"
"hsa00514","Other types of O-glycan biosynthesis",1,3,"GALNT2","MoMac-II/T_activated/Treg"
"hsa00910","Nitrogen metabolism",1,2,"GLUD1","Tcm-naive_II/Treg"
