"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa00600","Sphingolipid metabolism",4,2,"CERS2/HEXA/PLPP1/NEU1","AM/MoMac-II"
"hsa00230","Purine metabolism",4,2,"GMPR2/ENPP4/PDE6D/DCK","IM/MoMac-II"
"hsa00250","Alanine, aspartate and glutamate metabolism",3,4,"IL4I1/ALDH5A1/GLUD1","AM/IM/MoMac-I/MoMac-II"
"hsa00531","Glycosaminoglycan degradation",3,3,"HEXA/IDUA/SGSH","AM/MoMac-II/MoMac-III"
"hsa00900","Terpenoid backbone biosynthesis",3,2,"FNTA/RCE1/HMGCR","MoMac-II/MoMac-IV"
"hsa00280","Valine, leucine and isoleucine degradation",3,2,"ACAA1/HADHA/IL4I1","MoMac-I/MoMac-II"
"hsa00510","N-Glycan biosynthesis",3,2,"ALG13/MGAT4A/DPM1","IM/MoMac-II"
"hsa00513","Various types of N-glycan biosynthesis",3,1,"ALG13/MGAT4A/HEXA","MoMac-II"
"hsa00220","Arginine biosynthesis",2,2,"ARG2/GLUD1","AM/IM"
"hsa00650","Butanoate metabolism",2,2,"HADHA/ALDH5A1","AM/MoMac-II"
"hsa00350","Tyrosine metabolism",2,2,"IL4I1/COMT","MoMac-I/MoMac-II"
"hsa00500","Starch and sucrose metabolism",2,2,"PYGL/GBE1","AM/MoMac-II"
"hsa00380","Tryptophan metabolism",2,2,"HADHA/IL4I1","MoMac-I/MoMac-II"
"hsa00860","Porphyrin metabolism",2,2,"HMOX1/FECH","AM/MoMac-II"
"hsa00330","Arginine and proline metabolism",2,2,"P4HA1/ARG2","AM/MoMac-II"
"hsa00480","Glutathione metabolism",2,2,"GPX3/GSTM3","AM/MoMac-II"
"hsa00310","Lysine degradation",2,2,"HADHA/TMLHE","MoMac-II/MoMac-IV"
"hsa00562","Inositol phosphate metabolism",2,2,"MTMR8/INPP5E","AM/MoMac-II"
"hsa00983","Drug metabolism - other enzymes",2,2,"GSTM3/CES1","AM/MoMac-IV"
"hsa00190","Oxidative phosphorylation",2,2,"SDHD/COX5A","IM/MoMac-III"
"hsa00511","Other glycan degradation",2,1,"HEXA/NEU1","MoMac-II"
"hsa00020","Citrate cycle (TCA cycle)",2,1,"IDH3B/SDHD","MoMac-III"
"hsa00071","Fatty acid degradation",2,1,"ACAA1/HADHA","MoMac-II"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,2,"IL4I1","MoMac-I/MoMac-II"
"hsa00360","Phenylalanine metabolism",1,2,"IL4I1","MoMac-I/MoMac-II"
"hsa00270","Cysteine and methionine metabolism",1,2,"IL4I1","MoMac-I/MoMac-II"
"hsa00780","Biotin metabolism",1,1,"BTD","MoMac-II"
"hsa00750","Vitamin B6 metabolism",1,1,"PNPO","AM"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,1,"HEXA","MoMac-II"
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",1,1,"HEXA","MoMac-II"
"hsa00910","Nitrogen metabolism",1,1,"GLUD1","IM"
"hsa00541","Biosynthesis of various nucleotide sugars",1,1,"TGDS","MoMac-II"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,"GLCE","IM"
"hsa00592","alpha-Linolenic acid metabolism",1,1,"ACAA1","MoMac-II"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,1,"ACAA1","MoMac-II"
"hsa00062","Fatty acid elongation",1,1,"HADHA","MoMac-II"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,1,"ST3GAL6","MoMac-II"
"hsa00410","beta-Alanine metabolism",1,1,"HADHA","MoMac-II"
"hsa00640","Propanoate metabolism",1,1,"HADHA","MoMac-II"
"hsa00051","Fructose and mannose metabolism",1,1,"PFKFB3","MoMac-II"
"hsa00512","Mucin type O-glycan biosynthesis",1,1,"GCNT4","AM"
"hsa00520","Amino sugar and nucleotide sugar metabolism",1,1,"HEXA","MoMac-II"
"hsa00514","Other types of O-glycan biosynthesis",1,1,"POFUT1","MoMac-III"
"hsa00565","Ether lipid metabolism",1,1,"PLPP1","MoMac-II"
"hsa00240","Pyrimidine metabolism",1,1,"DCK","IM"
"hsa00140","Steroid hormone biosynthesis",1,1,"COMT","MoMac-II"
"hsa00561","Glycerolipid metabolism",1,1,"PLPP1","MoMac-II"
"hsa00982","Drug metabolism - cytochrome P450",1,1,"GSTM3","AM"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",1,1,"GSTM3","AM"
"hsa00564","Glycerophospholipid metabolism",1,1,"PLPP1","MoMac-II"
