"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00020","Citrate cycle (TCA cycle)",1,"ACO2"
"hsa00630","Glyoxylate and dicarboxylate metabolism",1,"ACO2"
"hsa01210","2-Oxocarboxylic acid metabolism",1,"ACO2"
"hsa00620","Pyruvate metabolism",1,"HAGH"
"hsa00330","Arginine and proline metabolism",1,"ODC1"
"hsa00480","Glutathione metabolism",1,"ODC1"
"hsa00561","Glycerolipid metabolism",1,"AGPAT5"
"hsa01230","Biosynthesis of amino acids",1,"ACO2"
"hsa00564","Glycerophospholipid metabolism",1,"AGPAT5"
"hsa01200","Carbon metabolism",1,"ACO2"
"hsa04072","Phospholipase D signaling pathway",1,"AGPAT5"
"hsa04148","Efferocytosis",1,"ODC1"
