"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00051","Fructose and mannose metabolism",2,"HK2/FPGT"
"hsa01250","Biosynthesis of nucleotide sugars",2,"HK2/FPGT"
"hsa00520","Amino sugar and nucleotide sugar metabolism",2,"HK2/FPGT"
"hsa01200","Carbon metabolism",2,"HK2/CS"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",1,"HK2"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"ST3GAL6"
"hsa00020","Citrate cycle (TCA cycle)",1,"CS"
"hsa00052","Galactose metabolism",1,"HK2"
"hsa00630","Glyoxylate and dicarboxylate metabolism",1,"CS"
"hsa01210","2-Oxocarboxylic acid metabolism",1,"CS"
"hsa00350","Tyrosine metabolism",1,"GSTZ1"
"hsa00500","Starch and sucrose metabolism",1,"HK2"
"hsa04930","Type II diabetes mellitus",1,"HK2"
"hsa04973","Carbohydrate digestion and absorption",1,"HK2"
"hsa00010","Glycolysis / Gluconeogenesis",1,"HK2"
"hsa05230","Central carbon metabolism in cancer",1,"HK2"
"hsa01230","Biosynthesis of amino acids",1,"CS"
"hsa04066","HIF-1 signaling pathway",1,"HK2"
"hsa04910","Insulin signaling pathway",1,"HK2"
"hsa05131","Shigellosis",1,"HK2"
