"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00430","Taurine and hypotaurine metabolism",1,"FMO3"
"hsa04744","Phototransduction",1,"GUCY2D"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,"PIGZ"
"hsa00280","Valine, leucine and isoleucine degradation",1,"HSD17B10"
"hsa00590","Arachidonic acid metabolism",1,"ALOX12B"
"hsa00982","Drug metabolism - cytochrome P450",1,"FMO3"
"hsa00564","Glycerophospholipid metabolism",1,"PNPLA7"
"hsa04726","Serotonergic synapse",1,"ALOX12B"
"hsa00230","Purine metabolism",1,"GUCY2D"
"hsa05010","Alzheimer disease",1,"HSD17B10"
"hsa04740","Olfactory transduction",1,"GUCY2D"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"HSD17B10"
