"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00760","Nicotinate and nicotinamide metabolism",3,"NAPRT/SIRT2/NAMPT"
"hsa00564","Glycerophospholipid metabolism",3,"LYPLA2/LPIN1/CDIPT"
"hsa00230","Purine metabolism",3,"NUDT16/ATIC/PPAT"
"hsa00860","Porphyrin metabolism",2,"GUSB/FTH1"
"hsa00010","Glycolysis / Gluconeogenesis",2,"PGAM1/GAPDH"
"hsa00562","Inositol phosphate metabolism",2,"CDIPT/PIP5K1C"
"hsa01230","Biosynthesis of amino acids",2,"PGAM1/GAPDH"
"hsa04070","Phosphatidylinositol signaling system",2,"CDIPT/PIP5K1C"
"hsa01200","Carbon metabolism",2,"PGAM1/GAPDH"
"hsa01240","Biosynthesis of cofactors",2,"GUSB/NAPRT"
"hsa00061","Fatty acid biosynthesis",1,"CBR4"
"hsa00531","Glycosaminoglycan degradation",1,"GUSB"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,"CHPF"
"hsa00053","Ascorbate and aldarate metabolism",1,"GUSB"
"hsa01523","Antifolate resistance",1,"ATIC"
"hsa00040","Pentose and glucuronate interconversions",1,"GUSB"
"hsa00250","Alanine, aspartate and glutamate metabolism",1,"PPAT"
"hsa00670","One carbon pool by folate",1,"ATIC"
"hsa00260","Glycine, serine and threonine metabolism",1,"PGAM1"
"hsa04216","Ferroptosis",1,"FTH1"
"hsa00270","Cysteine and methionine metabolism",1,"DNMT1"
"hsa01212","Fatty acid metabolism",1,"CBR4"
"hsa04978","Mineral absorption",1,"FTH1"
"hsa00310","Lysine degradation",1,"KMT5A"
"hsa00590","Arachidonic acid metabolism",1,"PTGES3"
"hsa00561","Glycerolipid metabolism",1,"LPIN1"
"hsa05230","Central carbon metabolism in cancer",1,"PGAM1"
"hsa03018","RNA degradation",1,"NUDT16"
"hsa00983","Drug metabolism - other enzymes",1,"GUSB"
"hsa01232","Nucleotide metabolism",1,"NUDT16"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"PIP5K1C"
"hsa05231","Choline metabolism in cancer",1,"PIP5K1C"
"hsa04922","Glucagon signaling pathway",1,"PGAM1"
"hsa04066","HIF-1 signaling pathway",1,"GAPDH"
"hsa04142","Lysosome",1,"GUSB"
"hsa05135","Yersinia infection",1,"PIP5K1C"
"hsa04936","Alcoholic liver disease",1,"LPIN1"
"hsa04072","Phospholipase D signaling pathway",1,"PIP5K1C"
"hsa04150","mTOR signaling pathway",1,"LPIN1"
"hsa04217","Necroptosis",1,"FTH1"
"hsa04621","NOD-like receptor signaling pathway",1,"NAMPT"
"hsa04510","Focal adhesion",1,"PIP5K1C"
"hsa05130","Pathogenic Escherichia coli infection",1,"GAPDH"
"hsa05415","Diabetic cardiomyopathy",1,"GAPDH"
"hsa05207","Chemical carcinogenesis - receptor activation",1,"PTGES3"
"hsa04810","Regulation of actin cytoskeleton",1,"PIP5K1C"
"hsa05132","Salmonella infection",1,"GAPDH"
"hsa04144","Endocytosis",1,"PIP5K1C"
"hsa05206","MicroRNAs in cancer",1,"DNMT1"
"hsa05010","Alzheimer disease",1,"GAPDH"
