"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",2,"DHDH/CYP2D6"
"hsa04726","Serotonergic synapse",2,"ALOX15B/CYP2D6"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,"ST6GALNAC5"
"hsa00910","Nitrogen metabolism",1,"CA14"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,"PGAP3"
"hsa00051","Fructose and mannose metabolism",1,"PFKFB4"
"hsa00040","Pentose and glucuronate interconversions",1,"DHDH"
"hsa00670","One carbon pool by folate",1,"ALDH1L1"
"hsa00380","Tryptophan metabolism",1,"ASMT"
"hsa00330","Arginine and proline metabolism",1,"CKMT2"
"hsa00565","Ether lipid metabolism",1,"GDPD3"
"hsa00590","Arachidonic acid metabolism",1,"ALOX15B"
"hsa00561","Glycerolipid metabolism",1,"LPIN3"
"hsa00982","Drug metabolism - cytochrome P450",1,"CYP2D6"
"hsa04260","Cardiac muscle contraction",1,"COX7B2"
"hsa01522","Endocrine resistance",1,"CYP2D6"
"hsa00564","Glycerophospholipid metabolism",1,"LPIN3"
"hsa04152","AMPK signaling pathway",1,"PFKFB4"
"hsa00230","Purine metabolism",1,"PDE9A"
"hsa00190","Oxidative phosphorylation",1,"COX7B2"
"hsa04936","Alcoholic liver disease",1,"LPIN3"
"hsa04932","Non-alcoholic fatty liver disease",1,"COX7B2"
"hsa04150","mTOR signaling pathway",1,"LPIN3"
"hsa05415","Diabetic cardiomyopathy",1,"COX7B2"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"COX7B2"
"hsa04714","Thermogenesis",1,"COX7B2"
"hsa05012","Parkinson disease",1,"COX7B2"
"hsa05020","Prion disease",1,"COX7B2"
"hsa05016","Huntington disease",1,"COX7B2"
"hsa05014","Amyotrophic lateral sclerosis",1,"COX7B2"
"hsa05010","Alzheimer disease",1,"COX7B2"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"COX7B2"
