"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00190","Oxidative phosphorylation",7,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/ATP6V1F/SDHD/NDUFV3"
"hsa05415","Diabetic cardiomyopathy",7,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/PDHB/SDHD/NDUFV3"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",7,"ACP1/UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa04932","Non-alcoholic fatty liver disease",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa04714","Thermogenesis",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05012","Parkinson disease",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05020","Prion disease",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05016","Huntington disease",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05014","Amyotrophic lateral sclerosis",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05010","Alzheimer disease",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa05022","Pathways of neurodegeneration - multiple diseases",6,"UQCRC2/UQCR10/UQCRFS1/NDUFB6/SDHD/NDUFV3"
"hsa01200","Carbon metabolism",5,"PKM/TALDO1/TKFC/PDHB/SDHD"
"hsa01240","Biosynthesis of cofactors",4,"CAD/PPCDC/ADSL/NME1"
"hsa04260","Cardiac muscle contraction",3,"UQCRC2/UQCR10/UQCRFS1"
"hsa00020","Citrate cycle (TCA cycle)",2,"PDHB/SDHD"
"hsa00250","Alanine, aspartate and glutamate metabolism",2,"CAD/ADSL"
"hsa00513","Various types of N-glycan biosynthesis",2,"B4GALT3/ALG3"
"hsa00620","Pyruvate metabolism",2,"PKM/PDHB"
"hsa00270","Cysteine and methionine metabolism",2,"SRM/DNMT1"
"hsa00510","N-Glycan biosynthesis",2,"B4GALT3/ALG3"
