"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa04260","Cardiac muscle contraction",1,"COX6B2"
"hsa00190","Oxidative phosphorylation",1,"COX6B2"
"hsa04932","Non-alcoholic fatty liver disease",1,"COX6B2"
"hsa05415","Diabetic cardiomyopathy",1,"COX6B2"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"COX6B2"
"hsa04714","Thermogenesis",1,"COX6B2"
"hsa05012","Parkinson disease",1,"COX6B2"
"hsa05020","Prion disease",1,"COX6B2"
"hsa05016","Huntington disease",1,"COX6B2"
"hsa05014","Amyotrophic lateral sclerosis",1,"COX6B2"
"hsa05010","Alzheimer disease",1,"COX6B2"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"COX6B2"
